stream,mode,level,detector,filter,metric,mean,std,min,max,count
RBF_I,clean,none,hellinger,learned_features_label,malicious_recall_difference,,,,,0
RBF_I,clean,none,hellinger,learned_features_label,poison_admission_rate_difference,,,,,0
RBF_I,clean,none,hellinger,learned_features_label,roc_auc_difference,-0.008522840862120296,0.016053850797303666,-0.02678043142298492,0.0033846979483913575,3
RBF_I,clean,none,hellinger,none,accuracy_difference,-0.008849432818995306,0.0230858662754078,-0.03520186007186643,0.007808074402874676,3
RBF_I,clean,none,hellinger,none,average_precision_difference,-0.01146374210344836,0.025148877313494866,-0.04038133733506355,0.005296260554194188,3
RBF_I,clean,none,hellinger,none,benign_fpr_difference,,,,,0
RBF_I,clean,none,hellinger,none,legitimate_withhold_rate_difference,0.02008032128514058,0.025080313246579892,-0.008032128514056186,0.040160642570281124,3
RBF_I,clean,none,hellinger,none,macro_f1_difference,-0.008883116424713141,0.02298112021605546,-0.035148134717606916,0.007527120126546327,3
RBF_I,clean,none,hellinger,none,macro_precision_difference,-0.008760217629843395,0.02314912152740687,-0.03519421088174779,0.007894049433440853,3
RBF_I,clean,none,hellinger,none,macro_recall_difference,-0.00923814656865655,0.02318958050247071,-0.03577967312540342,0.007101357478940473,3
RBF_I,clean,none,hellinger,none,malicious_precision_difference,,,,,0
RBF_I,clean,none,hellinger,none,malicious_recall_difference,,,,,0
RBF_I,clean,none,hellinger,none,poison_admission_rate_difference,,,,,0
RBF_I,clean,none,hellinger,none,roc_auc_difference,-0.005688638521188653,0.013227123544539527,-0.020841050715600273,0.0035489226796889817,3
RBF_I,concept,moderate,adwin,learned_features,accuracy_difference,-0.028820112959599815,0.04222649203265223,-0.07650104550433134,0.003850593011223369,3
RBF_I,concept,moderate,adwin,learned_features,average_precision_difference,-0.03646542636557163,0.052204487979222135,-0.09587591656687022,0.002077454488139785,3
RBF_I,concept,moderate,adwin,learned_features,benign_fpr_difference,,,,,0
RBF_I,concept,moderate,adwin,learned_features,legitimate_withhold_rate_difference,0.014828485058455696,0.04746795506799507,-0.02048177186977629,0.06878920641242658,3
RBF_I,concept,moderate,adwin,learned_features,macro_f1_difference,-0.029283789824656032,0.042991321598187644,-0.07785762688560349,0.003873895168823638,3
RBF_I,concept,moderate,adwin,learned_features,macro_precision_difference,-0.029600708373229517,0.04170381026952678,-0.0763144024432485,0.0038843606551108856,3
RBF_I,concept,moderate,adwin,learned_features,macro_recall_difference,-0.028993716710366546,0.04376752047914469,-0.07855879192788762,0.004337115342519016,3
RBF_I,concept,moderate,adwin,learned_features,malicious_precision_difference,,,,,0
RBF_I,concept,moderate,adwin,learned_features,malicious_recall_difference,,,,,0
RBF_I,concept,moderate,adwin,learned_features,poison_admission_rate_difference,-0.06985769529579793,0.07613785103419614,-0.14794843710506367,0.004164087558381602,3
RBF_I,concept,moderate,adwin,learned_features,roc_auc_difference,-0.017752855453813703,0.0267197859345791,-0.04833224862931651,0.0010896562365345641,3
RBF_I,concept,moderate,adwin,learned_features_label,accuracy_difference,-0.03268324819156584,0.014582579860415248,-0.045255401772378745,-0.01669627705369181,3
RBF_I,concept,moderate,adwin,learned_features_label,average_precision_difference,-0.03656159712176473,0.015692087620387363,-0.04594037125399941,-0.018445722774220852,3
RBF_I,concept,moderate,adwin,learned_features_label,benign_fpr_difference,,,,,0
RBF_I,concept,moderate,adwin,learned_features_label,legitimate_withhold_rate_difference,0.06564575579942959,0.052319648641706545,0.006300294113256,0.10511301403962961,3
RBF_I,concept,moderate,adwin,learned_features_label,macro_f1_difference,-0.0337036309994437,0.015060108629861685,-0.046061910256915306,-0.016929135204490797,3
RBF_I,concept,moderate,adwin,learned_features_label,macro_precision_difference,-0.03185067573445007,0.013772666070062741,-0.04502700180222985,-0.01755053148986485,3
RBF_I,concept,moderate,adwin,learned_features_label,macro_recall_difference,-0.03563804231437225,0.01657456996002846,-0.04703482364940448,-0.016624194434992412,3
RBF_I,concept,moderate,adwin,learned_features_label,malicious_precision_difference,,,,,0
RBF_I,concept,moderate,adwin,learned_features_label,malicious_recall_difference,,,,,0
