condition,stream,mode,level,base_key,attack_seed,detector,filter,activation_row,host_rows,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,adwin,learned_features_label,1000,236550,0.9213823715916296,0.8990530543225533,0.022329317269076276,0.9144647813665988,0.8883211565274598,0.026143624839139012,0.9206621631713632,0.9037548515739768,0.016907311597386343,0.9093802336287568,0.8781814577181295,0.031198775910627252,0.933730285324638,0.928739665751011,0.004990619573627009,0.9209190793810984,0.9137876410909652,0.007131438290133185,,,,,,,,,,0.2067919440465155,0.2162298811831128,-0.009437937136597296,0.1558803477499266,0.1177960577061841,0.03808429004374249
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,hddm_w,learned_features_label,1000,236550,0.8990530543225533,0.8990530543225533,0.0,0.8883211565274598,0.8883211565274598,0.0,0.9037548515739768,0.9037548515739768,0.0,0.8781814577181295,0.8781814577181295,0.0,0.928739665751011,0.928739665751011,0.0,0.9137876410909652,0.9137876410909652,0.0,,,,,,,,,,0.2162298811831128,0.2162298811831128,0.0,0.1177960577061841,0.1177960577061841,0.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,hellinger,learned_features_label,1000,236550,0.920879306700486,0.8990530543225533,0.021826252377932676,0.9140733143070904,0.8883211565274598,0.02575215777963058,0.9193057165025514,0.9037548515739768,0.015550864928574604,0.9096704115658693,0.8781814577181295,0.031488953847739753,0.9328527579923124,0.928739665751011,0.004113092241301408,0.9183956486310216,0.9137876410909652,0.0046080075400564136,,,,,,,,,,0.2103592595713603,0.2162298811831128,-0.0058706216117524745,0.1406924144932296,0.1177960577061841,0.022896356787045505
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,d3_oof,learned_features_label,1000,236550,0.8990530543225533,0.8990530543225533,0.0,0.8883211565274598,0.8883211565274598,0.0,0.9037548515739768,0.9037548515739768,0.0,0.8781814577181295,0.8781814577181295,0.0,0.928739665751011,0.928739665751011,0.0,0.9137876410909652,0.9137876410909652,0.0,,,,,,,,,,0.2162298811831128,0.2162298811831128,0.0,0.1177960577061841,0.1177960577061841,0.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,adwin,none,1000,236550,0.918279433523568,0.8985203973789896,0.019759036144578412,0.91111994007547,0.8874548594038323,0.02366508067163775,0.9170830378144932,0.9044606373647636,0.01262240044972962,0.906207446864796,0.876603806611649,0.02960364025314699,0.9303629996095558,0.9256305102050482,0.004732489404507656,0.915018301493298,0.9085830661770826,0.006435235316215371,,,,,,,,,,0.656215779099348,0.7963845881698873,-0.1401688090705393,0.345916599414198,0.205222553938361,0.140694045475837
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,hddm_w,none,1000,236550,0.9191122384273938,0.8985203973789896,0.02059184104840417,0.9119476058527604,0.8874548594038323,0.02449274644892807,0.918397654551906,0.9044606373647636,0.013937017187142464,0.9066979423913586,0.876603806611649,0.03009413577970954,0.9308090546150858,0.9256305102050482,0.005178544410037622,0.915195864881622,0.9085830661770826,0.006612798704539347,,,,,,,,,,0.6587091665683913,0.7963845881698873,-0.13767542160149604,0.3413904612484691,0.205222553938361,0.1361679073101081
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,hellinger,none,1000,236550,0.9063496089621644,0.8985203973789896,0.007829211583174844,0.8971966482955713,0.8874548594038323,0.009741788891739045,0.9080974314491188,0.9044606373647636,0.0036367940843552438,0.8892894573186662,0.876603806611649,0.012685650707017104,0.9251462552757664,0.9256305102050482,-0.0004842549292817244,0.9125509418539028,0.9085830661770826,0.003967875676820221,,,,,,,,,,0.6436477584783598,0.7963845881698873,-0.15273682969152758,0.3577906576444893,0.205222553938361,0.1525681037061283
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,d3_oof,none,1000,236550,0.8985203973789896,0.8985203973789896,0.0,0.8874548594038323,0.8874548594038323,0.0,0.9044606373647636,0.9044606373647636,0.0,0.876603806611649,0.876603806611649,0.0,0.9256305102050482,0.9256305102050482,0.0,0.9085830661770826,0.9085830661770826,0.0,,,,,,,,,,0.7963845881698873,0.7963845881698873,0.0,0.205222553938361,0.205222553938361,0.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,adwin,learned_features,1000,236550,0.9180934263369268,0.8958444303529909,0.022248995983935926,0.9109390065170676,0.8842604735613491,0.026678532955718537,0.9167725401852862,0.9024382131641756,0.014334327021110593,0.9061172967022522,0.872939973327376,0.03317732337487611,0.9318001402660112,0.9267127321568366,0.005087408109174629,0.9177870417442188,0.9111738287426434,0.006613213001575358,,,,,,,,,,0.7128898023821959,0.8031908620718702,-0.09030105968967428,0.2907281890368129,0.1984051288707793,0.09232306016603362
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,hddm_w,learned_features,1000,236550,0.9161361234411328,0.8958444303529909,0.020291693088141938,0.9089188250453568,0.8842604735613491,0.024658351484007746,0.9141072099866994,0.9024382131641756,0.011668996822523758,0.9045597239707686,0.872939973327376,0.03161975064339251,0.9308294144559924,0.9267127321568366,0.004116682299155849,0.914216776285872,0.9111738287426434,0.0030429475432285358,,,,,,,,,,0.7796047643917314,0.8031908620718702,-0.02358609768013875,0.2209737404976494,0.1984051288707793,0.0225686116268701
