stream,detector,filter,population,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference
SEA_A,hddm_w,none,attacked,0.9149037206509204,0.9006010831364132,0.014302637514507196,0.907506169927705,0.8905691432368424,0.01693702669086266,0.9138872935507357,0.9041425086366157,0.009744784914119904,0.9025220100153512,0.8814014750847634,0.02112053493058773,0.9314902165832564,0.9279947134327288,0.003495503150527638,0.9169937574474778,0.9127611504358047,0.004232607011673069,,,,,,,,,,0.7565521340000242,0.8722084048259638,-0.1156562708259396,0.21738579207423495,0.11174971691317777,0.1056360751610572
SEA_A,hddm_w,none,clean,0.9153695483689143,0.9026985133516522,0.012671035017261967,0.9077793711028255,0.8929121581504473,0.014867212952378065,0.9154422068662075,0.9064700213953153,0.008972185470892255,0.9020816939094978,0.8836935156466538,0.018388178262844,0.9336867823996066,0.9302991627693825,0.003387619630224122,0.9183652771093859,0.9144662331789619,0.003899043930423988,,,,,,,,,,,,,0.09638554216867468,0.08835341365461845,0.008032128514056228
SEA_A,hellinger,learned_features,attacked,0.9101783714143411,0.8994618179638897,0.010716553450451353,0.901848702465427,0.8892586824139622,0.01259002005146496,0.91109104540324,0.9030951797115523,0.007995865691687783,0.8950884440909981,0.879980514527907,0.015107929563091038,0.9295515001578524,0.9273243214366825,0.002227178721169855,0.9150074392094386,0.9119582913755689,0.0030491478338697067,,,,,,,,,,0.7769942184196439,0.8384711605881403,-0.061476942168496314,0.20751385605021785,0.15169458198904423,0.05581927406117362
SEA_A,hellinger,learned_features,clean,0.9194687522017896,0.9013147326146692,0.018154019587120485,0.9123213946912293,0.8913071653336884,0.0210142293575409,0.9198396089436901,0.9052800566663913,0.014559552277298845,0.9066272791865848,0.8819066365436944,0.024720642642890384,0.9343374115369771,0.9301010139438888,0.004236397593088322,0.9197674570142221,0.9143633558268093,0.005404101187412895,,,,,,,,,,,,,0.15021489466638477,0.12999647713661658,0.020218417529768176
SEA_A,hellinger,learned_features_label,attacked,0.915439112538493,0.9009981141269502,0.014440998411542857,0.90792289129955,0.8911367402408872,0.016786151058662793,0.9152715248024651,0.9039926020389845,0.01127892276348061,0.9022618215849024,0.882301922357359,0.019959899227543283,0.9317729739010794,0.9293375125377654,0.0024354613633139005,0.9181750935507726,0.9151645865579718,0.003010506992800699,,,,,,,,,,0.5349295355785041,0.543279998326455,-0.008350462747951004,0.133381709623044,0.11691576719405015,0.016465942428993862
SEA_A,hellinger,learned_features_label,clean,0.9093059959134785,0.9019291199887268,0.007376875924751743,0.9002363752502408,0.8918750693633202,0.008361305886920634,0.9129497871308759,0.9063988454084645,0.006550941722411478,0.8916331238376406,0.8822297731521612,0.00940335068547915,0.9297726631646269,0.927679729959671,0.002092933204955886,0.9158217575145393,0.9135539832970389,0.002267774217500388,,,,,,,,,,,,,0.11827661523286122,0.12080462199675894,-0.002528006763897699
SEA_A,hellinger,none,attacked,0.9109502969962119,0.9006010831364132,0.010349213859798737,0.9026750179880851,0.8905691432368424,0.012105874751242819,0.9119965347122876,0.9041425086366157,0.007854026075671773,0.8959000839293777,0.8814014750847634,0.014498608844614272,0.9296912355598156,0.9279947134327288,0.0016965221270868502,0.915109023392024,0.9127611504358047,0.002347872956219225,,,,,,,,,,0.7980568272400448,0.8722084048259638,-0.074151577585919,0.17472196662507133,0.11174971691317777,0.06297224971189358
SEA_A,hellinger,none,clean,0.9135376594095681,0.9026985133516522,0.010839146057915916,0.9053449555045777,0.8929121581504473,0.012432797354130462,0.9156654528574117,0.9064700213953153,0.009195431462096523,0.8978521998848819,0.8836935156466538,0.014158684238228117,0.9324009320926298,0.9302991627693825,0.002101769323247312,0.9183708099368193,0.9144662331789619,0.003904576757857455,,,,,,,,,,,,,0.1191432396251673,0.08835341365461845,0.030789825970548867
radar,adwin,learned_features,attacked,0.7179769168973716,0.7921904629936959,-0.07421354609632412,0.22257587322497044,0.27808788520837774,-0.05551201198340731,0.23300419723384883,0.28942503139432335,-0.05642083416047452,0.36417974264692826,0.4424737168215293,-0.078293974174601,0.7688595713687562,0.8972458265902401,-0.12838625522148395,0.36706516938346195,0.6392185356713231,-0.2721533662878612,0.3876438433803335,0.6148524219631696,-0.22720857858283608,0.6447774995702352,0.8493599091652757,-0.20458240959504045,0.22319143195610436,0.11840196955118543,0.10478946240491895,0.6378106766394336,0.7386827622021143,-0.10087208556268074,0.1718204431901029,0.06052778019655632,0.11129266299354656
radar,adwin,learned_features,clean,0.7547802399287548,0.7908219393367908,-0.03604169940803603,0.2333607452235463,0.2619749261833117,-0.028614180959765395,0.2469540656789163,0.2685943282579897,-0.021640262579073366,0.3183838862064059,0.4128319291265457,-0.09444804292013981,0.7644704069251542,0.9388004782855148,-0.1743300713603606,0.3767214963110818,0.7056608290236048,-0.328939332712523,0.4166474308665343,0.5426574069815573,-0.12600997611502301,0.668766209707299,0.8743238236383846,-0.20555761393108551,0.2010149377197308,0.1581902928683921,0.04282464485133872,,,,0.172759335345235,0.0415009271715812,0.1312584081736538
radar,adwin,learned_features_label,attacked,0.729742027391482,0.7950539410527485,-0.06531191366126655,0.22304288063687208,0.2779775051776225,-0.05493462454075034,0.2381684028736245,0.2898566362996147,-0.05168823342599024,0.35252691097123917,0.44421870880078645,-0.09169179782954723,0.7917739010560908,0.9029721887498048,-0.11119828769371405,0.3908487964709941,0.6444378139942647,-0.2535890175232706,0.41284509294201216,0.6196168471315281,-0.2067717541895159,0.6873474159575425,0.8553099982284577,-0.1679625822709153,0.2154992245633459,0.11726884243791896,0.09823038212542691,0.44173981307440213,0.527224180866796,-0.08548436779239388,0.1741440471769613,0.05051824348806605,0.12362580368889527
