stream,mode,level,detector,filter,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference,category
radar,clean,none,d3_oof,learned_features_label,0.7660563675415161,0.7965451307035466,-0.03048876316203053,0.2481174248913041,0.2787328310546588,-0.030615406163354703,0.2770188786311816,0.3051779767622099,-0.02815909813102835,0.3963456942797899,0.4148288846571695,-0.01848319037737961,0.8007954234186982,0.9375444952002436,-0.13674907178154538,0.3653979295147763,0.7241016596005211,-0.3587037300857448,0.4629994310971073,0.5523725508403752,-0.08937311974326789,0.7839940718784735,0.8815857725083365,-0.097591700629863,0.1952084758435278,0.1533701341054071,0.041838341738120705,,,,0.1253026942515362,0.0631494746027706,0.062153219648765606,0
radar,clean,none,d3_oof,none,0.7451280842369952,0.7908219393367908,-0.04569385509979562,0.2361488429544548,0.2619749261833117,-0.025826083228856905,0.252344276759152,0.2685943282579897,-0.01625005149883768,0.4146030892434058,0.4128319291265457,0.001771160116860071,0.7237037227917823,0.9388004782855148,-0.21509675549373253,0.3297745258281528,0.7056608290236048,-0.375886303195452,0.4455481972038263,0.5426574069815573,-0.09710920977773096,0.8076324564653575,0.8743238236383846,-0.06669136717302704,0.2157617600738136,0.1581902928683921,0.0575714672054215,,,,0.1174417336290586,0.0414500236337854,0.0759917099952732,0
radar,clean,none,hddm_w,learned_features,0.8184556550893185,0.7908219393367908,0.02763371575252771,0.2724757220714164,0.2619749261833117,0.010500795888104708,0.3092668911136091,0.2685943282579897,0.04067256285561943,0.3636184121136649,0.4128319291265457,-0.04921351701288079,0.865822854837734,0.9388004782855148,-0.0729776234477808,0.5133075743057357,0.7056608290236048,-0.19235325471786913,0.5387841843297355,0.5426574069815573,-0.0038732226518217727,0.713894034827714,0.8743238236383846,-0.1604297888106706,0.1311942221727303,0.1581902928683921,-0.02699607069566179,,,,0.1865760098898302,0.0415009271715812,0.14507508271824898,0
radar,clean,none,hddm_w,learned_features_label,0.7737702341662738,0.7965451307035466,-0.022774896537272826,0.2504331481690006,0.2787328310546588,-0.028299682885658206,0.2810085849814051,0.3051779767622099,-0.02416939178080485,0.4178667193327222,0.4148288846571695,0.0030378346755526864,0.8704788093214055,0.9375444952002436,-0.0670656858788381,0.4738991782401772,0.7241016596005211,-0.2502024813603439,0.4767918088737201,0.5523725508403752,-0.0755807419666551,0.7246387550944794,0.8815857725083365,-0.15694701741385708,0.1707099791603697,0.1533701341054071,0.01733984505496261,,,,0.2145802276115332,0.0631494746027706,0.1514307530087626,0
radar,clean,none,hddm_w,none,0.8184556550893185,0.7908219393367908,0.02763371575252771,0.2724757220714164,0.2619749261833117,0.010500795888104708,0.3092668911136091,0.2685943282579897,0.04067256285561943,0.3636184121136649,0.4128319291265457,-0.04921351701288079,0.8658190354756206,0.9388004782855148,-0.07298144280989427,0.5132978934179546,0.7056608290236048,-0.1923629356056502,0.5387841843297355,0.5426574069815573,-0.0038732226518217727,0.713894034827714,0.8743238236383846,-0.1604297888106706,0.1311942221727303,0.1581902928683921,-0.02699607069566179,,,,0.1865251063520343,0.0414500236337854,0.14507508271824887,0
radar,clean,none,hellinger,learned_features,0.716040651684216,0.7908219393367908,-0.07478128765257475,0.2396493726845787,0.2619749261833117,-0.022325553498732997,0.2570926290198499,0.2685943282579897,-0.011501699238139762,0.3871884308621908,0.4128319291265457,-0.025643498264354914,0.7920550442695602,0.9388004782855148,-0.14674543401595463,0.3736364547296656,0.7056608290236048,-0.3320243742939392,0.3902139671889703,0.5426574069815573,-0.152443439792587,0.7067802889959244,0.8743238236383846,-0.1675435346424602,0.2371104500405657,0.1581902928683921,0.0789201571721736,,,,0.1796676726175326,0.0415009271715812,0.13816674544595142,0
radar,clean,none,hellinger,learned_features_label,0.72994918539473,0.7965451307035466,-0.06659594530881663,0.2482851500816527,0.2787328310546588,-0.030447680973006097,0.2602241232121773,0.3051779767622099,-0.04495385355003262,0.3881822769564673,0.4148288846571695,-0.026646607700702207,0.8371369633686453,0.9375444952002436,-0.10040753183159834,0.4337257665307896,0.7241016596005211,-0.2903758930697315,0.4090151676992096,0.5523725508403752,-0.14335738314116558,0.7093738421637643,0.8815857725083365,-0.17221193034457216,0.2200410429360016,0.1533701341054071,0.06667090883059451,,,,0.1736537832236483,0.0631494746027706,0.1105043086208777,0
radar,clean,none,hellinger,none,0.716040651684216,0.7908219393367908,-0.07478128765257475,0.2396493726845787,0.2619749261833117,-0.022325553498732997,0.2570926290198499,0.2685943282579897,-0.011501699238139762,0.3871884308621908,0.4128319291265457,-0.025643498264354914,0.7920550442695602,0.9388004782855148,-0.14674543401595463,0.3736364547296656,0.7056608290236048,-0.3320243742939392,0.3902139671889703,0.5426574069815573,-0.152443439792587,0.7067802889959244,0.8743238236383846,-0.1675435346424602,0.2371104500405657,0.1581902928683921,0.0789201571721736,,,,0.1796167690797367,0.0414500236337854,0.1381667454459513,0
radar,concept,moderate,adwin,learned_features,0.7457875879925281,0.7725499351225519,-0.02676234713002379,0.21385107973800585,0.24669579611480677,-0.0328447163768009,0.23127493677971667,0.2601551065932313,-0.028880169813514628,0.40728582304704924,0.43097939916099587,-0.023693576113946718,0.8137833580095237,0.9119457427479917,-0.09816238473846779,0.3995999406769138,0.6393420942798893,-0.2397421536029755,0.4323419946010847,0.5604815924511412,-0.12813959785005652,0.6409027210194574,0.9104075011684302,-0.26950478014897267,0.18685003172403977,0.16112158155492037,0.02572845016911939,0.31308475889799653,0.3481071982700093,-0.035022439372012805,0.16083618388083187,0.058095928809405166,0.1027402550714267,3
radar,concept,moderate,adwin,learned_features_label,0.7413763529402692,0.7594567859126036,-0.018080432972334488,0.2318889469783966,0.24672674087099553,-0.0148377938925989,0.24105984480697473,0.2617854037244914,-0.02072555891751666,0.382775820313098,0.44977623560233154,-0.0670004152892336,0.8156622967945214,0.9065686191193011,-0.09090632232477969,0.41234106196179154,0.6191819342896187,-0.20684087232782708,0.41961497286978683,0.5377652600747899,-0.11815028720500294,0.7039619802118201,0.9262907621577536,-0.2223287819459335,0.2135334915418049,0.17587968729649173,0.037653804245313165,0.11413074664653616,0.1242792356054276,-0.010148488958891436,0.1473862920964024,0.04852990714492323,0.09885638495147915,3
radar,concept,moderate,adwin,none,0.721973268111855,0.7727840889910732,-0.05081082087921818,0.20547152086788634,0.2722463032755833,-0.06677478240769696,0.21643976436042278,0.27847166773967164,-0.06203190337924885,0.38003217632099623,0.49222542789659046,-0.11219325157559425,0.7740439091706497,0.8997892737151437,-0.12574536454449406,0.3612378941673409,0.6062132245522637,-0.2449753303849227,0.3895267847007671,0.5416915062208191,-0.15216472152005192,0.6134838406650056,0.9014834934519967,-0.2879996527869911,0.21314985580149495,0.17061447525226733,0.04253538054922765,0.843227641832775,0.9103878200983003,-0.0671601782655253,0.16742203216690696,0.08167327560756783,0.08574875655933913,3
radar,concept,moderate,d3_oof,learned_features,0.7031612734964975,0.7725499351225519,-0.06938866162605455,0.21234077130996698,0.24669579611480677,-0.03435502480483979,0.24048271297571558,0.2601551065932313,-0.019672393617515726,0.36666287983754325,0.43097939916099587,-0.06431651932345266,0.8680854952372989,0.9119457427479917,-0.04386024751069254,0.5858418630354344,0.6393420942798893,-0.053500231244454945,0.4549801823656529,0.5604815924511412,-0.10550141008548829,0.8234851786147512,0.9104075011684302,-0.08692232255367882,0.226367703830494,0.16112158155492037,0.06524612227557362,0.321241629384027,0.3481071982700093,-0.026865568885982367,0.14771025434168147,0.058095928809405166,0.08961432553227631,3
radar,concept,moderate,d3_oof,learned_features_label,0.6833052861335611,0.7594567859126036,-0.07615149977904238,0.21216744343682772,0.24672674087099553,-0.034559297434167774,0.22287217061574216,0.2617854037244914,-0.03891323310874923,0.40989621039863233,0.44977623560233154,-0.03988002520369923,0.8520929686399946,0.9065686191193011,-0.054475650479306435,0.5521220258434739,0.6191819342896187,-0.06705990844614468,0.4226895446908789,0.5377652600747899,-0.11507571538391094,0.8580154066382849,0.9262907621577536,-0.06827535551946869,0.2615948179933896,0.17587968729649173,0.08571513069689783,0.10788309142630886,0.1242792356054276,-0.01639614417911873,0.1797595304825307,0.04852990714492323,0.1312296233376075,3
radar,concept,moderate,d3_oof,none,0.7196798022922156,0.7727840889910732,-0.05310428669885747,0.22795520621935583,0.2722463032755833,-0.04429109705622747,0.255964372725438,0.27847166773967164,-0.02250729501423367,0.40811480276961093,0.49222542789659046,-0.08411062512697949,0.8751522062254476,0.8997892737151437,-0.024637067489696296,0.6177181079603028,0.6062132245522637,0.01150488340803916,0.4934509040095844,0.5416915062208191,-0.04824060221123466,0.8703515311379729,0.9014834934519967,-0.031131962314023858,0.19782234611984797,0.17061447525226733,0.02720787086758064,0.8428734991320872,0.9103878200983003,-0.06751432096621306,0.14575181095248738,0.08167327560756783,0.06407853534491953,3
radar,concept,moderate,hddm_w,learned_features,0.7362360770017703,0.7725499351225519,-0.03631385812078162,0.23135829808827224,0.24669579611480677,-0.01533749802653453,0.25791165583024384,0.2601551065932313,-0.00224345076298745,0.41002294571653913,0.43097939916099587,-0.020956453444456773,0.7970920499214887,0.9119457427479917,-0.11485369282650282,0.4036499909951941,0.6393420942798893,-0.23569210328469517,0.42891382990306864,0.5604815924511412,-0.13156776254807254,0.6966182551779919,0.9104075011684302,-0.21378924599043822,0.21114916482240345,0.16112158155492037,0.050027583267483085,0.32743289634471184,0.3481071982700093,-0.02067430192529751,0.15350434708220081,0.058095928809405166,0.09540841827279563,3
radar,concept,moderate,hddm_w,learned_features_label,0.7419679423374412,0.7594567859126036,-0.01748884357516234,0.22558486562405045,0.24672674087099553,-0.021141875246945042,0.2384473605632834,0.2617854037244914,-0.023338043161207994,0.34956960867923276,0.44977623560233154,-0.10020662692309883,0.813505389685187,0.9065686191193011,-0.09306322943411398,0.41922862327507476,0.6191819342896187,-0.19995331101454386,0.4335100072938228,0.5377652600747899,-0.10425525278096696,0.7583853174612228,0.9262907621577536,-0.16790544469653068,0.2186827992210114,0.17587968729649173,0.04280311192451963,0.11086979585781309,0.1242792356054276,-0.013409439747614499,0.1727253587773001,0.04852990714492323,0.12419545163237687,3
radar,concept,moderate,hddm_w,none,0.7326405042932045,0.7727840889910732,-0.04014358469786864,0.23391582088547302,0.2722463032755833,-0.038330482390110276,0.2437723500067661,0.27847166773967164,-0.03469931773290557,0.4276329003680209,0.49222542789659046,-0.06459252752856957,0.7870048805973013,0.8997892737151437,-0.11278439311784257,0.3510440336069987,0.6062132245522637,-0.2551691909452649,0.3912054231310739,0.5416915062208191,-0.15048608308974518,0.6107402892515231,0.9014834934519967,-0.29074320420047367,0.20939666097006607,0.17061447525226733,0.03878218571779874,0.8748957118486516,0.9103878200983003,-0.03549210824964866,0.14584158004765624,0.08167327560756783,0.0641683044400884,3
radar,concept,moderate,hellinger,learned_features,0.7460700760138415,0.7725499351225519,-0.026479859108710497,0.22865414518671048,0.24669579611480677,-0.01804165092809626,0.23842653856935722,0.2601551065932313,-0.02172856802387409,0.3951565796857139,0.43097939916099587,-0.035822819475282076,0.8015587378387159,0.9119457427479917,-0.11038700490927562,0.39511849513372327,0.6393420942798893,-0.244223599146166,0.45179926747687693,0.5604815924511412,-0.10868232497426429,0.7271809122954114,0.9104075011684302,-0.18322658887301882,0.1989844231615041,0.16112158155492037,0.03786284160658376,0.31371162623859034,0.3481071982700093,-0.034395572031419054,0.1560906303631292,0.058095928809405166,0.09799470155372403,3
radar,concept,moderate,hellinger,learned_features_label,0.6961651068082461,0.7594567859126036,-0.06329167910435744,0.20468335708381327,0.24672674087099553,-0.04204338378718223,0.22691813050986998,0.2617854037244914,-0.0348672732146214,0.3414248038244256,0.44977623560233154,-0.10835143177790597,0.8078890604253518,0.9065686191193011,-0.09867955869394929,0.4324813770984912,0.6191819342896187,-0.1867005571911274,0.37209582334824454,0.5377652600747899,-0.16566943672654524,0.6646560216964296,0.9262907621577536,-0.261634740461324,0.23888491482509233,0.17587968729649173,0.06300522752860059,0.1053577945662108,0.1242792356054276,-0.018921441039216797,0.18884721679668318,0.04852990714492323,0.14031730965175995,3
radar,concept,moderate,hellinger,none,0.7867886070674001,0.7727840889910732,0.01400451807632704,0.2874501841483706,0.2722463032755833,0.01520388087278729,0.2981187366017011,0.27847166773967164,0.019647068862029438,0.502717964356359,0.49222542789659046,0.010492536459768442,0.8475141705858616,0.8997892737151437,-0.05227510312928222,0.49386431727992325,0.6062132245522637,-0.11234890727234037,0.5272270169892416,0.5416915062208191,-0.014464489231577449,0.8125838411607536,0.9014834934519967,-0.08889965229124323,0.16473954788874767,0.17061447525226733,-0.005874927363519651,0.8328435055209135,0.9103878200983003,-0.07754431457738686,0.16544515810392826,0.08167327560756783,0.08377188249636043,3
