stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,host_rows,status,folder
radar,instance,moderate,,58124341.0,2.0,radar__evaluation,radar__evaluation__instance__moderate__a2,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__moderate__a2
radar,instance,moderate,,3627463518.0,3.0,radar__evaluation,radar__evaluation__instance__moderate__a3,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__moderate__a3
radar,instance,moderate,,2006973868.0,4.0,radar__evaluation,radar__evaluation__instance__moderate__a4,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__moderate__a4
radar,instance,severe,,3068245370.0,0.0,radar__evaluation,radar__evaluation__instance__severe__a0,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__severe__a0
radar,instance,severe,,11462624.0,1.0,radar__evaluation,radar__evaluation__instance__severe__a1,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__severe__a1
radar,instance,severe,,1906925561.0,2.0,radar__evaluation,radar__evaluation__instance__severe__a2,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__severe__a2
radar,instance,severe,,4183855161.0,3.0,radar__evaluation,radar__evaluation__instance__severe__a3,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__severe__a3
radar,instance,severe,,1699676806.0,4.0,radar__evaluation,radar__evaluation__instance__severe__a4,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__severe__a4
radar,concept,moderate,,3910140397.0,0.0,radar__evaluation,radar__evaluation__concept__moderate__a0,64167,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__moderate__a0
radar,concept,moderate,,4018716551.0,1.0,radar__evaluation,radar__evaluation__concept__moderate__a1,65361,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__moderate__a1
radar,concept,moderate,,1880718146.0,2.0,radar__evaluation,radar__evaluation__concept__moderate__a2,63899,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__moderate__a2
radar,concept,moderate,,510794814.0,3.0,radar__evaluation,radar__evaluation__concept__moderate__a3,64956,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__moderate__a3
radar,concept,moderate,,342140863.0,4.0,radar__evaluation,radar__evaluation__concept__moderate__a4,63396,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__moderate__a4
radar,concept,severe,,1008509576.0,0.0,radar__evaluation,radar__evaluation__concept__severe__a0,56716,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__severe__a0
