epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon,variant
3,SEA_A__s112__instance__moderate,7,adwin,SEA_A,54.2,57000,25,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,7,adwin,SEA_A,54.06,57000,21,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,7,adwin,SEA_A,53.78,57000,15,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,7,adwin,SEA_A,53.54,57000,1,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,7,adwin,SEA_A,53.36,57000,3,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,7,adwin,SEA_A,53.78,57000,28,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,17,adwin,SEA_A,53.78,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,17,adwin,SEA_A,54.08,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,17,adwin,SEA_A,53.9,57000,5,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,17,adwin,SEA_A,54.18,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,17,adwin,SEA_A,53.64,57000,5,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,17,adwin,SEA_A,53.86,57000,3,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,17,adwin,SEA_A,54.44,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,17,adwin,SEA_A,53.34,57000,6,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,17,adwin,SEA_A,54.18,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,17,adwin,SEA_A,53.74,57000,8,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,17,adwin,SEA_A,54.22,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,17,adwin,SEA_A,54.24,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,17,adwin,SEA_A,53.56,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,17,adwin,SEA_A,53.88,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,17,adwin,SEA_A,54.2,57000,4,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,17,adwin,SEA_A,53.72,57000,5,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,17,adwin,SEA_A,54.14,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,17,adwin,SEA_A,54.12,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,17,adwin,SEA_A,53.4,57000,1,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,17,adwin,SEA_A,53.8,57000,5,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,17,adwin,SEA_A,53.92,57000,2,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,17,adwin,SEA_A,54.16,57000,2,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,17,adwin,SEA_A,54.0,57000,22,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,17,adwin,SEA_A,54.18,57000,29,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,17,adwin,SEA_A,54.0,57000,30,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,17,adwin,SEA_A,53.62,57000,6,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,17,adwin,SEA_A,54.08,57000,3,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,17,adwin,SEA_A,54.14,57000,23,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,27,adwin,SEA_A,54.24,57000,4,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,27,adwin,SEA_A,53.48,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,27,adwin,SEA_A,53.4,57000,4,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,27,adwin,SEA_A,53.78,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,27,adwin,SEA_A,52.94,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,27,adwin,SEA_A,53.54,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,27,adwin,SEA_A,53.68,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,27,adwin,SEA_A,54.02,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,27,adwin,SEA_A,53.88,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,27,adwin,SEA_A,53.78,57000,0,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,27,adwin,SEA_A,53.96,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,27,adwin,SEA_A,53.5,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,27,adwin,SEA_A,53.14,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,27,adwin,SEA_A,53.7,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,27,adwin,SEA_A,53.84,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,27,adwin,SEA_A,54.02,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,27,adwin,SEA_A,53.56,57000,0,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,27,adwin,SEA_A,53.92,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,27,adwin,SEA_A,54.24,57000,26,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,27,adwin,SEA_A,53.62,57000,4,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,27,adwin,SEA_A,54.14,57000,24,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,27,adwin,SEA_A,53.88,57000,0,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,27,adwin,SEA_A,54.12,57000,36,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,27,adwin,SEA_A,53.66,57000,1,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,27,adwin,SEA_A,54.14,57000,24,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,27,adwin,SEA_A,53.88,57000,2,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,27,adwin,SEA_A,53.8,57000,32,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,27,adwin,SEA_A,53.9,57000,8,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,37,adwin,SEA_A,54.52,57000,3,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,37,adwin,SEA_A,54.06,57000,5,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,37,adwin,SEA_A,54.58,57000,6,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.66,57000,4,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.14,57000,4,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.7,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.62,57000,5,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.62,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.18,57000,4,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.34,57000,6,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,37,adwin,SEA_A,53.58,57000,7,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,37,adwin,SEA_A,54.54,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.66,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,37,adwin,SEA_A,54.34,57000,6,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,37,adwin,SEA_A,54.32,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,37,adwin,SEA_A,53.5,57000,9,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,37,adwin,SEA_A,54.26,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,37,adwin,SEA_A,54.02,57000,8,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.62,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.14,57000,32,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,37,adwin,SEA_A,53.8,57000,10,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,37,adwin,SEA_A,54.04,57000,8,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,37,adwin,SEA_A,54.28,57000,38,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,37,adwin,SEA_A,54.34,57000,27,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.88,57000,4,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.12,57000,33,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,37,adwin,SEA_A,54.1,57000,28,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,37,adwin,SEA_A,54.06,57000,29,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,47,adwin,SEA_A,53.44,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,47,adwin,SEA_A,53.7,57000,4,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,47,adwin,SEA_A,53.34,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,47,adwin,SEA_A,53.64,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,47,adwin,SEA_A,53.74,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,47,adwin,SEA_A,52.94,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,47,adwin,SEA_A,53.76,57000,0,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,47,adwin,SEA_A,54.3,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,47,adwin,SEA_A,54.02,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,47,adwin,SEA_A,53.9,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,47,adwin,SEA_A,53.66,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,47,adwin,SEA_A,53.46,57000,4,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,47,adwin,SEA_A,53.56,57000,0,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,47,adwin,SEA_A,53.44,57000,1,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,47,adwin,SEA_A,53.68,57000,0,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,47,adwin,SEA_A,53.96,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,47,adwin,SEA_A,53.86,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,47,adwin,SEA_A,53.14,57000,0,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,47,adwin,SEA_A,54.18,57000,23,4,0.1,alarm_persistence
