stream,policy,guarded,detector,population,resets_per_100k,rejected_update_blocks,reset_requests,reset_rejections,unexposed_false_alarm_rate,unexposed_blocks
radar,immediate,False,hddm_w,attacked,63.51459173824378,0.0,307.88888888888886,0.0,,
radar,immediate,False,hddm_w,clean,47.03426281013217,0.0,228.0,0.0,,
radar,immediate,False,hellinger,attacked,6.440851778580477,0.0,31.222222222222218,0.0,,
radar,immediate,False,hellinger,clean,6.6013000435273215,0.0,32.0,0.0,,
radar,immediate,True,adwin,attacked,33.247172615056876,189.11111111111111,325.44444444444446,164.27777777777777,,
radar,immediate,True,adwin,clean,21.660515767824027,176.0,246.0,141.0,,
radar,immediate,True,d3_oof,attacked,2.120209215369018,79.61111111111111,15.055555555555555,4.777777777777778,,
radar,immediate,True,d3_oof,clean,2.4754875163227457,84.0,18.0,6.0,,
radar,immediate,True,hddm_w,attacked,25.4883529458416,184.16666666666666,276.5555555555556,153.0,,
radar,immediate,True,hddm_w,clean,11.345984449812583,172.0,188.0,133.0,,
radar,immediate,True,hellinger,attacked,2.9224505401032417,98.83333333333333,33.55555555555556,19.38888888888889,,
radar,immediate,True,hellinger,clean,2.0629062636022883,108.0,35.0,25.0,,
radar,none,False,none,attacked,0.0,0.0,0.0,0.0,,
radar,none,False,none,clean,0.0,0.0,0.0,0.0,,
radar,none,True,none,attacked,0.0,42.166666666666664,0.0,0.0,,
radar,none,True,none,clean,0.0,36.0,0.0,0.0,,
radar,rl,True,adwin,attacked,30.16427381000679,176.5,259.81481481481484,113.5925925925926,,
radar,rl,True,adwin,clean,30.324722074953637,179.33333333333334,253.33333333333334,106.33333333333333,,
radar,rl_alarm,True,adwin,attacked,36.956583692756546,157.57407407407408,322.6666666666667,143.5185185185185,,
radar,rl_alarm,True,adwin,clean,38.64511067148286,147.33333333333334,322.6666666666667,135.33333333333334,,
