dataset,category,policy,guarded,detector,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RADAR,3,immediate,True,adwin,0.08015295076163238,6.416931087843884,-33.8099503075859,32.21566701520342
RADAR,3,immediate,True,d3_oof,0.43486583663870926,2.6166469760653785,-5.2079242149096245,6.0524590433251255
RADAR,3,immediate,True,hddm_w,1.516403034078162,6.876447478097121,-33.0989991580054,31.206293820518926
RADAR,3,immediate,True,hellinger,-0.9306044782548631,2.1354820205901737,-10.08349367920696,12.406601783023012
RADAR,4,confirmed,False,adwin,-0.3553808260480314,5.131774159788201,0.0,0.0
RADAR,4,confirmed,False,d3_oof,-0.24879986031458579,3.887802569275408,0.0,0.0
RADAR,4,confirmed,False,hddm_w,0.23303814580043491,6.192025780045895,0.0,0.0
RADAR,4,confirmed,False,hellinger,-0.8552539160996334,3.5569313601320407,0.0,0.0
RADAR,4,confirmed,True,adwin,-1.1882735585022803,4.24311774109239,-7.298562057147695,6.4790100878399635
RADAR,4,confirmed,True,d3_oof,-1.9272098713937351,0.6133257096013348,-5.856211370278641,4.75477809324352
RADAR,4,confirmed,True,hddm_w,-0.8152842218834796,4.539141842329197,-3.82901982642843,4.695527008392681
RADAR,4,confirmed,True,hellinger,-1.3307903974494106,2.9527931219953714,-4.896983905305774,4.890739742132343
RADAR,4,immediate,False,adwin,3.8147239961669395,17.726851913954754,0.0,0.0
RADAR,4,immediate,False,d3_oof,-0.6231380780864937,2.7185524614339727,0.0,0.0
RADAR,4,immediate,False,hddm_w,3.5841019068515485,17.214825583077634,0.0,0.0
RADAR,4,immediate,False,hellinger,2.3765940029484955,7.796737012244247,0.0,0.0
RADAR,4,immediate,True,adwin,-4.500745908528555,2.402484462302845,-36.63134454786856,36.66665575127157
RADAR,4,immediate,True,d3_oof,-3.3539480307064324,0.4415557048930225,-5.97296108918951,5.450850550734767
RADAR,4,immediate,True,hddm_w,-2.602024009985556,2.7213873400083153,-34.50386313746888,33.425227332010216
RADAR,4,immediate,True,hellinger,-1.0954392765194054,2.841764406126501,-11.167745884401896,11.712316210576494
RADAR,5,confirmed,False,adwin,-3.872981002753321,2.9236521674345113,0.0,0.0
RADAR,5,confirmed,False,d3_oof,-1.0938183350098403,0.6139551154517272,0.0,0.0
RADAR,5,confirmed,False,hddm_w,-4.2519329982079705,2.811861323198245,0.0,0.0
RADAR,5,confirmed,False,hellinger,-2.686292119338115,2.2019726945679605,0.0,0.0
RADAR,5,confirmed,True,adwin,-5.212715455227316,0.48986931765995595,-12.938446789140926,9.634239401388804
RADAR,5,confirmed,True,d3_oof,-3.215102231766805,-1.2883022939618536,-7.699403264730066,5.532526228355856
RADAR,5,confirmed,True,hddm_w,-6.408330076219389,-0.6713656611532244,-11.598833784085265,8.330393991700566
RADAR,5,confirmed,True,hellinger,-5.54025939956081,-4.0812670264512905,-11.047982432079925,6.644463981416773
RADAR,5,immediate,False,adwin,-1.6887619266521863,12.369459330025755,0.0,0.0
RADAR,5,immediate,False,d3_oof,-4.225224372585967,-0.7815338506595143,0.0,0.0
RADAR,5,immediate,False,hddm_w,-1.783948152607173,12.437008382056442,0.0,0.0
RADAR,5,immediate,False,hellinger,-3.5594333022043583,3.5174657664825286,0.0,0.0
RADAR,5,immediate,True,adwin,-10.444148715876445,-3.499349037995516,-41.35269694009084,32.264230245766726
RADAR,5,immediate,True,d3_oof,-4.54753587829585,-1.0471198995474793,-9.57540371870383,7.795576419842806
RADAR,5,immediate,True,hddm_w,-9.970419237885437,-3.570329503920002,-38.98982774140276,30.411204798649248
RADAR,5,immediate,True,hellinger,-6.069067867848832,-2.119780409197338,-19.33564661340139,13.53194411942669
RADAR,6,confirmed,False,adwin,-4.880187740697839,0.6648026847453062,0.0,0.0
RADAR,6,confirmed,False,d3_oof,-3.5315678368039656,-1.9323430977337424,0.0,0.0
RADAR,6,confirmed,False,hddm_w,-5.679468048880243,0.1429975899895075,0.0,0.0
RADAR,6,confirmed,False,hellinger,-6.068471263359924,-3.144051021107728,0.0,0.0
RADAR,6,confirmed,True,adwin,-6.865076744613148,-0.4557060702099603,-10.54713523716403,8.703299794664543
RADAR,6,confirmed,True,d3_oof,-3.1863851814244186,-2.642931017963461,-5.406687251134653,5.547851427479183
RADAR,6,confirmed,True,hddm_w,-6.427256306449052,-0.6729575711434843,-10.643391749243293,10.233210235528931
RADAR,6,confirmed,True,hellinger,-5.659033767839627,-1.789989629859819,-11.20462034833919,10.046200148519388
RADAR,6,immediate,False,adwin,-4.796556720325373,9.479168204322137,0.0,0.0
RADAR,6,immediate,False,d3_oof,-5.519802007691665,-0.4978734710796148,0.0,0.0
RADAR,6,immediate,False,hddm_w,-4.570507018494644,9.553647124676123,0.0,0.0
RADAR,6,immediate,False,hellinger,-4.81468822174677,2.4676137876647037,0.0,0.0
RADAR,6,immediate,True,adwin,-9.415430828557676,-0.6840111523178223,-40.23735722376076,35.00451617232201
RADAR,6,immediate,True,d3_oof,-3.3526472959017415,-0.14337251068927692,-8.515231731351284,7.267739709792544
RADAR,6,immediate,True,hddm_w,-9.22840667829586,-1.9106254445104813,-40.19451268477401,34.651284536430985
