dataset,base_key,attack_seed,category,mode,level,series,reference,metric,difference
RADAR,radar,1,4,concept,severe,rl_alarm,confirmed,roc_auc,-0.033735370970216505
RADAR,radar,1,5,splice,moderate,rl,none,accuracy,-8.181025109137064
RADAR,radar,1,5,splice,moderate,rl,none,macro_f1,-0.6218826255237841
RADAR,radar,1,5,splice,moderate,rl,none,macro_recall,-1.7805809293101882
RADAR,radar,1,5,splice,moderate,rl,none,roc_auc,-0.17244464572239737
RADAR,radar,1,5,splice,moderate,rl,immediate,accuracy,0.8725590826933805
RADAR,radar,1,5,splice,moderate,rl,immediate,macro_f1,1.9806646422359409
RADAR,radar,1,5,splice,moderate,rl,immediate,macro_recall,2.437265790274723
RADAR,radar,1,5,splice,moderate,rl,immediate,roc_auc,-0.008748711639791185
RADAR,radar,1,5,splice,moderate,rl,confirmed,accuracy,-3.3804275199151634
RADAR,radar,1,5,splice,moderate,rl,confirmed,macro_f1,-0.11369097403445272
RADAR,radar,1,5,splice,moderate,rl,confirmed,macro_recall,0.8419466195971503
RADAR,radar,1,5,splice,moderate,rl,confirmed,roc_auc,-0.12593152499590865
RADAR,radar,1,5,splice,moderate,rl_alarm,none,accuracy,-7.166771459740651
RADAR,radar,1,5,splice,moderate,rl_alarm,none,macro_f1,-2.1791143667260373
RADAR,radar,1,5,splice,moderate,rl_alarm,none,macro_recall,-3.1158642678236257
RADAR,radar,1,5,splice,moderate,rl_alarm,none,roc_auc,-0.14156349836638282
RADAR,radar,1,5,splice,moderate,rl_alarm,immediate,accuracy,1.8868127320897932
RADAR,radar,1,5,splice,moderate,rl_alarm,immediate,macro_f1,0.4234329010336879
RADAR,radar,1,5,splice,moderate,rl_alarm,immediate,macro_recall,1.1019824517612853
RADAR,radar,1,5,splice,moderate,rl_alarm,immediate,roc_auc,0.022132435716223364
RADAR,radar,1,5,splice,moderate,rl_alarm,confirmed,accuracy,-2.3661738705187507
RADAR,radar,1,5,splice,moderate,rl_alarm,confirmed,macro_f1,-1.6709227152367057
RADAR,radar,1,5,splice,moderate,rl_alarm,confirmed,macro_recall,-0.4933367189162874
RADAR,radar,1,5,splice,moderate,rl_alarm,confirmed,roc_auc,-0.0950503776398941
RADAR,radar,1,6,splice,severe,rl,none,accuracy,-6.5783180442925415
RADAR,radar,1,6,splice,severe,rl,none,macro_f1,1.9844509923305276
RADAR,radar,1,6,splice,severe,rl,none,macro_recall,-0.16882217331047888
RADAR,radar,1,6,splice,severe,rl,none,roc_auc,-0.12245327633375758
RADAR,radar,1,6,splice,severe,rl,immediate,accuracy,3.553291308623663
