dataset,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,4,concept,severe,rl,resets_per_100k,28.307658172764732,0.5928571254674502,3,3
RADAR,4,concept,severe,rl,roc_auc,0.8664267241224245,0.010318900372275999,3,3
RADAR,4,concept,severe,rl,seconds_per_100k,139.79140322322328,0.7517989144343178,3,3
RADAR,4,concept,severe,rl_alarm,accuracy,0.617216727410599,0.007793904176873086,3,3
RADAR,4,concept,severe,rl_alarm,clean_withhold_rate,0.34628178136764415,0.0062468672059959925,3,3
RADAR,4,concept,severe,rl_alarm,macro_f1,0.4587879212347789,0.009117108660555057,3,3
RADAR,4,concept,severe,rl_alarm,macro_recall,0.47144335821916744,0.009137840015594721,3,3
RADAR,4,concept,severe,rl_alarm,poison_admission_rate,0.655220371263927,0.027200665019228895,3,3
RADAR,4,concept,severe,rl_alarm,resets_per_100k,34.84019467417198,0.7940129910691598,3,3
RADAR,4,concept,severe,rl_alarm,roc_auc,0.8334070356796538,0.004975512358135165,3,3
RADAR,4,concept,severe,rl_alarm,seconds_per_100k,232.5935186304573,8.146206273731629,3,3
RADAR,5,splice,moderate,confirmed,accuracy,0.6444198520905631,0.012734333375083572,3,3
RADAR,5,splice,moderate,confirmed,clean_withhold_rate,0.1778437362439859,0.014274654767836804,3,3
RADAR,5,splice,moderate,confirmed,macro_f1,0.5116848032816823,0.00835682046553728,3,3
RADAR,5,splice,moderate,confirmed,macro_recall,0.5003591869565546,0.00855451868642628,3,3
RADAR,5,splice,moderate,confirmed,poison_admission_rate,0.7904109789897616,0.010944792161340993,3,3
RADAR,5,splice,moderate,confirmed,resets_per_100k,6.80759066988755,0.35730584598112425,3,3
RADAR,5,splice,moderate,confirmed,roc_auc,0.854552088173608,0.01780069908497239,3,3
RADAR,5,splice,moderate,confirmed,seconds_per_100k,89.3431582819876,3.365327129167607,3,3
RADAR,5,splice,moderate,immediate,accuracy,0.5921055194840719,0.016014705884347565,3,3
RADAR,5,splice,moderate,immediate,clean_withhold_rate,0.40414364468776515,0.012028051860301066,3,3
RADAR,5,splice,moderate,immediate,macro_f1,0.47179261972512765,0.019362992373241135,3,3
RADAR,5,splice,moderate,immediate,macro_recall,0.45900468742891004,0.026864177734911208,3,3
RADAR,5,splice,moderate,immediate,poison_admission_rate,0.5062684774802625,0.005899727936138056,3,3
RADAR,5,splice,moderate,immediate,resets_per_100k,30.66853978555402,1.1730181562728499,3,3
RADAR,5,splice,moderate,immediate,roc_auc,0.7443755465533407,0.010800519490706768,3,3
RADAR,5,splice,moderate,immediate,seconds_per_100k,43.44644355649496,1.272339360664952,3,3
RADAR,5,splice,moderate,none,accuracy,0.6965470066428363,0.012825799288251888,3,3
RADAR,5,splice,moderate,none,clean_withhold_rate,0.08150134223009786,0.02855697075445543,3,3
RADAR,5,splice,moderate,none,macro_f1,0.5067861101050828,0.02286010370463269,3,3
RADAR,5,splice,moderate,none,macro_recall,0.5137407818670358,0.031190086563312947,3,3
RADAR,5,splice,moderate,none,poison_admission_rate,0.9197954468811709,0.04565312709203724,3,3
RADAR,5,splice,moderate,none,resets_per_100k,0.0,0.0,3,3
RADAR,5,splice,moderate,none,roc_auc,0.9184571298053378,0.010009823288605507,3,3
