stream,condition,mode,level,left,right,comparison,alarm_rate_difference,poison_alarm_rate_difference,unexposed_alarm_rate_difference,event_recall_difference,detection_delay_difference,seconds_per_100k_difference
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,adwin,hddm_w,passive_detector,-0.44067796610169496,-0.44067796610169496,,0.0,3.666666666666666,-0.1051672265748493
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,adwin,hellinger,passive_detector,0.01694915254237281,0.01694915254237281,,0.0,1.6666666666666665,-0.0128850016335491
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,d3_oof,hddm_w,passive_detector,-0.5423728813559322,-0.5423728813559322,,-0.6666666666666667,19.333333333333332,0.06109639158239591
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,d3_oof,hellinger,passive_detector,-0.08474576271186449,-0.08474576271186449,,-0.6666666666666667,17.333333333333332,0.1533786165236961
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,hddm_w,hellinger,passive_detector,0.45762711864406774,0.45762711864406774,,0.0,-1.9999999999999998,0.0922822249413002
RBF_I,RBF_I__s116__instance__severe,instance,severe,adwin,d3_oof,passive_detector,0.0508474576271187,0.0508474576271187,,0.33333333333333337,-6.333333333333334,-0.1584549385976667
RBF_I,RBF_I__s116__instance__severe,instance,severe,adwin,hddm_w,passive_detector,-0.5423728813559322,-0.5423728813559322,,0.0,7.666666666666666,-0.1075070087002435
RBF_I,RBF_I__s116__instance__severe,instance,severe,adwin,hellinger,passive_detector,-0.01694915254237289,-0.01694915254237289,,0.0,5.0,-0.0104608417799075
RBF_I,RBF_I__s116__instance__severe,instance,severe,d3_oof,hddm_w,passive_detector,-0.5932203389830509,-0.5932203389830509,,-0.33333333333333337,14.0,0.05094792989742321
RBF_I,RBF_I__s116__instance__severe,instance,severe,d3_oof,hellinger,passive_detector,-0.0677966101694916,-0.0677966101694916,,-0.33333333333333337,11.333333333333334,0.1479940968177592
RBF_I,RBF_I__s116__instance__severe,instance,severe,hddm_w,hellinger,passive_detector,0.5254237288135593,0.5254237288135593,,0.0,-2.6666666666666665,0.09704616692033599
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,adwin,d3_oof,passive_detector,0.35593220338983056,0.6296296296296297,,0.33333333333333337,-4.666666666666667,-0.16317478958323278
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,adwin,hddm_w,passive_detector,-0.33898305084745756,-0.2222222222222222,,0.0,3.0,-0.11849840482076
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,adwin,hellinger,passive_detector,0.3220338983050848,0.5555555555555556,,0.0,-8.0,-0.0106321480416227
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,d3_oof,hddm_w,passive_detector,-0.6949152542372882,-0.8518518518518519,,-0.33333333333333337,7.666666666666667,0.04467638476247279
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,d3_oof,hellinger,passive_detector,-0.0338983050847458,-0.0740740740740741,,-0.33333333333333337,-3.333333333333334,0.1525426415416101
RBF_I,RBF_I__s116__splice__moderate,splice,moderate,hddm_w,hellinger,passive_detector,0.6610169491525424,0.7777777777777777,,0.0,-11.0,0.1078662567791373
RBF_I,RBF_I__s116__splice__severe,splice,severe,adwin,d3_oof,passive_detector,0.3389830508474577,0.6206896551724138,,0.33333333333333337,-13.333333333333334,-0.180964715157946
RBF_I,RBF_I__s116__splice__severe,splice,severe,adwin,hddm_w,passive_detector,-0.3728813559322034,-0.27586206896551735,,0.0,1.3333333333333333,-0.1365811730405161
RBF_I,RBF_I__s116__splice__severe,splice,severe,adwin,hellinger,passive_detector,0.2711864406779661,0.5172413793103449,,0.0,-6.333333333333334,-0.010637846765651701
RBF_I,RBF_I__s116__splice__severe,splice,severe,d3_oof,hddm_w,passive_detector,-0.7118644067796611,-0.8965517241379312,,-0.33333333333333337,14.666666666666666,0.0443835421174299
RBF_I,RBF_I__s116__splice__severe,splice,severe,d3_oof,hellinger,passive_detector,-0.0677966101694916,-0.10344827586206899,,-0.33333333333333337,7.0,0.17032686839229427
RBF_I,RBF_I__s116__splice__severe,splice,severe,hddm_w,hellinger,passive_detector,0.6440677966101696,0.7931034482758622,,0.0,-7.666666666666667,0.12594332627486438
RBF_I,RBF_I__s117__clean__none,clean,none,adwin,d3_oof,passive_detector,0.11864406779661019,,0.0,0.6666666666666667,-15.0,-0.1719565951983289
RBF_I,RBF_I__s117__clean__none,clean,none,adwin,hddm_w,passive_detector,-0.5254237288135594,,-0.625,0.0,0.6666666666666667,-0.11540424505559109
RBF_I,RBF_I__s117__clean__none,clean,none,adwin,hellinger,passive_detector,0.05084745762711859,,0.0,0.0,-2.0,-0.009029795085856
RBF_I,RBF_I__s117__clean__none,clean,none,d3_oof,hddm_w,passive_detector,-0.6440677966101696,,-0.625,-0.6666666666666667,15.666666666666666,0.056552350142737795
RBF_I,RBF_I__s117__clean__none,clean,none,d3_oof,hellinger,passive_detector,-0.0677966101694916,,0.0,-0.6666666666666667,13.0,0.1629268001124729
RBF_I,RBF_I__s117__clean__none,clean,none,hddm_w,hellinger,passive_detector,0.576271186440678,,0.625,0.0,-2.666666666666667,0.1063744499697351
RBF_I,RBF_I__s117__concept__moderate,concept,moderate,adwin,d3_oof,passive_detector,0.5423728813559322,0.9259259259259258,,0.6666666666666667,-29.666666666666668,-0.1670847231677424
RBF_I,RBF_I__s117__concept__moderate,concept,moderate,adwin,hddm_w,passive_detector,-0.22033898305084754,0.07407407407407396,,0.0,0.6666666666666667,-0.1277936780631232
RBF_I,RBF_I__s117__concept__moderate,concept,moderate,adwin,hellinger,passive_detector,0.45762711864406774,0.9259259259259258,,0.0,-6.0,-0.010214166541118199
RBF_I,RBF_I__s117__concept__moderate,concept,moderate,d3_oof,hddm_w,passive_detector,-0.7627118644067797,-0.8518518518518519,,-0.6666666666666667,30.333333333333332,0.0392910451046192
RBF_I,RBF_I__s117__concept__moderate,concept,moderate,d3_oof,hellinger,passive_detector,-0.08474576271186449,0.0,,-0.6666666666666667,23.666666666666664,0.1568705566266242
RBF_I,RBF_I__s117__concept__moderate,concept,moderate,hddm_w,hellinger,passive_detector,0.6779661016949152,0.8518518518518519,,0.0,-6.666666666666667,0.117579511522005
RBF_I,RBF_I__s117__concept__severe,concept,severe,adwin,d3_oof,passive_detector,0.4576271186440678,0.7586206896551724,,1.0,,-0.1970596453368974
RBF_I,RBF_I__s117__concept__severe,concept,severe,adwin,hddm_w,passive_detector,-0.3389830508474576,-0.206896551724138,,0.0,3.0,-0.1415925646142569
RBF_I,RBF_I__s117__concept__severe,concept,severe,adwin,hellinger,passive_detector,0.3559322033898305,0.6551724137931034,,0.0,2.666666666666666,-0.010597636719467101
RBF_I,RBF_I__s117__concept__severe,concept,severe,d3_oof,hddm_w,passive_detector,-0.7966101694915254,-0.9655172413793104,,-1.0,,0.055467080722640505
RBF_I,RBF_I__s117__concept__severe,concept,severe,d3_oof,hellinger,passive_detector,-0.1016949152542373,-0.1034482758620689,,-1.0,,0.18646200861743029
RBF_I,RBF_I__s117__concept__severe,concept,severe,hddm_w,hellinger,passive_detector,0.6949152542372881,0.8620689655172415,,0.0,-0.3333333333333335,0.13099492789478978
RBF_I,RBF_I__s117__instance__moderate,instance,moderate,adwin,d3_oof,passive_detector,0.11864406779661019,0.11864406779661019,,0.6666666666666667,-12.333333333333334,-0.1647758496498378
RBF_I,RBF_I__s117__instance__moderate,instance,moderate,adwin,hddm_w,passive_detector,-0.4915254237288136,-0.4915254237288136,,0.0,1.6666666666666665,-0.11040993481098359
RBF_I,RBF_I__s117__instance__moderate,instance,moderate,adwin,hellinger,passive_detector,0.05084745762711859,0.05084745762711859,,0.0,-1.3333333333333335,-0.009655418349818
RBF_I,RBF_I__s117__instance__moderate,instance,moderate,d3_oof,hddm_w,passive_detector,-0.6101694915254238,-0.6101694915254238,,-0.6666666666666667,14.0,0.054365914838854196
RBF_I,RBF_I__s117__instance__moderate,instance,moderate,d3_oof,hellinger,passive_detector,-0.0677966101694916,-0.0677966101694916,,-0.6666666666666667,11.0,0.1551204313000198
RBF_I,RBF_I__s117__instance__moderate,instance,moderate,hddm_w,hellinger,passive_detector,0.5423728813559322,0.5423728813559322,,0.0,-3.0,0.1007545164611656
RBF_I,RBF_I__s117__instance__severe,instance,severe,adwin,d3_oof,passive_detector,0.08474576271186449,0.08474576271186449,,0.6666666666666667,-16.0,-0.1652315280807671
RBF_I,RBF_I__s117__instance__severe,instance,severe,adwin,hddm_w,passive_detector,-0.5254237288135593,-0.5254237288135593,,0.0,1.6666666666666667,-0.10715445498741859
RBF_I,RBF_I__s117__instance__severe,instance,severe,adwin,hellinger,passive_detector,0.01694915254237289,0.01694915254237289,,0.0,-1.0,-0.010595900045397401
RBF_I,RBF_I__s117__instance__severe,instance,severe,d3_oof,hddm_w,passive_detector,-0.6101694915254238,-0.6101694915254238,,-0.6666666666666667,17.666666666666668,0.0580770730933485
