experiment,stream,condition,mode,level,detector,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,immediate_unscreened,none_screened,policy,-0.0220175927856735,-0.017129186602870827,0.3788251846640872,-0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,immediate_unscreened,none_unscreened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,none_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_screened,confirmed_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.19591980302497358,0.1765479163927961,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_screened,immediate_screened,policy,-0.05174741527901422,-0.0488995215311005,0.2718958846289131,-0.27303799132378076,,,-8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_screened,immediate_unscreened,policy,-0.10018893114936761,-0.09138755980861246,-0.19591980302497358,0.1765479163927961,,,-33.333333333333336,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_screened,none_screened,policy,0.0,0.0,0.18290538163911363,-0.18141185749967137,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.19591980302497358,0.1765479163927961,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_unscreened,immediate_screened,policy,-0.07376500806468772,-0.06602870813397133,0.4678156876538867,-0.44958590771657686,,,-16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_unscreened,immediate_unscreened,policy,-0.12220652393504111,-0.10851674641148329,0.0,0.0,,,-41.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_unscreened,none_screened,policy,-0.0220175927856735,-0.017129186602870827,0.3788251846640872,-0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,confirmed_unscreened,none_unscreened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,immediate_screened,immediate_unscreened,policy,-0.04844151587035339,-0.042488038277511964,-0.4678156876538867,0.44958590771657686,,,-25.000000000000004,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,immediate_screened,none_screened,policy,0.05174741527901422,0.0488995215311005,-0.08899050298979949,0.09162613382410939,,,16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,immediate_screened,none_unscreened,policy,0.07376500806468772,0.06602870813397133,-0.4678156876538867,0.44958590771657686,,,16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,immediate_unscreened,none_screened,policy,0.10018893114936761,0.09138755980861246,0.3788251846640872,-0.35795977389246747,,,41.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,immediate_unscreened,none_unscreened,policy,0.12220652393504111,0.10851674641148329,0.0,0.0,,,41.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hddm_w,none_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_screened,confirmed_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_screened,immediate_screened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_screened,immediate_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_screened,none_screened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_unscreened,immediate_screened,policy,-0.0220175927856735,-0.017129186602870827,0.3788251846640872,-0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_unscreened,immediate_unscreened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_unscreened,none_screened,policy,-0.0220175927856735,-0.017129186602870827,0.3788251846640872,-0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,confirmed_unscreened,none_unscreened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,immediate_screened,immediate_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,immediate_screened,none_screened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,immediate_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,immediate_unscreened,none_screened,policy,-0.0220175927856735,-0.017129186602870827,0.3788251846640872,-0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,immediate_unscreened,none_unscreened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,hellinger,none_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_screened,confirmed_unscreened,policy,-0.0170933440623513,-0.013588516746411483,,0.18181818181818182,,,8.333333333333334,15833.333333333343
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_screened,immediate_screened,policy,-0.0012327392605202547,-0.0015311004784689386,,-0.09090909090909088,,,0.0,15833.333333333343
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_screened,immediate_unscreened,policy,-0.028093888729773475,-0.02401913875598083,,0.18181818181818182,,,-8.333333333333334,15833.333333333343
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_screened,none_screened,policy,-7.209224033344341e-05,-0.0005741626794257826,,0.0,,,8.333333333333334,15833.333333333343
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_screened,none_unscreened,policy,-0.0170933440623513,-0.013588516746411483,,0.18181818181818182,,,8.333333333333334,15833.333333333343
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_unscreened,immediate_screened,policy,0.015860604801831046,0.012057416267942545,,-0.2727272727272727,,,-8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_unscreened,immediate_unscreened,policy,-0.011000544667422174,-0.010430622009569346,,0.0,,,-16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_unscreened,none_screened,policy,0.017021251822017858,0.0130143540669857,,-0.18181818181818182,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,confirmed_unscreened,none_unscreened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,immediate_screened,immediate_unscreened,policy,-0.02686114946925322,-0.02248803827751189,,0.2727272727272727,,,-8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,immediate_screened,none_screened,policy,0.0011606470201868113,0.000956937799043156,,0.09090909090909088,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,immediate_screened,none_unscreened,policy,-0.015860604801831046,-0.012057416267942545,,0.2727272727272727,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,immediate_unscreened,none_screened,policy,0.028021796489440032,0.023444976076555046,,-0.18181818181818182,,,16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,immediate_unscreened,none_unscreened,policy,0.011000544667422174,0.010430622009569346,,0.0,,,16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,adwin,none_screened,none_unscreened,policy,-0.017021251822017858,-0.0130143540669857,,0.18181818181818182,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,d3_oof,confirmed_screened,confirmed_unscreened,policy,-0.017021251822017858,-0.0130143540669857,,0.18181818181818182,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,d3_oof,confirmed_screened,immediate_screened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,d3_oof,confirmed_screened,immediate_unscreened,policy,-0.017021251822017858,-0.0130143540669857,,0.18181818181818182,,,0.0,0.0
