rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,feedback_fraction,delay_blocks,no_feedback_blocks,status
60000,57000,35150,34200,36,0.6614936249970924,False,3000,rl,True,47495,0.9101379092536056,0.9019395089503721,8555,4529,0.5293980128579778,47495,17824,0.37528160859037796,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,q_alarm_7,0.05,1,0,complete
60000,57000,35150,34200,36,0.6566750420024619,False,3000,rl,True,47495,0.9101379092536056,0.9019395089503721,8555,4529,0.5293980128579778,47495,17824,0.37528160859037796,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,q_alarm_27,0.05,1,0,complete
60000,57000,51300,0,0,0.9169561250018887,False,3000,rl,True,47495,0.8955890093694073,0.8861342519431801,8555,6889,0.8052600818234951,47495,4034,0.08493525634277292,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,q_alarm_17,0.05,1,0,complete
60000,57000,38000,30400,32,0.6558005410042824,False,3000,rl,True,47495,0.9099484156226971,0.9018095348911437,8555,4945,0.5780245470485097,47495,15390,0.32403410885356354,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,35150,3800,4,0.7327818750054576,False,3000,rl,True,47495,0.9018844088851458,0.8936349415721339,8555,4512,0.5274108708357685,47495,17807,0.3749236761764396,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,q_alarm_persistence_17,0.05,1,0,complete
60000,57000,35150,33250,35,0.6535749589966144,False,3000,rl,True,47495,0.9092325507948205,0.9008789722195182,8555,4529,0.5293980128579778,47495,17824,0.37528160859037796,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,q_alarm_persistence_27,0.05,1,0,complete
60000,60800,39900,2850,1,0.7811290840036236,False,3000,confirmed,True,41816,0.9015448632102544,0.8930594226880109,14234,10174,0.7147674581986793,41816,14940,0.3572795102353166,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,confirmed,0.05,1,0,complete
60000,57000,42750,0,0,0.8476361669891048,False,3000,none,True,41816,0.897957719533193,0.88854004173029,14234,10577,0.7430799494168892,41816,10593,0.2533240864740769,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,no_reset,0.05,1,0,complete
60000,57000,38000,34200,36,0.6549572919902857,False,3000,rl,True,41816,0.9097474650851349,0.9014582444910384,14234,9559,0.6715610510046368,41816,14325,0.3425722211593648,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,selected_map,0.05,1,0,complete
60000,57000,27550,6650,7,0.6989368749927962,False,3000,rl,True,41816,0.9065668643581404,0.8981986145817674,14234,7282,0.5115919629057187,41816,22498,0.538023722976851,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,error_rule,0.05,1,0,complete
60000,57000,38000,37050,39,0.6526184999966063,False,3000,rl,True,41816,0.9102496651999235,0.9020672806974995,14234,9559,0.6715610510046368,41816,14325,0.3425722211593648,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,q_alarm_7,0.05,1,0,complete
60000,57000,42750,0,0,0.8549329590023262,False,3000,rl,True,41816,0.897957719533193,0.88854004173029,14234,10577,0.7430799494168892,41816,10593,0.2533240864740769,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,q_alarm_17,0.05,1,0,complete
60000,57000,38000,37050,39,0.6534332500013988,False,3000,rl,True,41816,0.9102496651999235,0.9020672806974995,14234,9559,0.6715610510046368,41816,14325,0.3425722211593648,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,q_alarm_27,0.05,1,0,complete
60000,57000,40850,34200,36,0.6633112919953419,False,3000,rl,True,41816,0.9077864932083413,0.8991730625769185,14234,10255,0.7204580581705775,41816,12171,0.29106083795676296,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,38950,1900,2,0.7737914999888744,False,3000,rl,True,41816,0.9003491486512339,0.8914434687168357,14234,9418,0.6616551917942953,41816,13234,0.3164817294815382,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,q_alarm_persistence_17,0.05,1,0,complete
60000,57000,38000,36100,38,0.6593262499955017,False,3000,rl,True,41816,0.9093409221350679,0.9010158618515545,14234,9559,0.6715610510046368,41816,14325,0.3425722211593648,SEA_A__s115__splice__severe,SEA_A,splice,severe,115,q_alarm_persistence_27,0.05,1,0,complete
60000,58900,47500,2850,1,0.808027500010212,False,3000,confirmed,True,56050,0.911935771632471,0.9043171542709807,0,0,,56050,10450,0.1864406779661017,SEA_A__s116__clean__none,SEA_A,clean,none,116,confirmed,0.05,1,0,complete
60000,57000,45600,0,0,0.8895682919974206,False,3000,none,True,56050,0.9031400535236396,0.893737251044757,0,0,,56050,11400,0.2033898305084746,SEA_A__s116__clean__none,SEA_A,clean,none,116,no_reset,0.05,1,0,complete
60000,57000,31350,5700,6,0.7015847500006203,False,3000,rl,True,56050,0.9094736842105263,0.9009025897179561,0,0,,56050,25650,0.4576271186440678,SEA_A__s116__clean__none,SEA_A,clean,none,116,error_rule,0.05,1,0,complete
60000,57000,37050,36100,38,0.6675615410058526,False,3000,rl,True,56050,0.9148617305976806,0.9062898245017204,0,0,,56050,19950,0.3559322033898305,SEA_A__s116__clean__none,SEA_A,clean,none,116,selected_map,0.05,1,0,complete
60000,57000,37050,36100,38,0.6587219590001041,False,3000,rl,True,56050,0.9148617305976806,0.9062898245017204,0,0,,56050,19950,0.3559322033898305,SEA_A__s116__clean__none,SEA_A,clean,none,116,q_alarm_7,0.05,1,0,complete
60000,57000,45600,0,0,0.901094999993802,False,3000,rl,True,56050,0.9031400535236396,0.893737251044757,0,0,,56050,11400,0.2033898305084746,SEA_A__s116__clean__none,SEA_A,clean,none,116,q_alarm_17,0.05,1,0,complete
60000,57000,37050,36100,38,0.6569459159945836,False,3000,rl,True,56050,0.9148617305976806,0.9062898245017204,0,0,,56050,19950,0.3559322033898305,SEA_A__s116__clean__none,SEA_A,clean,none,116,q_alarm_27,0.05,1,0,complete
60000,57000,39900,34200,36,0.6680054169992218,False,3000,rl,True,56050,0.9152899197145405,0.9068031449598034,0,0,,56050,17100,0.3050847457627119,SEA_A__s116__clean__none,SEA_A,clean,none,116,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,45600,1900,2,0.7750746670062654,False,3000,rl,True,56050,0.9128991971454059,0.9053949471104166,0,0,,56050,11400,0.2033898305084746,SEA_A__s116__clean__none,SEA_A,clean,none,116,q_alarm_persistence_17,0.05,1,0,complete
60000,57000,37050,36100,38,0.657270083000185,False,3000,rl,True,56050,0.9148617305976806,0.9062898245017204,0,0,,56050,19950,0.3559322033898305,SEA_A__s116__clean__none,SEA_A,clean,none,116,q_alarm_persistence_27,0.05,1,0,complete
60000,57000,40850,0,0,0.7982485410029767,False,3000,none,True,56050,0.907172167707404,0.8980345275810834,8529,6126,0.7182553640520577,47521,13747,0.28928263294122597,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,no_reset,0.05,1,0,complete
60000,58900,34200,2850,1,0.7443658330012113,False,3000,confirmed,True,56050,0.9159322033898305,0.9081155659415401,8529,4808,0.5637237659749091,47521,20979,0.44146798257612424,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,confirmed,0.05,1,0,complete
60000,57000,25650,4750,5,0.70101324999996,False,3000,rl,True,56050,0.9174308652988403,0.9098720767161096,8529,3776,0.44272482119826473,47521,26597,0.5596894004755792,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,error_rule,0.05,1,0,complete
60000,57000,30400,29450,31,0.6572312080097618,False,3000,rl,True,56050,0.9169491525423729,0.9095641297616786,8529,4470,0.5240942666197679,47521,22541,0.47433766124450244,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,selected_map,0.05,1,0,complete
60000,57000,30400,29450,31,0.6602916669944534,False,3000,rl,True,56050,0.9169491525423729,0.9095641297616786,8529,4470,0.5240942666197679,47521,22541,0.47433766124450244,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,q_alarm_7,0.05,1,0,complete
60000,57000,40850,0,0,0.8097432499926072,False,3000,rl,True,56050,0.907172167707404,0.8980345275810834,8529,6126,0.7182553640520577,47521,13747,0.28928263294122597,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,q_alarm_17,0.05,1,0,complete
60000,57000,30400,29450,31,0.6556878339906689,False,3000,rl,True,56050,0.9169491525423729,0.9095641297616786,8529,4470,0.5240942666197679,47521,22541,0.47433766124450244,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,q_alarm_27,0.05,1,0,complete
60000,57000,31350,25650,27,0.6644982500001788,False,3000,rl,True,56050,0.9184121320249777,0.9110581357394265,8529,4664,0.5468401922851448,47521,21785,0.4584289051156331,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,32300,950,1,0.7218135419971077,False,3000,rl,True,56050,0.9060838537020517,0.8970636804229369,8529,4856,0.5693516238714973,47521,21027,0.44247806233033815,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,q_alarm_persistence_17,0.05,1,0,complete
60000,57000,30400,29450,31,0.6660012079955777,False,3000,rl,True,56050,0.9169491525423729,0.9095641297616786,8529,4470,0.5240942666197679,47521,22541,0.47433766124450244,SEA_A__s116__instance__moderate,SEA_A,instance,moderate,116,q_alarm_persistence_27,0.05,1,0,complete
60000,57000,49400,0,0,0.8518670829944313,False,3000,none,True,56050,0.8874219446922391,0.8763503167858626,14241,12352,0.8673548205884418,41809,5711,0.13659738333851562,SEA_A__s116__instance__severe,SEA_A,instance,severe,116,no_reset,0.05,1,0,complete
60000,57000,49400,0,0,0.850189999997383,False,3000,confirmed,True,56050,0.8874219446922391,0.8763503167858626,14241,12352,0.8673548205884418,41809,5711,0.13659738333851562,SEA_A__s116__instance__severe,SEA_A,instance,severe,116,confirmed,0.05,1,0,complete
60000,57000,25650,4750,5,0.6931139999942388,False,3000,rl,True,56050,0.9107047279214987,0.9026036488567999,14241,6320,0.44378905975703953,41809,23429,0.5603817359898586,SEA_A__s116__instance__severe,SEA_A,instance,severe,116,error_rule,0.05,1,0,complete
