experiment,stream,detector,method,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E2_RL,RBF_I,d3_oof,confirmed_screened,0.5427351285105159,0.5470164557477768,0.6953901875392953,0.2354406487115565,,,0.5714285714285714,96809.52380952382
E2_RL,RBF_I,d3_oof,error_rule,0.5294746960413691,0.5349573750121733,0.48443351176312954,0.3807924420399266,,,12.285714285714286,95000.0
E2_RL,RBF_I,d3_oof,none_screened,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E2_RL,RBF_I,d3_oof,selected_map,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E2_RL,RBF_I,hddm_w,RL_2state,0.5303525684355658,0.5350428272041851,0.5173108215964699,0.3958975105633021,,,22.742857142857144,95000.0
E2_RL,RBF_I,hddm_w,RL_4state,0.531573243989392,0.5363231641556607,0.6597686170107973,0.2777747048432265,,,4.095238095238096,95000.0
E2_RL,RBF_I,hddm_w,confirmed_screened,0.5283252562122028,0.5335324115175809,0.6743214840720988,0.2563475700767581,,,4.0,111014.28571428571
E2_RL,RBF_I,hddm_w,error_rule,0.5294746960413691,0.5349573750121733,0.48443351176312954,0.3807924420399266,,,12.285714285714286,95000.0
E2_RL,RBF_I,hddm_w,none_screened,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E2_RL,RBF_I,hddm_w,selected_map,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E2_RL,RBF_I,hellinger,RL_2state,0.5345621996544292,0.5389367303273799,0.5772780709480275,0.3392003789758857,,,18.304761904761904,95000.0
E2_RL,RBF_I,hellinger,RL_4state,0.5298528636630626,0.5346430806600017,0.6146770984838891,0.3032219243062877,,,9.39047619047619,95000.0
E2_RL,RBF_I,hellinger,confirmed_screened,0.5374784137416396,0.542059210570544,0.667214725088399,0.25954848866374197,,,2.2857142857142856,102871.42857142857
E2_RL,RBF_I,hellinger,error_rule,0.5294746960413691,0.5349573750121733,0.48443351176312954,0.3807924420399266,,,12.285714285714286,95000.0
