stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,resets,training_visits,seconds,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,policy,guarded,detector,status,folder,rows,accepted_training_visits,accepted_refit_rows,pending_candidate,audit_rows_reserved
RBF_I,instance,moderate,116.0,2934809029.0,,RBF_I__s116,RBF_I__s116__instance__moderate,2,62700,2.790581708002719,56050,0.5261373773416592,0.5137964309337177,8561,6674,0.7795818245532063,47489,10463,0.22032470677420035,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__instance__moderate/confirmed_screened,,,,,
RBF_I,instance,moderate,116.0,2934809029.0,,RBF_I__s116,RBF_I__s116__instance__moderate,3,62700,2.313573457999155,56050,0.5311685994647636,0.5220891181346962,8561,8561,1.0,47489,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__instance__moderate/confirmed_unscreened,60000.0,62700.0,8550.0,False,3000.0
RBF_I,instance,moderate,116.0,2934809029.0,,RBF_I__s116,RBF_I__s116__instance__moderate,2,57000,2.506434833019739,56050,0.5531132917038358,0.543987630757306,8561,6219,0.7264338278238524,47489,12858,0.27075743856472023,,,immediate,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__instance__moderate/immediate_screened,60000.0,41800.0,1900.0,False,3000.0
RBF_I,instance,moderate,116.0,2934809029.0,,RBF_I__s116,RBF_I__s116__instance__moderate,5,57000,2.1552650830126368,56050,0.5100624442462087,0.49964791450996315,8561,8561,1.0,47489,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__instance__moderate/immediate_unscreened,60000.0,57000.0,4750.0,False,3000.0
RBF_I,instance,severe,116.0,1132950715.0,,RBF_I__s116,RBF_I__s116__instance__severe,0,60800,2.913364291001926,56050,0.5074576271186441,0.4977877621123201,14248,11071,0.7770213363279057,41802,9173,0.2194392612793646,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__instance__severe/confirmed_screened,,,,,
RBF_I,instance,severe,116.0,1132950715.0,,RBF_I__s116,RBF_I__s116__instance__severe,2,60800,2.230437666992657,56050,0.48995539696699375,0.4768317935613827,14248,14248,1.0,41802,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__instance__severe/confirmed_unscreened,60000.0,60800.0,5700.0,False,3000.0
RBF_I,instance,severe,116.0,1132950715.0,,RBF_I__s116,RBF_I__s116__instance__severe,2,57000,2.521610124997096,56050,0.4869937555753791,0.4715045761696231,14248,9604,0.6740595171252105,41802,13406,0.3207023587388163,,,immediate,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__instance__severe/immediate_screened,60000.0,38950.0,1900.0,False,3000.0
RBF_I,instance,severe,116.0,1132950715.0,,RBF_I__s116,RBF_I__s116__instance__severe,4,57000,2.129428292013472,56050,0.46488849241748437,0.4464028322855694,14248,14248,1.0,41802,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__instance__severe/immediate_unscreened,60000.0,57000.0,3800.0,False,3000.0
RBF_I,splice,moderate,116.0,2889189400.0,,RBF_I__s116,RBF_I__s116__splice__moderate,2,60800,2.8105452909949236,47517,0.5397647157859292,0.5368138952861697,8533,6577,0.7707722957928044,47517,6594,0.13877138708251782,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__splice__moderate/confirmed_screened,,,,,
RBF_I,splice,moderate,116.0,2889189400.0,,RBF_I__s116,RBF_I__s116__splice__moderate,5,66500,2.356621249986347,47517,0.5144685060083759,0.5098696905584735,8533,8533,1.0,47517,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__splice__moderate/confirmed_unscreened,60000.0,66500.0,14250.0,False,3000.0
