condition,dataset,base_key,attack_seed,mode,level,series,category,source_run,rows,audit_rows,policy,learner_resets,events_path,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k
radar__concept__severe__a1,RADAR,radar,1.0,concept,severe,d3_oof,4,radar__concept__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a1/d3_oof/alarms.parquet,0.026859504132231406,13,484,393,11,0.027989821882951654,4,1,0.25,,,,,10.873123157042686
radar__concept__severe__a1,RADAR,radar,1.0,concept,severe,hddm_w,4,radar__concept__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a1/hddm_w/alarms.parquet,0.7892561983471075,382,484,393,332,0.8447837150127226,4,2,0.5,,,,,1.939945766056342
radar__concept__severe__a1,RADAR,radar,1.0,concept,severe,hellinger,4,radar__concept__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a1/hellinger/alarms.parquet,0.06611570247933884,32,484,393,20,0.05089058524173028,4,0,0.0,,,,,0.382891368706062
radar__concept__severe__a2,RADAR,radar,2.0,concept,severe,adwin,4,radar__concept__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a2/adwin/alarms.parquet,0.9090909090909091,440,484,378,361,0.955026455026455,6,5,0.8333333333333334,,,,,0.14415861268813554
radar__concept__severe__a2,RADAR,radar,2.0,concept,severe,d3_oof,4,radar__concept__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a2/d3_oof/alarms.parquet,0.03305785123966942,16,484,378,13,0.03439153439153439,6,0,0.0,,,,,10.867835185819512
radar__concept__severe__a2,RADAR,radar,2.0,concept,severe,hddm_w,4,radar__concept__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a2/hddm_w/alarms.parquet,0.7665289256198347,371,484,378,309,0.8174603174603174,6,4,0.6666666666666666,,,,,1.8814499550491444
radar__concept__severe__a2,RADAR,radar,2.0,concept,severe,hellinger,4,radar__concept__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a2/hellinger/alarms.parquet,0.05785123966942149,28,484,378,17,0.04497354497354497,6,1,0.16666666666666666,,,,,0.36772729692058337
radar__splice__moderate__a0,RADAR,radar,0.0,splice,moderate,adwin,5,radar__splice__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a0/adwin/alarms.parquet,0.7975206611570248,386,484,282,249,0.8829787234042553,46,34,0.7391304347826086,,,,,0.13810142536419642
radar__splice__moderate__a0,RADAR,radar,0.0,splice,moderate,d3_oof,5,radar__splice__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a0/d3_oof/alarms.parquet,0.028925619834710745,14,484,282,8,0.028368794326241134,46,2,0.043478260869565216,,,,,17.95793936337301
radar__splice__moderate__a0,RADAR,radar,0.0,splice,moderate,hddm_w,5,radar__splice__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a0/hddm_w/alarms.parquet,0.6900826446280992,334,484,282,227,0.8049645390070922,46,31,0.6739130434782609,,,,,2.055863811344131
radar__splice__moderate__a0,RADAR,radar,0.0,splice,moderate,hellinger,5,radar__splice__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a0/hellinger/alarms.parquet,0.08057851239669421,39,484,282,23,0.08156028368794327,46,3,0.06521739130434782,,,,,0.41360057700074976
