dataset,category,mode,level,series,metric,mean,sd,defined,runs
RADAR,5,splice,moderate,hellinger,unexposed_alarm_rate,0.0869438087973557,0.02664046316875431,3,3
RADAR,6,splice,severe,adwin,alarm_rate,0.8546831955922864,0.019197465378465988,3,3
RADAR,6,splice,severe,adwin,detection_delay,,,0,3
RADAR,6,splice,severe,adwin,event_recall,,,0,3
RADAR,6,splice,severe,adwin,poison_alarm_rate,0.886631219127897,0.024083546738416648,3,3
RADAR,6,splice,severe,adwin,seconds_per_100k,0.10367335543469387,0.005146505999809738,3,3
RADAR,6,splice,severe,adwin,unexposed_alarm_rate,0.6574074074074074,0.09755234956345124,3,3
RADAR,6,splice,severe,d3_oof,alarm_rate,0.02823691460055096,0.00664163275550479,3,3
RADAR,6,splice,severe,d3_oof,detection_delay,,,0,3
RADAR,6,splice,severe,d3_oof,event_recall,,,0,3
RADAR,6,splice,severe,d3_oof,poison_alarm_rate,0.027289600523064523,0.007845351543554951,3,3
RADAR,6,splice,severe,d3_oof,seconds_per_100k,16.380386113913644,0.3637055602159238,3,3
RADAR,6,splice,severe,d3_oof,unexposed_alarm_rate,0.1574074074074074,0.1370245239532291,3,3
RADAR,6,splice,severe,hddm_w,alarm_rate,0.7637741046831956,0.019197465378466158,3,3
RADAR,6,splice,severe,hddm_w,detection_delay,,,0,3
RADAR,6,splice,severe,hddm_w,event_recall,,,0,3
RADAR,6,splice,severe,hddm_w,poison_alarm_rate,0.8082159514415194,0.028194041684933033,3,3
RADAR,6,splice,severe,hddm_w,seconds_per_100k,2.025690409911776,0.1612925694194128,3,3
RADAR,6,splice,severe,hddm_w,unexposed_alarm_rate,0.5833333333333334,0.15466012118972283,3,3
RADAR,6,splice,severe,hellinger,alarm_rate,0.07369146005509641,0.009316631720708459,3,3
RADAR,6,splice,severe,hellinger,detection_delay,,,0,3
RADAR,6,splice,severe,hellinger,event_recall,,,0,3
RADAR,6,splice,severe,hellinger,poison_alarm_rate,0.06905061907220254,0.006703521275691861,3,3
RADAR,6,splice,severe,hellinger,seconds_per_100k,0.395072679672394,0.033973858725059904,3,3
RADAR,6,splice,severe,hellinger,unexposed_alarm_rate,0.07407407407407407,0.12830005981991682,3,3
RBF,0,clean,none,adwin,alarm_rate,0.05488621151271753,0.0023186757798780186,3,3
RBF,0,clean,none,adwin,detection_delay,7.222222222222221,2.694301256218253,3,3
RBF,0,clean,none,adwin,event_recall,1.0,0.0,3,3
RBF,0,clean,none,adwin,poison_alarm_rate,,,0,3
RBF,0,clean,none,adwin,seconds_per_100k,0.091183894003431,0.016569484802221486,3,3
RBF,0,clean,none,adwin,unexposed_alarm_rate,0.03773584905660377,0.01886792452830189,3,3
RBF,0,clean,none,d3_oof,alarm_rate,0.03614457831325301,0.008032128514056226,3,3
RBF,0,clean,none,d3_oof,detection_delay,13.888888888888888,8.921468073842588,3,3
RBF,0,clean,none,d3_oof,event_recall,1.0,0.0,3,3
RBF,0,clean,none,d3_oof,poison_alarm_rate,,,0,3
RBF,0,clean,none,d3_oof,seconds_per_100k,0.9995179466592768,0.12095378234929041,3,3
RBF,0,clean,none,d3_oof,unexposed_alarm_rate,0.031446540880503145,0.010893401305464635,3,3
RBF,0,clean,none,hddm_w,alarm_rate,0.3453815261044177,0.07437855091346239,3,3
RBF,0,clean,none,hddm_w,detection_delay,3.5555555555555554,0.5091750772173156,3,3
RBF,0,clean,none,hddm_w,event_recall,1.0,0.0,3,3
RBF,0,clean,none,hddm_w,poison_alarm_rate,,,0,3
RBF,0,clean,none,hddm_w,seconds_per_100k,0.6403308397779862,0.00887394383248822,3,3
RBF,0,clean,none,hddm_w,unexposed_alarm_rate,0.3333333333333333,0.06626197328838203,3,3
RBF,0,clean,none,hellinger,alarm_rate,0.0856760374832664,0.009274703119512062,3,3
RBF,0,clean,none,hellinger,detection_delay,8.777777777777777,4.682512779045662,3,3
RBF,0,clean,none,hellinger,event_recall,1.0,0.0,3,3
RBF,0,clean,none,hellinger,poison_alarm_rate,,,0,3
RBF,0,clean,none,hellinger,seconds_per_100k,0.07064022698129217,0.005187134718708057,3,3
RBF,0,clean,none,hellinger,unexposed_alarm_rate,0.0880503144654088,0.010893401305464638,3,3
RBF,1,instance,moderate,adwin,alarm_rate,0.05488621151271753,0.0023186757798780186,3,3
RBF,1,instance,moderate,adwin,detection_delay,7.888888888888889,2.775554665954844,3,3
RBF,1,instance,moderate,adwin,event_recall,1.0,0.0,3,3
RBF,1,instance,moderate,adwin,poison_alarm_rate,0.05488621151271753,0.0023186757798780186,3,3
