dataset,series,category,mode,level,profile,metric,mean,sd,defined,realizations
RADAR,d3_oof,6,splice,severe,confirmed_unscreened,accuracy,0.6595582158458351,0.0161608788581172,3,3
RADAR,d3_oof,6,splice,severe,confirmed_unscreened,macro_f1,0.4943165477710018,0.0181241498170378,3,3
RADAR,d3_oof,6,splice,severe,confirmed_unscreened,macro_recall,0.4880603269565535,0.0141543956525859,3,3
RADAR,d3_oof,6,splice,severe,confirmed_unscreened,roc_auc,0.8776804681762406,0.0086360774793523,3,3
RADAR,d3_oof,6,splice,severe,immediate_screened,accuracy,0.6516441871315233,0.0092914448660525,3,3
RADAR,d3_oof,6,splice,severe,immediate_screened,macro_f1,0.4750259124046676,0.034923211982473,3,3
RADAR,d3_oof,6,splice,severe,immediate_screened,macro_recall,0.4548702464201496,0.020343649649532,3,3
RADAR,d3_oof,6,splice,severe,immediate_screened,roc_auc,0.8630690117512191,0.0129035546628968,3,3
RADAR,d3_oof,6,splice,severe,immediate_unscreened,accuracy,0.639675874136958,0.0128333093753262,3,3
RADAR,d3_oof,6,splice,severe,immediate_unscreened,macro_f1,0.5086612440375431,0.0161554627242185,3,3
RADAR,d3_oof,6,splice,severe,immediate_unscreened,macro_recall,0.5020986066627745,0.0152406067693591,3,3
RADAR,d3_oof,6,splice,severe,immediate_unscreened,roc_auc,0.8460133310126389,0.0461751916165813,3,3
RADAR,hddm_w,0,clean,none,confirmed_screened,accuracy,0.6561268388542866,0.0048603465917763,3,3
RADAR,hddm_w,0,clean,none,confirmed_screened,macro_f1,0.4999074053449397,0.0149692633979645,3,3
RADAR,hddm_w,0,clean,none,confirmed_screened,macro_recall,0.490419058230403,0.0151657243612486,3,3
RADAR,hddm_w,0,clean,none,confirmed_screened,roc_auc,0.8710470529398789,0.0054821745721949,3,3
RADAR,hddm_w,0,clean,none,confirmed_unscreened,accuracy,0.6992680879385763,0.0074043129844302,3,3
RADAR,hddm_w,0,clean,none,confirmed_unscreened,macro_f1,0.5777191206951855,0.009875487838672,3,3
RADAR,hddm_w,0,clean,none,confirmed_unscreened,macro_recall,0.5659101995061567,0.010045123596473,3,3
RADAR,hddm_w,0,clean,none,confirmed_unscreened,roc_auc,0.8747748176894513,0.00537885929437,3,3
RADAR,hddm_w,0,clean,none,immediate_screened,accuracy,0.62972486508925,0.0138777027806121,3,3
