stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows,base_seed,attack_seed,attack_assignment,base_key,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k,detector,learner_resets,status,folder
SEA_A,2,116,instance,moderate,SEA_A__s116__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,453400147.0,,SEA_A__s116,0.0677966101694915,4,59,59,4,0.0677966101694915,0,0,,1.0,3.0,3.0,5.846666666666667,0.0079480567850017,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s116__instance__moderate
SEA_A,2,116,instance,severe,SEA_A__s116__instance__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,3914142360.0,,SEA_A__s116,0.0169491525423728,1,59,59,1,0.0169491525423728,0,0,,0.3333333333333333,1.0,3.0,18.18,0.0131184629572089,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s116__instance__severe
SEA_A,2,116,instance,severe,SEA_A__s116__instance__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,3914142360.0,,SEA_A__s116,0.0338983050847457,2,59,59,2,0.0338983050847457,0,0,,0.6666666666666666,2.0,3.0,9.18,0.1309299283699753,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s116__instance__severe
SEA_A,2,116,instance,severe,SEA_A__s116__instance__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,3914142360.0,,SEA_A__s116,0.2372881355932203,14,59,59,14,0.2372881355932203,0,0,,1.0,3.0,3.0,0.8466666666666667,0.0983159749011974,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s116__instance__severe
SEA_A,2,116,instance,severe,SEA_A__s116__instance__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,3914142360.0,,SEA_A__s116,0.0677966101694915,4,59,59,4,0.0677966101694915,0,0,,1.0,3.0,3.0,5.846666666666667,0.0077788883936591,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s116__instance__severe
SEA_A,2,116,concept,moderate,SEA_A__s116__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,2842105116.0,,SEA_A__s116,0.5254237288135594,31,59,34,30,0.8823529411764706,2,0,0.0,1.0,3.0,3.0,0.18,0.0132358999204977,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s116__concept__moderate
SEA_A,2,116,concept,moderate,SEA_A__s116__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,2842105116.0,,SEA_A__s116,0.0508474576271186,3,59,34,0,0.0,2,0,0.0,1.0,3.0,3.0,4.513333333333333,0.1213480583586109,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s116__concept__moderate
SEA_A,2,116,concept,moderate,SEA_A__s116__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,2842105116.0,,SEA_A__s116,0.4067796610169492,24,59,34,24,0.7058823529411765,2,0,0.0,1.0,3.0,3.0,0.18,0.1176932646679536,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s116__concept__moderate
SEA_A,2,116,concept,moderate,SEA_A__s116__concept__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,2842105116.0,,SEA_A__s116,0.1186440677966101,7,59,34,4,0.1176470588235294,2,0,0.0,1.0,3.0,3.0,3.1799999999999997,0.0076266012911219,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s116__concept__moderate
SEA_A,2,116,concept,severe,SEA_A__s116__concept__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,1226260622.0,,SEA_A__s116,0.7966101694915254,47,59,46,45,0.9782608695652174,0,0,,1.0,3.0,3.0,0.18,0.0131191651841315,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s116__concept__severe
SEA_A,2,116,concept,severe,SEA_A__s116__concept__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,1226260622.0,,SEA_A__s116,0.0338983050847457,2,59,46,2,0.0434782608695652,0,0,,0.6666666666666666,2.0,3.0,5.68,0.132256315118866,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s116__concept__severe
SEA_A,2,116,concept,severe,SEA_A__s116__concept__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,1226260622.0,,SEA_A__s116,0.6440677966101694,38,59,46,38,0.8260869565217391,0,0,,1.0,3.0,3.0,0.18,0.1388106384062363,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s116__concept__severe
SEA_A,2,116,concept,severe,SEA_A__s116__concept__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,1226260622.0,,SEA_A__s116,0.0847457627118644,5,59,46,3,0.0652173913043478,0,0,,1.0,3.0,3.0,4.513333333333333,0.0076600001193583,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s116__concept__severe
SEA_A,2,116,splice,moderate,SEA_A__s116__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,921862620.0,,SEA_A__s116,0.1016949152542373,6,59,33,4,0.1212121212121212,0,0,,0.6666666666666666,2.0,3.0,1.18,0.0128436765226069,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s116__splice__moderate
SEA_A,2,116,splice,moderate,SEA_A__s116__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,921862620.0,,SEA_A__s116,0.0338983050847457,2,59,33,1,0.0303030303030303,0,0,,0.6666666666666666,2.0,3.0,7.68,0.1404282017999018,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s116__splice__moderate
SEA_A,2,116,splice,moderate,SEA_A__s116__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,921862620.0,,SEA_A__s116,0.0,0,59,33,0,0.0,0,0,,0.0,0.0,3.0,,0.0890134082389219,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s116__splice__moderate
SEA_A,2,116,splice,moderate,SEA_A__s116__splice__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,921862620.0,,SEA_A__s116,0.0508474576271186,3,59,33,1,0.0303030303030303,0,0,,1.0,3.0,3.0,15.513333333333334,0.0077549333703548,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s116__splice__moderate
SEA_A,2,116,splice,severe,SEA_A__s116__splice__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,1993734708.0,,SEA_A__s116,0.0847457627118644,5,59,46,4,0.0869565217391304,0,0,,0.6666666666666666,2.0,3.0,4.18,0.0130252750144184,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s116__splice__severe
SEA_A,2,116,splice,severe,SEA_A__s116__splice__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,1993734708.0,,SEA_A__s116,0.0338983050847457,2,59,46,2,0.0434782608695652,0,0,,0.6666666666666666,2.0,3.0,14.18,0.1338129132636822,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s116__splice__severe
SEA_A,2,116,splice,severe,SEA_A__s116__splice__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,1993734708.0,,SEA_A__s116,0.0,0,59,46,0,0.0,0,0,,0.0,0.0,3.0,,0.0888296567912523,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s116__splice__severe
SEA_A,2,116,splice,severe,SEA_A__s116__splice__severe,False,0.02857142857142857,0.3333333333333333,60000,116.0,1993734708.0,,SEA_A__s116,0.0338983050847457,2,59,46,2,0.0434782608695652,0,0,,0.3333333333333333,1.0,3.0,5.18,0.0080488234622559,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s116__splice__severe
SEA_A,3,117,clean,none,SEA_A__s117__clean__none,False,0.02857142857142857,0.3333333333333333,60000,117.0,,,SEA_A__s117,0.0677966101694915,4,59,0,0,,13,1,0.0769230769230769,0.6666666666666666,2.0,3.0,6.18,0.0130101400039469,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s117__clean__none
SEA_A,3,117,clean,none,SEA_A__s117__clean__none,False,0.02857142857142857,0.3333333333333333,60000,117.0,,,SEA_A__s117,0.0338983050847457,2,59,0,0,,13,0,0.0,0.6666666666666666,2.0,3.0,11.68,0.1541233433332915,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s117__clean__none
SEA_A,3,117,clean,none,SEA_A__s117__clean__none,False,0.02857142857142857,0.3333333333333333,60000,117.0,,,SEA_A__s117,0.0,0,59,0,0,,13,0,0.0,0.0,0.0,3.0,,0.0916376313640891,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s117__clean__none
SEA_A,3,117,clean,none,SEA_A__s117__clean__none,False,0.02857142857142857,0.3333333333333333,60000,117.0,,,SEA_A__s117,0.1016949152542373,6,59,0,0,,13,1,0.0769230769230769,1.0,3.0,3.0,3.1799999999999997,0.0077814532172245,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s117__clean__none
SEA_A,3,117,instance,moderate,SEA_A__s117__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000,117.0,1195402420.0,,SEA_A__s117,0.0169491525423728,1,59,59,1,0.0169491525423728,0,0,,0.3333333333333333,1.0,3.0,16.18,0.0129493733402341,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s117__instance__moderate
