stream,detector,filter,filter_seed,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
SEA_A,d3_oof,learned_features_label,7.0,0.8904279181584673,0.9000139374584997,0.49036326088754834,0.1937170667897123,0.31428571428571433,51275.02857142857,,
SEA_A,d3_oof,learned_features_label,17.0,0.8886181301431316,0.8985253444152725,0.4912930160265276,0.19558670689287436,0.2,51067.28571428572,,
SEA_A,d3_oof,learned_features_label,27.0,0.8896926008877956,0.8992866896912416,0.48573923183898704,0.1868692093089117,0.2571428571428572,51184.94285714285,,
SEA_A,d3_oof,learned_features_label,37.0,0.8895504119690644,0.8991501751993379,0.5014100162753808,0.18236711297765607,0.17142857142857146,50987.65714285714,,
SEA_A,d3_oof,learned_features_label,47.0,0.8895361976350362,0.8991922330600289,0.48272909796856717,0.1926332696516073,0.2,50862.6,,
SEA_A,d3_oof,none,,0.8895782491873595,0.8996449429485447,0.7505368898038703,0.21695012429184743,0.2285714285714286,57651.42857142857,,
SEA_A,d3_oof,oracle_blocks,,0.8705123973517,0.8841417975001092,0.0,0.7226672437088725,0.028571428571428574,18294.285714285714,,
SEA_A,d3_oof,oracle_rows,,0.8893533065592619,0.899658294266919,0.0,0.18214128539747745,0.17142857142857146,47730.97142857143,,
SEA_A,d3_oof,random_blocks,7.0,0.8666520075053347,0.8809004289044816,0.11188666830062904,0.7681700852486497,0.028571428571428574,18294.285714285714,,
SEA_A,d3_oof,random_blocks,17.0,0.8669008517189856,0.8811181886639833,0.1277823103514105,0.7589926035988973,0.028571428571428574,18294.285714285714,,
SEA_A,d3_oof,random_blocks,27.0,0.8657195804643292,0.8800126652952356,0.13849050638419438,0.7635973200170395,0.028571428571428574,18294.285714285714,,
SEA_A,d3_oof,random_blocks,37.0,0.8687037807870448,0.882397457685469,0.12683115220231783,0.7641092731669199,0.028571428571428574,18294.285714285714,,
SEA_A,d3_oof,random_blocks,47.0,0.8709832459518151,0.8845034376657754,0.1258904651424448,0.7606344344266797,0.028571428571428574,18294.285714285714,,
SEA_A,d3_oof,random_rows,7.0,0.8863808470508425,0.8969230010753367,0.5769735765356233,0.3644426761235617,0.1142857142857143,47822.142857142855,,
SEA_A,d3_oof,random_rows,17.0,0.8886408812266164,0.8987237777222374,0.5995298144292379,0.3536512381566651,0.2,47736.42857142857,,
SEA_A,d3_oof,random_rows,27.0,0.8862219338859955,0.8966844756381344,0.5795983355387271,0.3640415768235491,0.2571428571428572,47863.42857142857,,
SEA_A,d3_oof,random_rows,37.0,0.88999386289483,0.8999339970069794,0.596816957676313,0.350830264298205,0.31428571428571433,47882.17142857143,,
SEA_A,d3_oof,random_rows,47.0,0.8871654568334781,0.8974699611621929,0.5825691792736137,0.3661164364752075,0.2857142857142857,47826.77142857143,,
SEA_A,hddm_w,learned_features,7.0,0.8942996370538951,0.9034048765614109,0.6626579805561882,0.3194987431629988,1.342857142857143,57779.114285714284,,
SEA_A,hddm_w,learned_features,17.0,0.8947651550002427,0.9037505421981055,0.6450059348516481,0.31446133539186855,1.342857142857143,58159.514285714286,,
SEA_A,hddm_w,learned_features,27.0,0.8952744713471936,0.9041417238082875,0.6476636190510711,0.3194375539774377,1.457142857142857,57998.485714285714,,
SEA_A,hddm_w,learned_features,37.0,0.8945586975988561,0.9035514604313349,0.6307447892732531,0.3108529441806409,1.2857142857142858,57731.54285714286,,
SEA_A,hddm_w,learned_features,47.0,0.8956629801523419,0.9045505625033421,0.6270951493914744,0.3308620731039708,1.4857142857142858,58493.91428571429,,
SEA_A,hddm_w,learned_features_label,7.0,0.8878700046445042,0.8978111556533019,0.5077653270088656,0.176411495856404,0.028571428571428574,50630.857142857145,,
SEA_A,hddm_w,learned_features_label,17.0,0.8874134176908017,0.8974934055878858,0.4961917822659963,0.18939227430641262,0.05714285714285715,50756.0,,
SEA_A,hddm_w,learned_features_label,27.0,0.8880809335906388,0.8979273479780628,0.48920694326152653,0.17714608792355602,0.028571428571428574,50768.05714285715,,
SEA_A,hddm_w,learned_features_label,37.0,0.8886698068780206,0.8983801018148181,0.5079093270818704,0.1772872277715997,0.028571428571428574,50582.114285714284,,
SEA_A,hddm_w,learned_features_label,47.0,0.8881856775380138,0.8980329969881987,0.4906298678975414,0.1758628329667665,0.028571428571428574,50576.40000000001,,
SEA_A,hddm_w,none,,0.8953593244938381,0.9043291700405193,0.6670415244065274,0.2863901883052563,1.2,60854.28571428572,,
SEA_A,hddm_w,oracle_blocks,,0.8719904857024556,0.8853799776963626,0.0,0.726057074217347,0.08571428571428572,18294.285714285714,,
SEA_A,hddm_w,oracle_rows,,0.8961813092717735,0.9053152580544143,0.0,0.199688502061077,0.6,48194.142857142855,,
SEA_A,hddm_w,random_blocks,7.0,0.8681300958560901,0.8821386091007349,0.11188666830062904,0.7715599157571243,0.08571428571428572,18294.285714285714,,
SEA_A,hddm_w,random_blocks,17.0,0.868378940069741,0.8823563688602366,0.1277823103514105,0.7623824341073718,0.08571428571428572,18294.285714285714,,
SEA_A,hddm_w,random_blocks,27.0,0.8671976688150848,0.8812508454914889,0.13849050638419438,0.766987150525514,0.08571428571428572,18294.285714285714,,
SEA_A,hddm_w,random_blocks,37.0,0.8701818691378003,0.8836356378817223,0.12683115220231783,0.7674991036753944,0.08571428571428572,18294.285714285714,,
SEA_A,hddm_w,random_blocks,47.0,0.8724613343025706,0.8857416178620288,0.1258904651424448,0.7640242649351542,0.08571428571428572,18294.285714285714,,
SEA_A,hddm_w,random_rows,7.0,0.8948051642081681,0.903817968139493,0.5410052871817616,0.4047705898782001,1.1428571428571428,50214.97142857143,,
SEA_A,hddm_w,random_rows,17.0,0.8952095500333023,0.904233665375844,0.5323821543554915,0.41170984377021763,1.2571428571428573,50522.91428571429,,
SEA_A,hddm_w,random_rows,27.0,0.8954278298621512,0.9042940851607704,0.5447691586097141,0.4038811591184879,1.342857142857143,50482.34285714286,,
SEA_A,hddm_w,random_rows,37.0,0.8963403355153818,0.9051727633587108,0.5233674525061845,0.4229390138808378,1.342857142857143,50267.114285714284,,
SEA_A,hddm_w,random_rows,47.0,0.8944217642501366,0.9035341562578625,0.5249947737104231,0.4143682717763129,1.2285714285714284,50561.05714285715,,
SEA_A,hellinger,learned_features,7.0,0.8906866418284854,0.9005750649015037,0.6912707769697337,0.2774157385889178,0.6571428571428573,55826.42857142857,,
SEA_A,hellinger,learned_features,17.0,0.8912182608866365,0.9009434340331409,0.6955791004185755,0.2626338867550829,0.5142857142857143,55891.40000000001,,
SEA_A,hellinger,learned_features,27.0,0.8900968793161962,0.8999612711850542,0.6991746062470848,0.2694596521424383,0.6285714285714287,55986.857142857145,,
SEA_A,hellinger,learned_features,37.0,0.891574216509597,0.9012912103553822,0.6941225241097921,0.2746360345710992,0.6285714285714287,55876.91428571429,,
SEA_A,hellinger,learned_features,47.0,0.891837864995,0.9013543351688201,0.7102164132501919,0.25668662952680343,0.6857142857142857,55915.74285714286,,
SEA_A,hellinger,learned_features_label,7.0,0.8902089970575423,0.8997744776137644,0.4997509965153708,0.1937222259254927,0.5142857142857142,51620.37142857142,,
SEA_A,hellinger,learned_features_label,17.0,0.890770009758986,0.9003936738848294,0.4886400340932873,0.21176214778143126,0.6,51975.62857142858,,
SEA_A,hellinger,learned_features_label,27.0,0.8914417455506528,0.9008070888097459,0.49033800757649576,0.19452594345266533,0.6285714285714287,51773.71428571428,,
SEA_A,hellinger,learned_features_label,37.0,0.8904841057085914,0.8999073282755802,0.4910327778918446,0.19992717332468007,0.6285714285714287,51651.142857142855,,
SEA_A,hellinger,learned_features_label,47.0,0.8903329855365395,0.8998534416559847,0.4842752269554413,0.19516288579375954,0.5714285714285714,51650.42857142857,,
