dataset,base_key,attack_seed,category,detector,policy,accuracy_screened_minus_unscreened,macro_f1_screened_minus_unscreened,macro_recall_screened_minus_unscreened,roc_auc_screened_minus_unscreened,poison_admission_rate_screened_minus_unscreened,clean_withhold_rate_screened_minus_unscreened,resets_per_100k_screened_minus_unscreened,seconds_per_100k_screened_minus_unscreened
RADAR,radar,0,2,d3_oof,immediate,-1.6054578050691881,-3.651022401770343,-2.829330711118799,-0.006514791263859343,-21.832575257803544,21.93860512659679,-0.6188718790806864,18.07758813248921
RADAR,radar,0,2,hddm_w,confirmed,-1.9913903232386176,-4.500308719206336,-4.18932318462093,-0.038237949768623825,-17.126141453421763,17.16803006147618,-1.650325010881831,11.765677427470848
RADAR,radar,0,2,hddm_w,immediate,-9.116917692778392,-14.607334025137252,-13.72048086461467,-0.053644078842697285,-33.1342661713135,33.05484651281649,-29.293268943152494,6.815767267029877
RADAR,radar,0,2,hellinger,confirmed,-2.0348681173578353,-6.342948496873568,-5.038081495932034,-0.013775934116922794,-17.5844588729558,17.56644916236159,-0.4125812527204573,26.544639084198877
RADAR,radar,0,2,hellinger,immediate,-5.268327768891368,-15.225164715787521,-15.102228346259643,0.03856408695952862,-18.21811742647824,18.45795545953229,-4.744684406285262,32.78382495834906
RADAR,radar,0,2,none,none,-0.0016102886710833708,-1.1152070209109965,0.8645147582477697,0.011986245519999938,-10.461442311030867,10.569721890690289,0.0,181.01246556491967
RADAR,radar,0,3,adwin,confirmed,-2.026279911112061,-4.381467500621938,-4.07918608210861,-0.004198534166154011,-14.519079979090431,11.786883441644031,-0.618871879080686,17.27751675597034
RADAR,radar,0,3,adwin,immediate,-6.341316786722628,-14.996335387650127,-17.717765012202136,-0.018575337131474856,-42.972062496369865,41.29952367179681,-37.544893997561644,9.096046667099856
RADAR,radar,0,3,d3_oof,confirmed,-0.981202563579564,-0.27284128462531365,-0.5986942673203655,-0.010082879612651197,-18.689376778765176,15.671735385733701,-0.41258125272045754,46.09669794722345
RADAR,radar,0,3,d3_oof,immediate,-1.933956693970007,-4.554583593564954,-5.392247326687205,-0.044769026528394984,-15.54713364697683,16.46877247585725,-1.444034384521602,28.137167320241275
RADAR,radar,0,3,hddm_w,confirmed,-2.3053966140996973,-3.853142888933636,-3.561336912866153,-0.01215574111189932,-15.915955160597084,13.97220864250301,-0.6188718790806869,17.858913240336165
RADAR,radar,0,3,hddm_w,immediate,-5.148629644340907,-13.843930776774304,-16.66427821665434,0.0021958098020048444,-42.59307661032701,38.2053099972613,-37.33860337120142,15.566352740504684
RADAR,radar,0,3,hellinger,confirmed,-3.352621013193635,-3.3141525554661544,-3.4061029464804826,-0.03807753687842563,-15.91305105419063,14.945341274696238,0.4125812527204573,36.25300179677461
RADAR,radar,0,3,hellinger,immediate,-8.371354038067224,-9.770965052172166,-8.890095451490948,-0.049771732904877575,-19.80164953243887,23.25664133586897,-1.2377437581613724,24.59156388919871
RADAR,radar,0,3,none,none,-2.9758134641603484,-5.401630232767351,-6.217626204303977,-0.0058344422589357015,-11.828425393506414,9.586457024241291,0.0,168.30906570971257
RADAR,radar,0,4,adwin,confirmed,-0.8931734495603916,-2.306380953875986,-2.3969627253336014,-0.01194813388175664,-14.952563321437895,13.20693406832523,-1.0314531318011433,21.427007135618283
RADAR,radar,0,4,adwin,immediate,-7.857135189101571,-15.71252453077489,-16.3275312307102,-0.004046671400637192,-48.891983636521886,46.2690940741278,-43.32103153564805,6.017247402310261
RADAR,radar,0,4,d3_oof,confirmed,1.9022876834387192,1.2845414685947687,1.148967300692294,0.013014643843253348,-17.4645312907999,12.6452455211431,0.0,50.46149075918055
RADAR,radar,0,4,d3_oof,immediate,-3.2323861257528175,-3.286049224358545,-3.602986639725331,1.2715874652124981e-05,-15.036991905300724,10.14695002538623,-0.20629062636022866,42.33601656926359
RADAR,radar,0,4,hddm_w,confirmed,-0.8566735730158537,-1.9819673613158506,-1.5154564338868581,-0.007320794881702453,-11.180259378535995,10.88126495974468,0.0,18.611715677938093
RADAR,radar,0,4,hddm_w,immediate,-6.672499490075257,-16.287568293285464,-17.23781495205192,0.005825056216128166,-47.33484202280442,43.480670196561974,-43.93990341472873,16.335808360150878
RADAR,radar,0,4,hellinger,confirmed,-2.1449045098818065,-1.6575582949735823,-3.1675958773941137,-0.0069549640075772245,-14.36591522325703,11.74874882135344,-1.2377437581613728,42.65772748185526
RADAR,radar,0,4,hellinger,immediate,-4.3477794119225806,-7.620195365751526,-6.873553284021339,-0.009381223605441802,-21.41874836800418,20.14709508957713,-3.3006500217636616,29.269504201108106
