dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,rl_seed,rl_variant,rl_model_sha256
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__adwin__rl__guarded__r7,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121538,0.6523708816867237,0.5029815038990365,0.5192349114488981,0.8557171752871295,0.63425015231961,0.3934982229636614,28.05552518499112,138.7685069922405,7.0,alarm_persistence,3a5f4752cf8b526120b9204c5321f67ab138e19a0c925f64d3a3f26bb4481cfd
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__adwin__rl__guarded__r17,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121644,0.6529398503505062,0.5056297997173665,0.5237898779956063,0.8661083267989037,0.6360692836626338,0.3637861753826068,23.517131405066085,148.34412863867925,17.0,alarm_persistence,d99b5c89f5e521e295ec129257c10de8773c6d03940b28a23a1561f112b7f22a
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__adwin__rl__guarded__r27,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,118014,0.6334553574304087,0.47535789807305395,0.49063808507080786,0.844675560674436,0.628305335538341,0.3942728657430913,31.76875645947524,134.69588718381806,27.0,alarm_persistence,0a24fb29e2f8ac2436f8f56cb1e859c75c0ae9f60ab00c18cb51e1c1087e6ece
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__adwin__rl_alarm__guarded__r7,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,110980,0.5956994557224292,0.4570705618855345,0.48005265461186303,0.7986086718047187,0.508512490208025,0.4811285994052368,51.57265659005721,109.11331702948604,7.0,alarm,614752e0deaab2c0ecc723986570cc1361ecc29bec792bf4f32c287d3091403d
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__adwin__rl_alarm__guarded__r17,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122601,0.6580766712112591,0.44934328436713245,0.4328470645327289,0.8929998248458854,0.9000435198885891,0.0824428809748313,0.0,469.66109880703056,17.0,alarm,d0d03fcb4738304e5544919813738da49b3c4443844935a5d66b5ec1a0bf3b22
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__adwin__rl_alarm__guarded__r27,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,110980,0.5956994557224292,0.4570705618855345,0.48005265461186303,0.7986086718047187,0.508512490208025,0.4811285994052368,51.57265659005721,108.72894049135054,27.0,alarm,45fea17bc000cf33d753b33091e96dd90d974f0c6d2206d30b0d446455727242
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121158,0.6503311827033527,0.519453586915242,0.5069376198573377,0.8505163664646309,0.802861338489946,0.1622141018357873,7.01388129624778,93.16905496199524,,,
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__adwin__immediate__guarded,adwin,immediate,True,immediate,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,108531,0.5825541325374929,0.4494673920807668,0.4279856577815002,0.73782011094641,0.5085709300804024,0.4167242429360315,30.32472207495364,44.85315255401439,,,
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__none__none__guarded,none,none,True,none,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127069,0.6820592371525802,0.4833776549466635,0.4810854740516518,0.9075706684852016,0.9424242864827928,0.0749515079864683,0.0,203.21992563223853,,,
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__adwin__rl__guarded__r7,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,112557,0.6041642065034192,0.47125013872831367,0.4581667189603086,0.7435314188033967,0.6078163392896088,0.3977266329909464,28.880687690432037,53.45927891109482,7.0,alarm_persistence,3a5f4752cf8b526120b9204c5321f67ab138e19a0c925f64d3a3f26bb4481cfd
