dataset,category,mode,level,series,reference,metric,mean,sd,defined
RBF,4,concept,severe,rl_alarm,confirmed,macro_f1,-6.179517652434093,2.124397080228425,3
RBF,4,concept,severe,rl_alarm,confirmed,macro_recall,-6.34338247634516,2.3849969694247712,3
RBF,4,concept,severe,rl_alarm,confirmed,roc_auc,-0.04624481918427888,0.013226063804855108,3
RBF,4,concept,severe,rl_alarm,immediate,accuracy,0.9806681031634623,2.558623130542728,3
RBF,4,concept,severe,rl_alarm,immediate,macro_f1,0.976300124316476,2.730951418423271,3
RBF,4,concept,severe,rl_alarm,immediate,macro_recall,0.8723906858911779,2.695490763699243,3
RBF,4,concept,severe,rl_alarm,immediate,roc_auc,-0.0003415518733524599,0.015315505644930633,3
RBF,4,concept,severe,rl_alarm,none,accuracy,-8.90284883213591,1.1019983429822817,3
RBF,4,concept,severe,rl_alarm,none,macro_f1,-9.203952390898618,1.0394079505647034,3
RBF,4,concept,severe,rl_alarm,none,macro_recall,-9.298424447604907,1.0016415488386738,3
RBF,4,concept,severe,rl_alarm,none,roc_auc,-0.06159808109867748,0.0087272698723629,3
RBF,5,splice,moderate,rl,confirmed,accuracy,-9.230093277466677,1.3239406962629336,3
RBF,5,splice,moderate,rl,confirmed,macro_f1,-9.502097944018091,1.1412833773290472,3
RBF,5,splice,moderate,rl,confirmed,macro_recall,-9.58837336837605,0.986910043587797,3
RBF,5,splice,moderate,rl,confirmed,roc_auc,-0.06673401197926532,0.008178772886592406,3
RBF,5,splice,moderate,rl,immediate,accuracy,1.2220304697782198,0.26563249739128714,3
