dataset,base_key,attack_seed,category,mode,level,series,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,policy_runs,accuracy_training_seed_sd,macro_f1_training_seed_sd,macro_recall_training_seed_sd,roc_auc_training_seed_sd,poison_admission_rate_training_seed_sd,clean_withhold_rate_training_seed_sd,resets_per_100k_training_seed_sd,seconds_per_100k_training_seed_sd
RADAR,radar,0,4,concept,severe,confirmed,0.6372985797253921,0.4732049047415815,0.4798742818720209,0.8773842485414124,0.850474366785621,0.1320693406832523,8.66420630712961,183.69588477019624,1,,,,,,,,
RADAR,radar,0,4,concept,severe,immediate,0.6088072055050402,0.466874806765168,0.4924785429682418,0.8380136750980545,0.5110801636347811,0.462690940741278,41.25812527204577,109.75651034650764,1,,,,,,,,
RADAR,radar,0,4,concept,severe,none,0.6580766712112591,0.4493432843671324,0.4328470645327289,0.8929998248458854,0.9000435198885891,0.0824428809748313,0.0,300.86026898231853,1,,,,,,,,
RADAR,radar,0,4,concept,severe,rl,0.6462553631558795,0.49465640056315235,0.5112209581717707,0.8555003542534898,0.632874923840195,0.3838524213631198,27.780471016510816,140.60284093824592,3,0.011088779971852442,0.01676536657683322,0.017970195571505705,0.010718028011579502,0.004060561863476926,0.017382194587329054,4.13268316065205,7.006583295133852
RADAR,radar,0,4,concept,severe,rl_alarm,0.6164918608853726,0.45449480271273385,0.4643174579188183,0.8300723894851076,0.6390228334348796,0.3482333599284349,34.38177106003814,229.16778544262237,3,0.03601350215377524,0.004461345755352378,0.027254160139443206,0.054496757617436706,0.22605054538216504,0.23018130685785393,29.775487165093654,208.273407486588
RADAR,radar,0,5,splice,moderate,confirmed,0.6503311827033527,0.519453586915242,0.5069376198573377,0.8505163664646309,0.802861338489946,0.1622141018357873,7.01388129624778,93.16905496199524,1,,,,,,,,
RADAR,radar,0,5,splice,moderate,immediate,0.5825541325374929,0.4494673920807668,0.4279856577815002,0.73782011094641,0.5085709300804024,0.4167242429360315,30.32472207495364,44.85315255401439,1,,,,,,,,
RADAR,radar,0,5,splice,moderate,none,0.6820592371525802,0.4833776549466635,0.4810854740516518,0.9075706684852016,0.9424242864827928,0.0749515079864683,0.0,203.21992563223853,1,,,,,,,,
RADAR,radar,0,5,splice,moderate,rl,0.6078535567698325,0.47257660223494463,0.4581864628939307,0.7391999479923402,0.596422357599461,0.387617946054021,29.430796027392645,53.14193537050351,3,0.003360480084573669,0.0029482026599252364,0.007896415593171861,0.02919856210485424,0.01822039992030611,0.04914118255323346,11.562094266280603,8.12709901761433
RADAR,radar,0,5,splice,moderate,rl_alarm,0.6184957756760529,0.4742035386884851,0.46136288161320876,0.7648606033400288,0.648584597042702,0.33278230711096785,35.48198773395935,132.52887031126616,3,0.05504757239114618,0.007945017736854361,0.017080266080178506,0.12359054179145186,0.25447263569524864,0.2232880219198592,30.728302754376646,162.3129995484302
RADAR,radar,0,6,splice,severe,confirmed,0.6229562752949512,0.4680557273477834,0.4619383124955984,0.8430064894403094,0.8106403889473547,0.1656412875666012,7.220171922608008,100.16521671859432,1,,,,,,,,
RADAR,radar,0,6,splice,severe,immediate,0.6173095296883555,0.4889037071609955,0.4817882636024341,0.7577789316184009,0.4906981396279256,0.4283143928401453,35.27569710759913,44.627151043950775,1,,,,,,,,
RADAR,radar,0,6,splice,severe,none,0.6992624877886442,0.4903869140056031,0.4802310099397824,0.917223626265113,0.925098063090879,0.0852844556397785,0.0,211.3595897498612,1,,,,,,,,
RADAR,radar,0,6,splice,severe,rl,0.6162127441823849,0.47161976995412774,0.4585554964206571,0.7737478392787577,0.5696559601775427,0.3903318358929117,29.568323111632797,57.85347144491516,3,0.01194398667882486,0.014371593155271992,0.01679097671829208,0.030588490715197755,0.01812788755105538,0.02144711112548099,9.614854746511265,7.407198247842301
RADAR,radar,0,6,splice,severe,rl_alarm,0.6353411843852096,0.4897194862194483,0.4859561517804078,0.7932627517477656,0.6314741209111387,0.3254940199117013,35.75704190243966,142.89528659613185,3,0.055357472590387036,0.000578009418001698,0.004958118274250805,0.10735326640735794,0.2542857930869883,0.20802758489147602,30.9665066516974,174.72722054326678
RADAR,radar,1,0,clean,none,confirmed,0.6655864919040633,0.5301516770438515,0.5198754294167798,0.8662857142997138,,0.1467692274215834,6.807590669887551,65.297160409542,1,,,,,,,,
RADAR,radar,1,0,clean,none,immediate,0.5975838478941966,0.474548114923759,0.4737495056904471,0.7526942579287832,,0.3638223102281505,21.660515767824027,37.3671877636694,1,,,,,,,,
RADAR,radar,1,0,clean,none,none,0.6599652839354905,0.4754531617626737,0.4807485289029867,0.9257088812920932,,0.0744181998193944,0.0,178.0275463380358,1,,,,,,,,
RADAR,radar,1,0,clean,none,rl,0.6230888699007422,0.5026528526127556,0.500603008711603,0.7667138332001221,,0.37071288428550186,30.324722074953637,44.067843458427426,3,0.0235649570023718,0.017047889304466,0.01680688845907282,0.05390078789783637,,0.04827337705215479,18.68952089481633,9.284895790149108
RADAR,radar,1,0,clean,none,rl_alarm,0.6091343733822009,0.4738364330483247,0.46939219133276183,0.7635979849918769,,0.30456337333492906,38.64511067148286,115.31097409057429,3,0.044020859836643236,0.0014001281376539924,0.009834876829766432,0.14039215442625208,,0.19931156682283058,33.467647573565266,145.23451243520836
RADAR,radar,1,1,instance,moderate,confirmed,0.6405006421934534,0.4853460643281218,0.4735591944404382,0.8392630763411544,0.8613385108016866,0.1360396161291313,8.457915680769382,81.43125465959785,1,,,,,,,,
RADAR,radar,1,1,instance,moderate,immediate,0.6315206818536014,0.5106039012364666,0.5070748832393808,0.8131404383951681,0.6794557862555602,0.3179557954463984,24.548584536867228,50.997497488408975,1,,,,,,,,
RADAR,radar,1,1,instance,moderate,none,0.6276943911522401,0.405918867884757,0.3892710834861232,0.832910001455519,0.9115145543851516,0.0889596157194506,0.0,233.3193440370897,1,,,,,,,,
RADAR,radar,1,1,instance,moderate,rl,0.6430335893150474,0.5145270556358703,0.5051636177884967,0.8048878993895306,0.6699798600344842,0.3284436228069277,30.737303327674095,59.40932899845023,3,0.0076661484223219814,0.01857957915962999,0.021119049331585062,0.024989666298475342,0.061197178957404265,0.062281330484536254,17.55653219010019,11.500459785971266
