stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k,detector,learner_resets,status,folder
RBF_I,instance,moderate,117.0,670137400.0,,RBF_I__s117,RBF_I__s117__instance__moderate,0.01694915254237288,1,59,59,1,0.01694915254237288,0,0,,0.3333333333333333,1.0,3.0,15.0,0.17966292638448067,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s117__instance__moderate
RBF_I,instance,severe,117.0,2977372565.0,,RBF_I__s117,RBF_I__s117__instance__severe,0.01694915254237288,1,59,59,1,0.01694915254237288,0,0,,0.3333333333333333,1.0,3.0,19.0,0.1792429831402842,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s117__instance__severe
RBF_I,splice,moderate,117.0,559821452.0,,RBF_I__s117,RBF_I__s117__splice__moderate,0.03389830508474576,2,59,28,1,0.03571428571428571,0,0,,0.6666666666666666,2.0,3.0,21.5,0.19260166513655957,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s117__splice__moderate
RBF_I,splice,severe,117.0,3664738830.0,,RBF_I__s117,RBF_I__s117__splice__severe,0.05084745762711865,3,59,29,2,0.06896551724137931,0,0,,1.0,3.0,3.0,21.666666666666668,0.20674048990864927,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s117__splice__severe
RBF_I,clean,none,118.0,,,RBF_I__s118,RBF_I__s118__clean__none,0.01694915254237288,1,59,0,0,,8,0,0.0,0.3333333333333333,1.0,3.0,30.0,0.20120555680477992,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s118__clean__none
RBF_I,concept,moderate,118.0,3840731115.0,,RBF_I__s118,RBF_I__s118__concept__moderate,0.03389830508474576,2,59,28,2,0.07142857142857142,0,0,,0.6666666666666666,2.0,3.0,25.0,0.1784203433877944,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s118__concept__moderate
RBF_I,concept,severe,118.0,3811301496.0,,RBF_I__s118,RBF_I__s118__concept__severe,0.03389830508474576,2,59,29,1,0.034482758620689655,0,0,,0.6666666666666666,2.0,3.0,30.0,0.17588798208938292,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s118__concept__severe
RBF_I,instance,moderate,118.0,2809264908.0,,RBF_I__s118,RBF_I__s118__instance__moderate,0.05084745762711865,3,59,59,3,0.05084745762711865,0,0,,1.0,3.0,3.0,14.333333333333334,0.16449528169080924,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s118__instance__moderate
RBF_I,instance,severe,118.0,217127006.0,,RBF_I__s118,RBF_I__s118__instance__severe,0.01694915254237288,1,59,59,1,0.01694915254237288,0,0,,0.3333333333333333,1.0,3.0,30.0,0.1839481933954327,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s118__instance__severe
RBF_I,splice,moderate,118.0,2850602314.0,,RBF_I__s118,RBF_I__s118__splice__moderate,0.03389830508474576,2,59,29,1,0.034482758620689655,0,0,,0.6666666666666666,2.0,3.0,30.0,0.1868338902810744,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s118__splice__moderate
RBF_I,splice,severe,118.0,3587607091.0,,RBF_I__s118,RBF_I__s118__splice__severe,0.01694915254237288,1,59,29,0,0.0,0,0,,0.3333333333333333,1.0,3.0,31.0,0.20409672341581123,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s118__splice__severe
RBF_I,clean,none,119.0,,,RBF_I__s119,RBF_I__s119__clean__none,0.0,0,59,0,0,,8,0,0.0,0.0,0.0,3.0,,0.20113347510535579,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s119__clean__none
RBF_I,concept,moderate,119.0,1226255551.0,,RBF_I__s119,RBF_I__s119__concept__moderate,0.0,0,59,28,0,0.0,0,0,,0.0,0.0,3.0,,0.20041360830267269,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s119__concept__moderate
RBF_I,concept,severe,119.0,1687454488.0,,RBF_I__s119,RBF_I__s119__concept__severe,0.05084745762711865,3,59,29,3,0.10344827586206896,0,0,,1.0,3.0,3.0,11.0,0.16639965853149383,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s119__concept__severe
RBF_I,instance,moderate,119.0,1785768086.0,,RBF_I__s119,RBF_I__s119__instance__moderate,0.01694915254237288,1,59,59,1,0.01694915254237288,0,0,,0.3333333333333333,1.0,3.0,30.0,0.18104146142529012,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s119__instance__moderate
RBF_I,instance,severe,119.0,80988754.0,,RBF_I__s119,RBF_I__s119__instance__severe,0.0,0,59,59,0,0.0,0,0,,0.0,0.0,3.0,,0.19486847013467923,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s119__instance__severe
RBF_I,splice,moderate,119.0,1925764227.0,,RBF_I__s119,RBF_I__s119__splice__moderate,0.05084745762711865,3,59,28,3,0.10714285714285714,0,0,,1.0,3.0,3.0,7.0,0.17353534358941639,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s119__splice__moderate
RBF_I,splice,severe,119.0,3024123001.0,,RBF_I__s119,RBF_I__s119__splice__severe,0.01694915254237288,1,59,29,1,0.034482758620689655,0,0,,0.3333333333333333,1.0,3.0,32.0,0.272014245177464,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s119__splice__severe
RBF_I,clean,none,115.0,,,RBF_I__s115,RBF_I__s115__clean__none,0.5254237288135594,31,59,0,0,,8,2,0.25,1.0,3.0,3.0,2.0,0.1277486865001265,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/hddm_w/RBF_I__s115__clean__none
RBF_I,concept,moderate,115.0,816888935.0,,RBF_I__s115,RBF_I__s115__concept__moderate,0.6949152542372882,41,59,26,23,0.8846153846153846,0,0,,1.0,3.0,3.0,2.3333333333333335,0.13402764835821773,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/hddm_w/RBF_I__s115__concept__moderate
RBF_I,concept,severe,115.0,1773327730.0,,RBF_I__s115,RBF_I__s115__concept__severe,0.6610169491525424,39,59,29,27,0.9310344827586207,0,0,,1.0,3.0,3.0,2.3333333333333335,0.1372724334942177,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/hddm_w/RBF_I__s115__concept__severe
RBF_I,instance,moderate,115.0,2781123431.0,,RBF_I__s115,RBF_I__s115__instance__moderate,0.576271186440678,34,59,59,34,0.576271186440678,0,0,,1.0,3.0,3.0,1.6666666666666667,0.11539153332705608,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/hddm_w/RBF_I__s115__instance__moderate
RBF_I,instance,severe,115.0,2375605529.0,,RBF_I__s115,RBF_I__s115__instance__severe,0.576271186440678,34,59,59,34,0.576271186440678,0,0,,1.0,3.0,3.0,1.6666666666666667,0.11499694335119179,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/hddm_w/RBF_I__s115__instance__severe
