condition,stream,mode,level,detector,filter,malicious_precision,malicious_recall,benign_fpr,malicious_precision_difference,malicious_recall_difference,benign_fpr_difference
radar__instance__moderate__a1,radar,instance,moderate,hddm_w,learned_features_label,0.39297150500587735,0.7184142274916636,0.23823992618634765,0.050638284171137804,0.04194145979992592,-0.040756589936526644
radar__instance__moderate__a1,radar,instance,moderate,hellinger,none,0.39482268757234557,0.5560577991848833,0.18297513561667808,0.0,0.0,0.0
radar__instance__moderate__a1,radar,instance,moderate,hellinger,oracle_rows,0.4259024550532789,0.6723230826231937,0.19455624313962552,0.03107976748093333,0.11626528343831044,0.011581107522947443
radar__instance__moderate__a1,radar,instance,moderate,hellinger,random_rows,0.4413427561837456,0.6478695813264171,0.17605510570942237,0.04652006861140001,0.09181178214153385,-0.006920029907255709
radar__instance__moderate__a1,radar,instance,moderate,hellinger,oracle_blocks,0.21096036179835062,0.998962578732864,0.8021189608819459,-0.18386232577399494,0.4429047795479807,0.6191438252652678
radar__instance__moderate__a1,radar,instance,moderate,hellinger,random_blocks,0.21096036179835062,0.998962578732864,0.8021189608819459,-0.18386232577399494,0.4429047795479807,0.6191438252652678
radar__instance__moderate__a1,radar,instance,moderate,hellinger,learned_features,0.39482268757234557,0.5560577991848833,0.18297513561667808,0.0,0.0,0.0
radar__instance__moderate__a1,radar,instance,moderate,hellinger,learned_features_label,0.4507396449704142,0.6773619859207114,0.17720048996993365,0.05591695739806862,0.1213041867358281,-0.005774645646744431
radar__instance__moderate__a1,radar,instance,moderate,d3_oof,none,0.36843667825939436,0.6437198962578733,0.23688773643435518,0.0,0.0,0.0
radar__instance__moderate__a1,radar,instance,moderate,d3_oof,oracle_rows,0.5415046491969568,0.7120414968506854,0.12942842143777541,0.1730679709375625,0.06832160059281212,-0.10745931499657976
radar__instance__moderate__a1,radar,instance,moderate,d3_oof,random_rows,0.37320988188465365,0.6391997035939236,0.2304608580837085,0.004773203625259292,-0.0045201926639496515,-0.006426878350646675
radar__instance__moderate__a1,radar,instance,moderate,d3_oof,oracle_blocks,0.1707400695498849,0.2583178955168581,0.26934029048217495,-0.19769660870950945,-0.3854020007410152,0.03245255404781977
radar__instance__moderate__a1,radar,instance,moderate,d3_oof,random_blocks,0.1707400695498849,0.2583178955168581,0.26934029048217495,-0.19769660870950945,-0.3854020007410152,0.03245255404781977
radar__instance__moderate__a1,radar,instance,moderate,d3_oof,learned_features,0.36832732669069324,0.6437198962578733,0.23699909323746043,-0.0001093515687011215,0.0,0.00011135680310525586
radar__instance__moderate__a1,radar,instance,moderate,d3_oof,learned_features_label,0.469988972325789,0.6632085957762134,0.16056060196306135,0.10155229406639465,0.01948869951834009,-0.07632713447129383
radar__instance__moderate__a2,radar,instance,moderate,adwin,none,0.40395282460014004,0.5558354946276398,0.1760710138241517,0.0,0.0,0.0
radar__instance__moderate__a2,radar,instance,moderate,adwin,oracle_rows,0.31805567235724497,0.5605038903297518,0.25799780468016736,-0.08589715224289507,0.0046683957021119715,0.08192679085601567
radar__instance__moderate__a2,radar,instance,moderate,adwin,random_rows,0.40306800338205095,0.7418303075213042,0.23585370897694913,-0.0008848212180890824,0.18599481289366437,0.05978269515279744
radar__instance__moderate__a2,radar,instance,moderate,adwin,oracle_blocks,0.19114139693356047,0.5819933308632826,0.5287221011437935,-0.21281142766657957,0.02615783623564283,0.3526510873196418
radar__instance__moderate__a2,radar,instance,moderate,adwin,random_blocks,0.19114139693356047,0.5819933308632826,0.5287221011437935,-0.21281142766657957,0.02615783623564283,0.3526510873196418
radar__instance__moderate__a2,radar,instance,moderate,adwin,learned_features,0.4048685701948508,0.5558354946276398,0.17540287300552013,0.0009157455947107485,0.0,-0.0006681408186315629
radar__instance__moderate__a2,radar,instance,moderate,adwin,learned_features_label,0.3331815794081597,0.705001852537977,0.3029064125610474,-0.07077124519198036,0.14916635791033717,0.1268353987368957
radar__instance__moderate__a2,radar,instance,moderate,hddm_w,none,0.417098586938731,0.5665061133753242,0.1699622977680915,0.0,0.0,0.0
radar__instance__moderate__a2,radar,instance,moderate,hddm_w,oracle_rows,0.3257443082311734,0.5513153019636903,0.2449849668315808,-0.09135427870755758,-0.01519081141163392,0.07502266906348931
radar__instance__moderate__a2,radar,instance,moderate,hddm_w,random_rows,0.41268356561593866,0.6538718043719897,0.19977410477084362,-0.004415021322792312,0.08736569099666547,0.029811807002752128
radar__instance__moderate__a2,radar,instance,moderate,hddm_w,oracle_blocks,0.19114139693356047,0.5819933308632826,0.5287221011437935,-0.2259571900051705,0.015487217487958449,0.358759803375702
radar__instance__moderate__a2,radar,instance,moderate,hddm_w,random_blocks,0.19114139693356047,0.5819933308632826,0.5287221011437935,-0.2259571900051705,0.015487217487958449,0.358759803375702
radar__instance__moderate__a2,radar,instance,moderate,hddm_w,learned_features,0.41805654289932737,0.5665061133753242,0.16929415694945993,0.0009579559605963905,0.0,-0.0006681408186315629
radar__instance__moderate__a2,radar,instance,moderate,hddm_w,learned_features_label,0.4364256218188802,0.6735087069284921,0.18671354257806907,0.019327034880149252,0.10700259355316788,0.016751244809977583
radar__instance__moderate__a2,radar,instance,moderate,hellinger,none,0.36923153345586407,0.5507965913301223,0.20200124083294888,0.0,0.0,0.0
radar__instance__moderate__a2,radar,instance,moderate,hellinger,oracle_rows,0.40627768636881406,0.7135976287513894,0.2238748985857686,0.03704615291294999,0.16280103742126717,0.021873657752819714
radar__instance__moderate__a2,radar,instance,moderate,hellinger,random_rows,0.3657044914494955,0.6956650611337533,0.25903183213757336,-0.0035270420063685526,0.144868469803631,0.057030591304624484
radar__instance__moderate__a2,radar,instance,moderate,hellinger,oracle_blocks,0.20927702041006668,0.9976287513894034,0.8092139800512241,-0.1599545130457974,0.44683216005928117,0.6072127392182752
radar__instance__moderate__a2,radar,instance,moderate,hellinger,random_blocks,0.20927702041006668,0.9976287513894034,0.8092139800512241,-0.1599545130457974,0.44683216005928117,0.6072127392182752
