stream,detector,filter,population,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RBF_I,d3_oof,learned_features_label,clean,poison_admission_rate,,,,0,0
RBF_I,d3_oof,learned_features_label,clean,roc_auc,-0.011460397563936095,-0.011460397563936095,-0.011460397563936095,1,0
RBF_I,d3_oof,learned_features_label,clean,scored_resets,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1,0
RBF_I,d3_oof,learned_features_label,clean,total_seconds,-5.861828041333259,-5.861828041333259,-5.861828041333259,1,0
RBF_I,d3_oof,none,attacked,accuracy,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,filter_legitimate_rejection,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,filter_poison_recall,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,legitimate_withhold_rate,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,macro_f1,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,macro_recall,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,poison_admission_rate,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,roc_auc,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,scored_resets,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,attacked,total_seconds,0.0,0.0,0.0,6,0
RBF_I,d3_oof,none,clean,accuracy,0.0,0.0,0.0,1,0
RBF_I,d3_oof,none,clean,filter_legitimate_rejection,0.0,0.0,0.0,1,0
RBF_I,d3_oof,none,clean,filter_poison_recall,,,,0,0
RBF_I,d3_oof,none,clean,legitimate_withhold_rate,0.0,0.0,0.0,1,0
RBF_I,d3_oof,none,clean,macro_f1,0.0,0.0,0.0,1,0
RBF_I,d3_oof,none,clean,macro_recall,0.0,0.0,0.0,1,0
RBF_I,d3_oof,none,clean,poison_admission_rate,,,,0,0
RBF_I,d3_oof,none,clean,roc_auc,0.0,0.0,0.0,1,0
RBF_I,d3_oof,none,clean,scored_resets,0.0,0.0,0.0,1,0
RBF_I,d3_oof,none,clean,total_seconds,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_blocks,attacked,accuracy,-0.12028719134621324,-0.32696117804551544,-0.004106955151048863,6,0
RBF_I,d3_oof,oracle_blocks,attacked,filter_legitimate_rejection,0.5067025591554608,0.22776139743245058,1.0,6,6
RBF_I,d3_oof,oracle_blocks,attacked,filter_poison_recall,1.0,1.0,1.0,6,6
RBF_I,d3_oof,oracle_blocks,attacked,legitimate_withhold_rate,0.3840037303144635,0.18561354052088794,0.7634718568362562,6,6
RBF_I,d3_oof,oracle_blocks,attacked,macro_f1,-0.12345468162627238,-0.3360921703386639,-0.004407161222705532,6,0
