condition,stream,mode,level,detector,granularity,accuracy_oracle_minus_random,macro_f1_oracle_minus_random,macro_recall_oracle_minus_random,roc_auc_oracle_minus_random,poison_admission_rate_oracle_minus_random,legitimate_withhold_rate_oracle_minus_random,filter_poison_recall_oracle_minus_random,filter_legitimate_rejection_oracle_minus_random,scored_resets_oracle_minus_random,total_seconds_oracle_minus_random
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,adwin,rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.07760179200158746
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,adwin,blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-1.1004949170001055
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,hddm_w,rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0,2.262489208000261
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,hddm_w,blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.12853229199936322
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,hellinger,rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.2877350819999265
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,hellinger,blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.34824008400028106
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,d3_oof,rows,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.10140608300025633
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,d3_oof,blocks,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.041103834000750794
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,adwin,rows,0.006091279616607714,0.006544655439150171,0.005938056566190952,0.007863775260556594,-0.5571376414749909,-0.1523566384497097,0.851742634875165,-0.1509283727226129,-2,20.77708683300079
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,adwin,blocks,0.018368393026878205,0.018559144953684492,0.01750584791274179,0.0159372434939965,-0.4422445024854663,-0.07836550663621034,0.6320105597214031,-0.11199195791841471,1,-3.148880624999947
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,hddm_w,rows,-0.011042932572918662,-0.01180177747936828,-0.010482457873128181,-0.003965723307378322,-0.5331535933945573,-0.06786501644745024,0.851742634875165,-0.1509283727226129,-1,11.58570787499957
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,hddm_w,blocks,-0.049844980914985904,-0.05030071923821211,-0.0499413760899573,-0.023292586707245544,-0.5072317240991939,-0.04260412156681248,0.6320105597214031,-0.11199195791841471,5,-3.423185583000306
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,hellinger,rows,0.0032198185555107894,0.003930619115832368,0.003068308917552387,0.004164455925995125,-0.556884882186087,-0.1212731968767263,0.851742634875165,-0.1509283727226129,-2,2.7574193330019625
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,hellinger,blocks,-0.01594979670851937,-0.01650504676866338,-0.016028680973932063,-0.006664537993485098,-0.5072317240991939,-0.06624266583060867,0.6320105597214031,-0.11199195791841471,2,-0.43481475000044156
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,d3_oof,rows,-0.009445464634249445,-0.009123933652550376,-0.009393738084115366,-0.0023657096809784894,-0.6286404358693515,-0.09057792508323267,0.851742634875165,-0.1509283727226129,0,-0.5436859999990702
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,d3_oof,blocks,0.019761823004533552,0.020011161806861688,0.018826933267318213,0.014775880595880198,-0.5072317240991939,-0.05678724812509017,0.6320105597214031,-0.11199195791841471,0,-0.044149959001515526
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,adwin,rows,-0.005748871379579801,-0.0064134737480591175,-0.006024298685002649,-0.00014106800873658898,-0.4947111472742067,-0.22440010153850753,0.8478437754271766,-0.1504064028988248,0,-2.582607874999667
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,adwin,blocks,0.035593228775216645,0.0356138075760023,0.03547646208909261,0.018359521506774112,-0.3577621278864229,-0.025638473139580675,0.5794730787576106,-0.1027977840713955,0,-0.5445541670014791
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,hddm_w,rows,0.006754301698779108,0.006214367873294213,0.007269232401323267,0.011125403811086287,-0.5394068628826352,-0.14915210368873477,0.8478437754271766,-0.1504064028988248,1,1.6999534989990899
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,hddm_w,blocks,-0.008715388558999337,-0.009936079262351294,-0.007534239008010868,-0.0002612438005746842,-0.3577621278864229,-0.08710908918963317,0.5794730787576106,-0.1027977840713955,4,-2.6852625419996894
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,hellinger,rows,0.055328531822865124,0.055611328298117435,0.05409712563658986,0.036869998595032816,-0.495777335091608,-0.1613765436092958,0.8478437754271766,-0.1504064028988248,-2,5.514160501001243
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,hellinger,blocks,0.014354757626587111,0.01380245115498735,0.0145984112962112,0.00867361239926967,-0.3577621278864229,-0.020909964212653565,0.5794730787576106,-0.1027977840713955,1,-3.047125583001618
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,d3_oof,rows,0.030809968692293577,0.03003487345723299,0.028963956472319308,0.020168325781860563,-0.508431301029713,-0.17118695528821498,0.8478437754271766,-0.1504064028988248,0,3.0861385409989452
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,d3_oof,blocks,0.04205884256056225,0.04211399198770882,0.04198763815632389,0.023458162062206855,-0.3577621278864229,-0.08238058026270606,0.5794730787576106,-0.1027977840713955,0,0.04190929200012761
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,adwin,rows,0.04508543871339343,0.04586693011683596,0.04532353324361371,0.02999999300920242,-0.4068848378851069,-0.26111042092542613,0.7490918875285888,-0.2515388003568887,-2,5.472951249999824
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,adwin,blocks,0.044848265814350086,0.04594548417836353,0.04553271906583234,0.029837097217168207,-0.4415108300820665,-0.08388014862835014,0.63808354634737,-0.21426312639056733,0,1.287918248999631
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,hddm_w,rows,-0.02472245123838135,-0.025381497276378173,-0.023682689734425222,-0.005870260918780179,-0.4720503161576752,-0.15695198942886512,0.7490918875285888,-0.2515388003568887,4,-2.3787270830016496
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,hddm_w,blocks,-0.0021402030651773707,-0.002438027939787646,-0.0004318363431458083,0.0056495407915887474,-0.4415108300820665,-0.12679714940763254,0.63808354634737,-0.21426312639056733,4,-2.4186104589989554
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,hellinger,rows,0.014202139073670406,0.014313743267743928,0.014939410836053657,0.014978064464748142,-0.4590172205031615,-0.1494019854759835,0.7490918875285888,-0.2515388003568887,-1,2.093452458999309
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,hellinger,blocks,0.02253142540912323,0.02325355627584902,0.02355454817136693,0.0180749253286423,-0.4415108300820665,-0.07851552353093982,0.63808354634737,-0.21426312639056733,1,-1.764478416998827
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,d3_oof,rows,0.009554679647177045,0.009681374394732267,0.01034523882435856,0.010537686874813712,-0.4525931656128077,-0.2294139570604113,0.7490918875285888,-0.2515388003568887,0,-1.6515945840019413
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,d3_oof,blocks,0.04760963599606971,0.04873554513512779,0.04826210880907944,0.03125837344297322,-0.4415108300820665,-0.09460939882317071,0.63808354634737,-0.21426312639056733,0,1.8910401239991188
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,adwin,rows,0.02812935954343687,0.027958235865835568,0.026632558818351804,0.020984304876320192,-0.5920063382893361,-0.169516103550229,0.7499578571187755,-0.2510269257679373,1,-3.4920810429975937
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,adwin,blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.35598358400056895
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,hddm_w,rows,0.026886493341788165,0.03117181892882681,0.029668258179215146,0.020648811548942048,-0.4990559994605711,-0.23527320739386554,0.7499578571187755,-0.2510269257679373,2,-0.12682533399856943
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,hddm_w,blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.022831333999420167
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,hellinger,rows,0.0251194250686958,0.028347234808790533,0.02680882441162702,0.011574538771983778,-0.5848757627861502,-0.1924131627056673,0.7499578571187755,-0.2510269257679373,1,-1.5262624580009323
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,hellinger,blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.028216208000230836
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,d3_oof,rows,0.03493553160008456,0.035478026716816324,0.03358620819904501,0.024632475579667856,-0.6126900643943225,-0.1931015415171418,0.7499578571187755,-0.2510269257679373,1,-3.3365833750012825
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,d3_oof,blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.07420254100179591
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,adwin,rows,0.03449116453076495,0.035317701657590295,0.03678034371521954,0.018836304415223548,-0.5537955095380114,-0.16740627238716874,0.847448089584154,-0.149844782297222,-2,3.8503881250017002
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,adwin,blocks,0.03324743293799248,0.03428330270628466,0.033320610249733984,0.02388849987491959,-0.4184626638906083,-0.11180152033749907,0.5651623431433235,-0.099931346016079,0,-0.08660199999940232
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,hddm_w,rows,-0.008681246517551533,-0.009170633028549036,-0.012399020471735134,-0.006006172374911745,-0.5332282932868156,-0.03844623099578126,0.847448089584154,-0.149844782297222,1,-1.4687770000000455
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,hddm_w,blocks,0.019024118443047078,0.018385386987839647,0.018022643423536433,0.013294934950573545,-0.4199819931348826,-0.06480836583618566,0.5651623431433235,-0.099931346016079,1,0.29733595799916657
