condition,stream,base_key,detector,reference_policy,rl_policy,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl_alarm,7.0,-0.13034542133838956,-0.13083121752109128,-0.11992024040216809,0.2624127240063103,122.0,0.0,-16.45816000015475
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl,17.0,0.04961606027579968,0.05092299992842442,-0.24090768669081924,-0.0001393429977655236,2.0,-45600.0,20.344869300024584
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl,27.0,-0.07061206411768506,-0.07052339377488048,-0.09750891678602525,0.16237440468192466,99.0,-45600.0,-10.406770800007507
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl,7.0,-0.07023384740946437,-0.07017607411257609,-0.1050074423568399,0.13740712540372146,82.0,-45600.0,-10.016649400116876
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl_alarm,17.0,0.05366198374663467,0.05514333520070802,0.10155306540848708,-0.08128673305365203,-6.0,-45600.0,30.437720099929734
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl_alarm,27.0,-0.07319986264761646,-0.07282504786594679,-0.14640379700620665,0.1726210915533261,117.0,-45600.0,-10.594727500108995
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl_alarm,7.0,-0.07319986264761646,-0.07282504786594679,-0.14640379700620665,0.1726210915533261,117.0,-45600.0,-11.825874200090766
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl,17.0,0.12244268275082981,0.12337497473688852,-0.08105147864184009,-0.1230995854545816,-78.0,0.0,32.75126549997367
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl,27.0,0.0022145583573450756,0.0019285810335836207,0.06234729126295391,0.03941416222510857,19.0,0.0,1.9996253999415785
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl,7.0,0.0025927750655657666,0.0022759006958880112,0.054848765692139256,0.014446882946905382,2.0,0.0,2.38974679983221
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl_alarm,17.0,0.1264886062216648,0.12759531000917212,0.26140927345746623,-0.2042469755104681,-86.0,0.0,42.84411629987882
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl_alarm,27.0,-0.000373240172586331,-0.0003730730574826868,0.013452411042772505,0.04966084909651003,37.0,0.0,1.8116686998400908
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl_alarm,7.0,-0.000373240172586331,-0.0003730730574826868,0.013452411042772505,0.04966084909651003,37.0,0.0,0.5805219998583198
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl,17.0,0.007872879373752806,0.008128265550492064,-0.29497009015081305,0.0564687498444833,8.0,-9500.0,13.570401299977675
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl,27.0,-0.11235524501973193,-0.11331812815281284,-0.15157132024601905,0.21898249752417348,105.0,-9500.0,-17.181238800054416
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl,7.0,-0.11197702831151124,-0.11297080849050845,-0.1590698458168337,0.1940152182459703,88.0,-9500.0,-16.791117400163785
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl_alarm,17.0,0.011918802844587795,0.012348600822775668,0.047490661948493273,-0.024678640211403202,0.0,-9500.0,23.663252099882826
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl_alarm,27.0,-0.11494304354966334,-0.11561978224387914,-0.20046620046620045,0.22922918439557494,123.0,-9500.0,-17.369195500155904
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl_alarm,7.0,-0.11494304354966334,-0.11561978224387914,-0.20046620046620045,0.22922918439557494,123.0,-9500.0,-18.600342200137675
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,immediate,rl,17.0,0.034562039981487325,0.03507208267307749,-0.19571994270789456,-0.029953767983955604,2.0,0.0,26.831648300169036
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,immediate,rl,27.0,-0.08566608441199741,-0.08637431103022741,-0.05232117280310056,0.13255997969573458,99.0,0.0,-3.9199917998630553
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,immediate,rl,7.0,-0.08528786770377672,-0.08602699136792302,-0.05981969837391521,0.10759270041753138,82.0,0.0,-3.529870399972424
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,immediate,rl_alarm,17.0,0.038607963452322314,0.03929241794536109,0.14674080939141176,-0.11110115803984211,-6.0,0.0,36.924499100074186
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,immediate,rl_alarm,27.0,-0.08825388294192882,-0.08867596512129372,-0.10121605302328196,0.14280666656713603,117.0,0.0,-4.107948499964543
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,hellinger,immediate,rl_alarm,7.0,-0.08825388294192882,-0.08867596512129372,-0.10121605302328196,0.14280666656713603,117.0,0.0,-5.339095199946314
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,none,none,rl,17.0,-0.004045923470834989,-0.004220335272283604,-0.3424607520993063,0.0811473900558865,8.0,0.0,10.369147600140423
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,none,none,rl,27.0,-0.12427404786431973,-0.1256667289755885,-0.19906198219451232,0.24366113773557668,105.0,0.0,-20.38249249989167
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,none,none,rl,7.0,-0.12389583115609903,-0.1253194093132841,-0.20656050776532697,0.2186938584573735,88.0,0.0,-19.992371100001037
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,none,none,rl_alarm,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.461998400045573
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,none,none,rl_alarm,27.0,-0.12686184639425113,-0.1279683830666548,-0.24795686241469372,0.25390782460697814,123.0,0.0,-20.570449199993156
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,none,none,rl_alarm,7.0,-0.12686184639425113,-0.1279683830666548,-0.24795686241469372,0.25390782460697814,123.0,0.0,-21.801595899974927
