,,,,,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,detection_delay,detection_delay,detection_delay,detection_delay,detection_delay,commit_delay,commit_delay,commit_delay,commit_delay,commit_delay,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_recall,malicious_recall,malicious_recall,malicious_recall,malicious_recall,benign_fpr,benign_fpr,benign_fpr,benign_fpr,benign_fpr,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,average_precision,average_precision,average_precision,average_precision,average_precision
,,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
stream,mode,level,policy,guarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF_I,concept,severe,immediate,False,0.5400348424102474,0.04325451709842174,0.4832565596350991,0.626425721396685,12,0.5364186966780825,0.04307184545081122,0.4789848918776082,0.6220620558570837,12,1.0,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,12,26.766666666666666,26.612619471812902,2.0,71.2,12,95000.0,0.0,95000.0,95000.0,12,17.853499543348637,0.5373333134308398,17.146426959987732,19.11384692005813,12,10.916666666666666,15.03875464970891,0.6666666666666666,41.333333333333336,12,10.916666666666666,15.03875464970891,0.6666666666666666,41.333333333333336,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,severe,immediate,True,0.5880679793554512,0.05254297358390866,0.511905568351172,0.6787872973232275,12,0.5855225731069332,0.05313619682833005,0.5075751611930083,0.6765861708572156,12,0.39308551322156077,0.22049723869493795,0.1393630273036393,0.7160219506447161,12,0.37522569389918026,0.1002170114499515,0.2211759924129522,0.5252050788417351,12,8.433333333333334,10.741875012672544,0.0,32.0,12,95000.0,0.0,95000.0,95000.0,12,22.05016963001496,3.5162981050596835,19.407050199992955,29.15175783997401,12,12.805555555555555,17.392394037922738,0.6666666666666666,48.75,12,13.291666666666666,16.638970042465793,0.5,54.75,10,0.05555555555555555,0.1297498240269205,0.0,0.3333333333333333,12,0.3055555555555555,0.38816671762710503,0.0,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,severe,none,False,0.6767388307927696,0.005389899240128596,0.6706238992006504,0.6807996522269332,3,0.6749082945524302,0.005960072192840944,0.668627006706904,0.6804844112824957,3,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,95000.0,0.0,95000.0,95000.0,3,18.227835519984364,0.3696309976497555,17.98732479996979,18.653448079992085,3,,,,,0,,,,,0,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,severe,none,True,0.6612265675215798,0.020017663798700517,0.6464232488822653,0.6840020091313893,3,0.6604541610216201,0.019185832479388546,0.6455252258045967,0.6820940065048694,3,0.6601860923068565,0.053313477499337965,0.6269121383975902,0.7216779449887217,3,0.216763859978229,0.026505458396917522,0.1876731888188452,0.2395456367465152,3,0.0,0.0,0.0,0.0,3,95000.0,0.0,95000.0,95000.0,3,28.280014506665367,0.3789447636743032,27.978313639946283,28.70533092003316,3,,,,,0,,,,,0,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,severe,rl,True,0.5537183339887971,0.04880986502921026,0.5038951361604118,0.660468082464685,9,0.550541324695765,0.049194818015071126,0.4994424592475858,0.6580602315172723,9,0.39245051697618316,0.07226175290102901,0.2966367033632966,0.4777203119998652,9,0.44040325083977416,0.08270860412235975,0.3101503441033834,0.5470707458490236,9,24.933333333333334,15.742934923323542,4.8,45.2,9,95000.0,0.0,95000.0,95000.0,9,21.7419683555555,2.9811600520498076,19.83942775996402,28.931815799977628,9,9.25925925925926,6.818638218918337,0.6666666666666666,17.333333333333332,9,8.148148148148147,11.566367804869897,0.6666666666666666,33.0,9,0.0,0.0,0.0,0.0,9,0.037037037037037035,0.1111111111111111,0.0,0.3333333333333333,9,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,severe,rl_alarm,True,0.574191927504438,0.06907089153285961,0.5064975387255566,0.6840020091313893,9,0.5712145441858655,0.07024855508805643,0.5020379528223036,0.6820940065048694,9,0.3536197395717874,0.2375554032393905,0.145019021647645,0.7216779449887217,9,0.4285773821373314,0.1626322638444159,0.1876731888188452,0.5741699458580567,9,26.48888888888889,20.196809428994253,0.0,45.6,9,95000.0,0.0,95000.0,95000.0,9,25.59580204889385,9.090987568063763,19.182264119945465,38.84939536005259,9,7.222222222222222,6.433419688539594,0.6666666666666666,17.333333333333332,9,1.1111111111111112,0.4554200340426489,0.6666666666666666,1.6666666666666667,6,0.0,0.0,0.0,0.0,9,0.3333333333333333,0.5,0.0,1.0,9,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,instance,moderate,confirmed,False,0.6460290283942789,0.040321627741751145,0.5709828788839569,0.6979285563305855,12,0.6452402989660341,0.04075555003172586,0.5695216272689312,0.6986746604627845,12,1.0,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,12,1.5999999999999999,1.4770978917519928,0.0,4.8,12,98040.0,2806.4859943287865,95000.0,104120.0,12,18.306123530003244,0.40885194666226055,17.629997839964926,19.06450971998274,12,10.909722222222221,10.499486419217849,1.0,31.25,12,11.84848484848485,4.471641847026751,6.0,20.0,11,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,0.3055555555555555,0.332068306631874,0.0,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,instance,moderate,confirmed,True,0.6592549143944199,0.01602814438528953,0.6357260621433101,0.6842908476009301,12,0.6586178846735676,0.015973557795430585,0.6343444683633052,0.6828002893917382,12,0.7708760419280255,0.04383602997659986,0.6975433282853778,0.8435034118671197,12,0.22809060781161206,0.043431713437819694,0.156649530454516,0.3009826175258348,12,0.3666666666666667,0.6257117159804119,0.0,2.0,12,98863.33333333333,3527.077939013936,95000.0,105640.0,12,27.369988896658956,2.5517721554718262,21.986726040020585,29.39791716001928,12,10.798611111111112,9.187267370334158,0.6666666666666666,31.25,12,16.61111111111111,10.195768911842976,8.333333333333334,28.0,3,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,0.8611111111111112,0.3001122124595067,0.0,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,instance,moderate,immediate,False,0.5712615373775806,0.03646593627342192,0.5256013527795392,0.6324667089410273,12,0.5687816795751397,0.035358044469307334,0.5217831543247524,0.6293631917647055,12,1.0,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,12,17.766666666666666,21.83005989802857,2.4,54.8,12,95000.0,0.0,95000.0,95000.0,12,17.673324223305098,0.48530184884885574,16.961411719955507,18.53013128004968,12,12.055555555555555,11.3883099138372,0.6666666666666666,34.666666666666664,12,12.055555555555555,11.3883099138372,0.6666666666666666,34.666666666666664,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,instance,moderate,immediate,True,0.6194969351088565,0.0485183471660508,0.5373451701543014,0.6732614669203129,12,0.6181253989403577,0.049207073041631876,0.5340738194353689,0.6714893135178319,12,0.6732707398286465,0.0902862840898908,0.5326995344663189,0.78380428065839,12,0.32701816834866254,0.09007505746588927,0.2169864840655294,0.4703372956613503,12,7.766666666666667,12.343517498769314,0.0,30.0,12,95000.0,0.0,95000.0,95000.0,12,23.018929269987467,3.1843548437695577,19.54406959991902,28.49468184001744,12,11.270833333333334,9.087476466839048,1.3333333333333333,31.25,12,21.25925925925926,12.525213768166656,1.3333333333333333,34.0,9,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,0.4444444444444444,0.3849001794597505,0.0,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
