condition,stream,mode,level,base_key,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,roc_auc
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,17.0,0.002500028217022776,0.0030561698409754534,-0.1770285752796873,0.09618054379846279,9.0,0.0,-18.24323630006984,,
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,27.0,0.0002426663957831865,0.0002467736453978242,0.0,0.0,-4.0,0.0,-0.27376749995164573,,
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,SEA_A__base_s0,7.0,-0.00022573618212384794,-0.0002491580016393824,0.0296872893921013,-0.027584961455546897,-13.0,0.0,-1.3629084997810423,,
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,SEA_A__base_s1,17.0,0.014018177975058221,0.016070938837954074,,0.1445783132530121,4.0,0.0,-20.923176000127576,,
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,SEA_A__base_s1,27.0,0.0,0.0,,0.0,0.0,0.0,-0.2808511999901384,,
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,SEA_A__base_s1,7.0,-0.0005115197632635793,-0.0006096988300862138,,-0.004016064257028107,-5.0,0.0,-0.13589749997481704,,
SEA_A__base_s1__concept__moderate__a1,SEA_A,concept,moderate,SEA_A__base_s1,17.0,0.01682826312017205,0.01976642117666061,-0.4187103653403671,0.3371028111810146,19.0,0.0,-26.191740399925038,,
SEA_A__base_s1__concept__moderate__a1,SEA_A,concept,moderate,SEA_A__base_s1,27.0,-0.0004628892251334893,-0.0003742321381345892,0.18449407935349912,-0.06657143425977546,-15.0,0.0,-0.5428695001173747,,
SEA_A__base_s1__concept__moderate__a1,SEA_A,concept,moderate,SEA_A__base_s1,7.0,0.00032850203073975237,0.0004487688314881444,0.1471743644424491,-0.04482061798200215,-31.0,0.0,0.5056249999906868,,
SEA_A__base_s1__concept__severe__a1,SEA_A,concept,severe,SEA_A__base_s1,17.0,0.004939874668322575,0.006512007132654096,-0.4277852574890609,0.3231016767346018,22.0,0.0,-19.440407200017944,,
SEA_A__base_s1__concept__severe__a1,SEA_A,concept,severe,SEA_A__base_s1,27.0,0.002043696719923216,0.0022231746230731986,0.10730393806799057,-0.05517981143792694,-18.0,0.0,-0.4260192001238483,,
SEA_A__base_s1__concept__severe__a1,SEA_A,concept,severe,SEA_A__base_s1,7.0,0.0014057471913284658,0.0015088231608165747,0.11129249410972727,-0.06456839609326481,-25.0,0.0,0.06737339985557078,,
