rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_reference,host_accuracy_reference,poison_admission_rate_reference,clean_withhold_rate_reference,resets_reference,training_visits_reference,seconds_reference,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference
60000,57000,47500,950,1,0.8070174589956878,False,3000,rl,True,56050,0.896021409455843,0.88612687810191,0,0,,56050,9500,0.1694915254237288,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_17,0.01,1,0,complete,0.9000335547356548,0.9080820695807315,,0.05084745762711865,2,60800,0.7840189159906004,-0.013906676633744786,-0.01206066012488849,,0.11864406779661016,-1,-3800,0.022998543005087413
60000,57000,39900,1900,2,0.7613098330039065,False,3000,rl,True,56050,0.9008563782337199,0.8914156842760601,0,0,,56050,17100,0.3050847457627119,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_17,0.02,5,4,complete,0.9044845891295112,0.912221231043711,,0.23728813559322035,2,60800,0.7708728330035228,-0.013068904853451135,-0.01136485280999111,,0.06779661016949154,0,-3800,-0.009562999999616295
60000,57000,50350,49400,52,0.6392324579937849,False,3000,rl,True,56050,0.9130062444246209,0.9047892917830906,0,0,,56050,6650,0.11864406779661017,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_27,0.01,1,0,complete,0.9000335547356548,0.9080820695807315,,0.05084745762711865,2,60800,0.7840189159906004,0.004755737047435815,0.004924174843889406,,0.06779661016949153,50,-3800,-0.14478645799681544
60000,57000,47500,46550,49,0.6486152919969754,False,3000,rl,True,56050,0.9128456735057984,0.9046124598334329,0,0,,56050,9500,0.1694915254237288,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_27,0.01,5,4,complete,0.9003181924123496,0.908278322925959,,0.1694915254237288,2,60800,0.7559547919954639,0.004294267421083298,0.004567350579839369,,0.0,47,-3800,-0.10733949999848846
60000,57000,34200,33250,35,0.6563047080126125,False,3000,rl,True,56050,0.9117395182872435,0.903350728475776,0,0,,56050,22800,0.4067796610169492,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_27,0.05,1,0,complete,0.9010489231629448,0.9085459411239964,,0.13559322033898305,1,58900,0.8360884580033598,0.0023018053128311955,0.0031935771632470855,,0.27118644067796616,34,-1900,-0.1797837499907473
60000,57000,42750,950,1,0.7666331670043292,False,3000,rl,True,56050,0.9008563782337199,0.8917031723585069,0,0,,56050,14250,0.2542372881355932,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_17,0.05,5,4,complete,0.8847023825393403,0.8954326494201605,,0.23728813559322035,0,58900,0.8586270410014549,0.007000789819166631,0.0054237288135593476,,0.016949152542372864,1,-1900,-0.09199387399712577
60000,57000,40850,39900,42,0.6426222910085926,False,3000,rl,True,56050,0.9058340767172167,0.896399957686993,0,0,,56050,16150,0.288135593220339,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_27,0.02,5,4,complete,0.9044845891295112,0.912221231043711,,0.23728813559322035,2,60800,0.7708728330035228,-0.008084631442518253,-0.006387154326494282,,0.05084745762711865,40,-3800,-0.12825054199493024
60000,57000,49400,48450,51,0.6532513749989448,False,3000,rl,True,56050,0.9108652988403212,0.9023066212145907,0,0,,56050,7600,0.13559322033898305,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_27,0.02,1,0,complete,0.9010264637547566,0.908528099910794,,0.1016949152542373,1,60800,0.8189347500010626,0.0012801574598341192,0.0023371989295272178,,0.033898305084745756,50,-3800,-0.16568337500211783
60000,57000,28500,27550,29,0.658343834002153,False,3000,rl,True,56050,0.9024799286351471,0.8926205410450738,0,0,,56050,28500,0.5084745762711864,SEA_A__s115__clean__none,SEA_A,clean,none,115,q_alarm_persistence_27,0.05,5,4,complete,0.8847023825393403,0.8954326494201605,,0.23728813559322035,0,58900,0.8586270410014549,0.007918158505733519,0.0070472792149866015,,0.27118644067796605,29,-1900,-0.2002832069993019
60000,57000,56050,0,0,0.8628348749916768,False,3000,none,True,56050,0.8883140053523639,0.876981384784705,14226,14001,0.9841838886545762,41824,725,0.017334544758990055,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,no_reset,0.01,1,0,complete,0.876981384784705,0.8883140053523639,0.9841838886545762,0.017334544758990055,0,57000,0.8853964160080068,0.0,0.0,0.0,0.0,0,0,-0.02256154101633001
60000,57000,42750,0,0,0.7871804999886081,False,3000,none,True,56050,0.8956289027653881,0.8856521903994463,14226,10552,0.7417404751862786,41824,10576,0.2528691660290742,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,no_reset,0.05,1,0,complete,0.8856521903994463,0.8956289027653881,0.7417404751862786,0.2528691660290742,0,57000,0.7956887089967495,0.0,0.0,0.0,0.0,0,0,-0.00850820900814142
60000,57000,47500,0,0,0.8337488749966724,False,3000,none,True,56050,0.8911150758251561,0.880592161180783,14226,11761,0.8267257134823562,41824,7035,0.1682048584544759,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,no_reset,0.01,5,4,complete,0.880592161180783,0.8911150758251561,0.8267257134823562,0.1682048584544759,0,57000,0.8535122089961078,0.0,0.0,0.0,0.0,0,0,-0.019763333999435417
