dataset,category,detector,policy,accuracy_screened_minus_unscreened,macro_f1_screened_minus_unscreened,macro_recall_screened_minus_unscreened,roc_auc_screened_minus_unscreened,poison_admission_rate_screened_minus_unscreened,clean_withhold_rate_screened_minus_unscreened,resets_per_100k_screened_minus_unscreened,seconds_per_100k_screened_minus_unscreened
RADAR,4,hddm_w,immediate,-6.0946547464278416,-14.9853212997983,-17.003542009597133,0.00860971713212407,-43.99350913827494,41.47067658201605,-44.490011751689345,16.882281890637316
RADAR,4,hellinger,confirmed,-0.38406531094051416,-1.0960212948656605,-1.804549202897543,0.0008296406944848048,-14.386629906111834,12.936188992138172,-0.48134479484053383,42.501626085887274
RADAR,4,hellinger,immediate,-3.3805621090586375,-5.446855662846734,-5.353375061405326,-0.0138810437036511,-20.657391885207954,19.757765460582323,-2.8880687690432043,25.093182335482123
RADAR,4,none,none,0.091471170409263,-0.4918830567289867,-1.214438833273377,-0.006811798110910446,-9.48964600080606,8.045449250005829,0.0,177.23145234104038
RADAR,5,adwin,confirmed,-0.39872428364112383,-2.776279413553769,-2.9506552474925396,0.016841558368338522,-20.95890210102384,17.784373624398587,-1.6503250108818308,15.249919704795502
RADAR,5,adwin,immediate,-7.814376620391388,-16.211304931800477,-18.861744545926168,-0.025712060786470443,-49.37315225197375,40.41436446877651,-39.19521900844347,4.958422880691335
RADAR,5,d3_oof,confirmed,-1.1802737279240934,-2.244753973192794,-1.0643689066142235,-0.014463188667090066,-15.719858576612978,13.682660451365644,0.20629062636022874,44.29317200719273
RADAR,5,d3_oof,immediate,0.6186986631229888,-0.6080826126671787,-0.5869443742879047,0.003250087995489833,-17.59585903058674,15.945710642852594,-0.756398963320839,22.70305490288314
RADAR,5,hddm_w,confirmed,-1.215386909178547,-3.825723548130681,-3.0257898292079273,0.00954252866958242,-19.619289095968174,16.48052821471035,-1.9941427214822125,14.13080889305794
RADAR,5,hddm_w,immediate,-7.245460916445393,-16.349834449755658,-19.198530978259075,-0.001295062317433963,-47.01028305328567,38.56133902165903,-41.189361729925686,7.320803756416173
RADAR,5,hellinger,confirmed,-1.9129571113898234,-6.625736284798464,-7.070139590601232,0.019073803329916778,-19.068437743962836,14.794598204426562,-1.512797926641678,30.01850242633232
RADAR,5,hellinger,immediate,-1.568624396811602,-5.9797427394590805,-7.043128454989744,0.010503006132571676,-27.356101925284303,21.682078342436473,-3.3006500217636607,21.85567686362491
RADAR,5,none,none,0.9410101688328713,-0.34249656377921545,1.7479728225302156,0.006688293188216399,-8.020455311882912,8.150134223009786,0.0,125.69702535105954
RADAR,6,adwin,confirmed,-2.9552124162487132,-4.838542878633153,-4.268226985294319,-0.0015319025509860456,-18.345092528914368,16.210131149447516,-1.9941427214822118,24.40458656264021
RADAR,6,adwin,immediate,-5.589197520565707,-13.881213480317847,-16.317366893567414,-0.0112808737750425,-48.0353145155111,42.51134752710498,-41.46441589840599,3.5017664047563435
