stream,mode,level,detector,filter,accuracy_difference,macro_f1_difference,macro_recall_difference,roc_auc_difference,poison_admission_rate_difference,legitimate_withhold_rate_difference,filter_poison_recall_difference,filter_legitimate_rejection_difference,scored_resets_difference,total_seconds_difference,matched_assignments
SEA_A,instance,severe,hellinger,oracle_blocks,-0.031532445571760714,-0.037313964383922794,-0.04086358118663325,-0.00029162711036763894,-0.7566196383707475,0.756271137694191,1.0,1.0,-3.0,-3.788253499998973,3
SEA_A,instance,severe,hellinger,oracle_rows,0.01305854998943142,0.015267863114786414,0.0181414811975061,0.007348308081823407,-0.7566196383707475,-0.09122326523204277,1.0,0.0,-1.0,-0.6281422363335878,3
SEA_A,instance,severe,hellinger,random_blocks,-0.031532445571760714,-0.037313964383922794,-0.04086358118663325,-0.00029162711036763894,-0.7566196383707475,0.756271137694191,1.0,1.0,-3.0,-3.831213541999508,3
SEA_A,instance,severe,hellinger,random_rows,0.0053547523427042165,0.006566577976407584,0.008676178776316915,0.0014703066586614355,-0.2740148003460167,0.2743390519370145,0.25021742469814484,0.2512073385771184,-1.6666666666666667,-1.4137919446669305,3
SEA_A,splice,moderate,adwin,learned_features,0.0024151435304839617,0.002769747498991504,0.0032749094941451804,0.0011132197696647566,-0.016914297657331767,0.01840121540318491,0.0497750100931916,0.0498166637034845,0.0,-0.13741193033274612,3
SEA_A,splice,moderate,adwin,learned_features_label,0.0036575710373752215,0.004205108594026193,0.0050595411591788,-0.0008500691867724397,0.029473565254224177,-0.024559016563464913,0.0499814701966513,0.049304023903947634,-0.3333333333333333,-0.4563958606668166,3
SEA_A,splice,moderate,adwin,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,splice,moderate,adwin,oracle_blocks,-0.023012634439190955,-0.026965414746532395,-0.031912508284468045,-0.007731687029644181,-0.802707620520307,0.3935437172436555,1.0,0.5114386240693274,-3.0,-1.0233875273327915,3
SEA_A,splice,moderate,adwin,oracle_rows,0.0057941441944536765,0.0063779505693432785,0.006526014327542702,0.001482374581543544,-0.802707620520307,-0.045141093725149024,1.0,0.0,-1.0,-0.37218351333346317,3
SEA_A,splice,moderate,adwin,random_blocks,-0.022133068988845,-0.025537994290630344,-0.02922031909317313,-0.006454589117052397,-0.4113874901224719,0.46290840378957004,0.5598475781748087,0.5894597480566497,-3.0,-1.2422131520003556,3
SEA_A,splice,moderate,adwin,random_rows,0.0008109117116419373,0.001195049590625737,0.0024547787692359804,0.0008995587388095361,-0.05905808644966334,0.10018947757017031,0.15188051293829918,0.15035087564847982,-0.3333333333333333,-0.402568902666341,3
SEA_A,splice,moderate,d3_oof,learned_features,-0.001887155703912698,-0.0023400404673250184,-0.0034692392290358587,-0.0012884627041581664,-0.07540588088009555,0.053206114760956304,0.0497750100931916,0.0498166637034845,0.0,0.10685408333301893,3
SEA_A,splice,moderate,d3_oof,learned_features_label,-0.0005770390651071248,-0.0009024122288801376,-0.0015008048416928672,-0.00264003414573181,-0.06780687566676942,0.037938366400620205,0.0499814701966513,0.049304023903947634,0.0,-1.49977088866702,3
SEA_A,splice,moderate,d3_oof,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,splice,moderate,d3_oof,oracle_blocks,-0.009257465489024804,-0.01137828866836954,-0.014864350458927941,-0.006009186778450674,-0.9277172670728504,0.4927328567865265,1.0,0.5114386240693274,-0.3333333333333333,-3.6828552360002504,3
SEA_A,splice,moderate,d3_oof,oracle_rows,0.00376184636506934,0.004290695523751424,0.004962058886478012,-0.0008118631576840748,-0.9277172670728504,0.04045997487573333,1.0,0.0,0.3333333333333333,-1.2629580276667791,3
SEA_A,splice,moderate,d3_oof,random_blocks,-0.00837790003867885,-0.00995086821246749,-0.012172161267633022,-0.0047320888658588895,-0.5363971366750154,0.562097543332441,0.5598475781748087,0.5894597480566497,-0.3333333333333333,-3.918789999999717,3
SEA_A,splice,moderate,d3_oof,random_rows,-0.0005665874282722028,-0.0004833749765237316,-5.905473116285531e-05,-0.0012003848174805265,-0.19136338464169864,0.15121427287630343,0.15188051293829918,0.15035087564847982,0.3333333333333333,-0.7698100140005408,3
SEA_A,splice,moderate,hddm_w,learned_features,0.0015174011873821576,0.0019238881628139692,0.0026346668120589647,-0.00033561885238038897,-0.06354290342112785,0.06157177756026264,0.0497750100931916,0.0498166637034845,0.0,0.08949306933391288,3
SEA_A,splice,moderate,hddm_w,learned_features_label,-0.007350039207086952,-0.008794534117144148,-0.011134808028775534,-0.0037087816705576593,-0.048990944665200674,0.03386972674885191,0.0499814701966513,0.049304023903947634,-0.3333333333333333,-1.5804814166676806,3
SEA_A,splice,moderate,hddm_w,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,splice,moderate,hddm_w,oracle_blocks,-0.008671159509967996,-0.010684818774213234,-0.014104611325868302,-0.005923765247225192,-0.926111676289073,0.4961699476122324,1.0,0.5114386240693274,-0.3333333333333333,-3.8324097223333715,3
SEA_A,splice,moderate,hddm_w,oracle_rows,0.0052036690991253964,0.005920102147320157,0.0063719110632753555,-0.00031087808052332466,-0.926111676289073,0.012814643648259731,1.0,0.0,0.0,-0.8891112496664088,3
SEA_A,splice,moderate,hddm_w,random_blocks,-0.007791594059622042,-0.009257398318311183,-0.011412422134573386,-0.004646667334633407,-0.5347915458912379,0.565534634158147,0.5598475781748087,0.5894597480566497,-0.3333333333333333,-4.198637180334117,3
SEA_A,splice,moderate,hddm_w,random_rows,-0.005677408000413202,-0.006530445265228242,-0.007755100131809393,-0.001901167041505188,-0.16990560936919438,0.14337158402187136,0.15188051293829918,0.15035087564847982,-0.3333333333333333,-0.42361105566790985,3
SEA_A,splice,moderate,hellinger,learned_features,-0.007578493257997754,-0.00880516615406061,-0.010484708051433866,-0.0018820633302006524,-0.021310822205067637,0.024584805206005898,0.0497750100931916,0.0498166637034845,0.3333333333333333,0.7801118193341002,3
SEA_A,splice,moderate,hellinger,learned_features_label,-0.0001626759582137316,-0.00013189112264485234,0.00011543597792462723,-0.0027831416018264665,0.0144638299097641,-0.02772166830124144,0.0499814701966513,0.049304023903947634,-0.6666666666666666,-0.9800226379993546,3
SEA_A,splice,moderate,hellinger,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,splice,moderate,hellinger,oracle_blocks,-0.016602534478170134,-0.019736009833713486,-0.02427156184673081,-0.007071980103309857,-0.8498067897730218,0.4308991089740819,1.0,0.5114386240693274,-1.3333333333333333,-2.5611676666661274,3
SEA_A,splice,moderate,hellinger,oracle_rows,-0.004524178448290117,-0.005513742904399581,-0.007819916808073294,-0.002044304230691648,-0.8498067897730218,-0.03368660214865119,1.0,0.0,-0.6666666666666666,-0.3555434443333076,3
SEA_A,splice,moderate,hellinger,random_blocks,-0.01572296902782418,-0.018308589377811435,-0.021579372655435896,-0.005794882190718072,-0.45848665937518684,0.5002637955199966,0.5598475781748087,0.5894597480566497,-1.3333333333333333,-2.836909388666148,3
SEA_A,splice,moderate,hellinger,random_rows,0.0041962635097766805,0.004881170053794885,0.005656965570404737,0.00034360885441993744,-0.13081069544587795,0.13566597001039604,0.15188051293829918,0.15035087564847982,0.6666666666666666,-1.6384539723324754,3
