stream,mode,level,detector,filter,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,scored_resets,total_seconds
RBF_I,concept,moderate,adwin,random_blocks,0.6209239199667785,0.6199357857583251,0.6211583740007643,0.8320685437323098,0.4509352644808266,0.5346512578427794,0.3852330166877549,0.4013656355198234,0.0,22.692446805667107
RBF_I,concept,moderate,adwin,random_rows,0.644099339519624,0.642741249193126,0.6421205948984069,0.8476003546990412,0.5569179430246946,0.3731715398905535,0.15090952688938924,0.15048839310512138,1.6666666666666667,20.849680930666484
RBF_I,concept,moderate,d3_oof,learned_features,0.6574440305160684,0.6564434373197675,0.6562815991926129,0.8537288596840207,0.6456575579125219,0.2512522099018522,0.06413990057530723,0.05645985590890404,0.3333333333333333,26.025050778333025
RBF_I,concept,moderate,d3_oof,learned_features_label,0.6661132620271396,0.6648481934894875,0.6661121246774718,0.8588059740805088,0.7263968431973707,0.20214622942757873,0.0329548484166104,0.02572331701625929,0.0,27.255612277999415
RBF_I,concept,moderate,d3_oof,none,0.6522692218041485,0.6519008259826019,0.6525401171585379,0.8521628296723773,0.6900857643626955,0.23505835888575635,0.0,0.0,0.3333333333333333,24.99992086133231
RBF_I,concept,moderate,d3_oof,oracle_blocks,0.6481622666530996,0.6474936647598963,0.6479111379066103,0.850404004000445,0.0,0.46732735784792473,1.0,0.29239601351397787,0.0,18.587805291332796
RBF_I,concept,moderate,d3_oof,oracle_rows,0.6669988566368062,0.6659189574127988,0.6655884694989921,0.8626184127096831,0.0,0.19872497887867044,1.0,0.0,0.0,24.614764083333284
RBF_I,concept,moderate,d3_oof,random_blocks,0.6252040734246094,0.6240977105820485,0.6251976503027364,0.8332642677097017,0.4844052983430657,0.521669858618656,0.3852330166877549,0.4013656355198234,0.0,18.750776374666504
RBF_I,concept,moderate,d3_oof,random_rows,0.6531215739971443,0.6519268694593991,0.6522206920348822,0.8508307861761604,0.584814124879239,0.3486023643253353,0.15090952688938924,0.15048839310512138,0.0,23.227089430666336
RBF_I,concept,moderate,hddm_w,learned_features,0.6019869730025876,0.6001450852101902,0.5999880597586481,0.8174054319714248,0.5160300394212755,0.35047772484563566,0.06413990057530723,0.05645985590890404,5.666666666666667,20.864286014000147
RBF_I,concept,moderate,hddm_w,learned_features_label,0.6177604632381545,0.6166591858238336,0.6173707467811389,0.8311856166079754,0.5971669223057724,0.32534786365782264,0.0329548484166104,0.02572331701625929,4.333333333333333,22.188913194665776
RBF_I,concept,moderate,hddm_w,none,0.622956544560139,0.6214397458878161,0.6221515810972006,0.8351042453544469,0.5657733682079923,0.31545587103972716,0.0,0.0,4.333333333333333,27.259975055667383
RBF_I,concept,moderate,hddm_w,oracle_blocks,0.6017833016819317,0.6000639001331464,0.6006644261958163,0.8219548432185793,0.0,0.47836128330262895,1.0,0.29239601351397787,2.6666666666666665,16.299953638999796
RBF_I,concept,moderate,hddm_w,oracle_rows,0.6164677945265921,0.6143525303124973,0.6140417779656535,0.8313363702194647,0.0,0.3061894703291233,1.0,0.0,3.6666666666666665,22.488267500333677
RBF_I,concept,moderate,hddm_w,random_blocks,0.6189207414179231,0.6176119861785955,0.6183824289571599,0.8303886047650568,0.4731041147668273,0.5306993499821839,0.3852330166877549,0.4013656355198234,0.0,18.580154333666844
RBF_I,concept,moderate,hddm_w,random_rows,0.6103388134985325,0.609009178395714,0.609437112819713,0.8270725019937005,0.4925204962702736,0.3723411467230419,0.15090952688938924,0.15048839310512138,5.0,18.75717518099979
RBF_I,concept,moderate,hellinger,learned_features,0.6544423332362465,0.6539152946783467,0.654050487994169,0.850818480890967,0.6589389341457617,0.2533588008888202,0.06413990057530723,0.05645985590890404,0.3333333333333333,25.25019227766643
RBF_I,concept,moderate,hellinger,learned_features_label,0.6635277961421552,0.6628787465189429,0.6641512913840572,0.8567246145078066,0.6972293483574176,0.2400306764599681,0.0329548484166104,0.02572331701625929,0.3333333333333333,25.0744584723343
