dataset,detector,policy,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
SEA,d3_oof,immediate,macro_f1,0.14495760172311795,-0.3726806568782807,0.8179021698487499,7,3
SEA,d3_oof,immediate,macro_recall,0.10024008144224934,-0.5100993780274732,0.7564816072371842,7,3
SEA,d3_oof,immediate,poison_admission_rate,-23.75875394746237,-31.93223964916068,-20.6917040074315,6,0
SEA,d3_oof,immediate,resets_per_100k,-1.219047619047619,-1.866666666666667,-0.39999999999999997,7,0
SEA,d3_oof,immediate,roc_auc,0.001536467810427494,-0.0002618355486149933,0.0047907762556328075,7,6
SEA,d3_oof,immediate,seconds_per_100k,2.231892771451246,1.69212412002186,3.018155280034989,7,7
SEA,hddm_w,confirmed,accuracy,0.6003218605885523,0.04261689487857397,2.2397606280988525,7,7
SEA,hddm_w,confirmed,clean_withhold_rate,20.438636273357478,8.835341365461844,31.17945443069769,7,7
SEA,hddm_w,confirmed,macro_f1,0.6698081527623707,0.05325638549887879,2.4508706477470015,7,7
SEA,hddm_w,confirmed,macro_recall,0.7197697477612864,0.08503716151344598,2.5023289578735195,7,7
SEA,hddm_w,confirmed,poison_admission_rate,-24.733133264965943,-36.12803015371509,-11.836922275622745,6,0
SEA,hddm_w,confirmed,resets_per_100k,-1.2952380952380949,-4.3999999999999995,0.26666666666666666,7,1
SEA,hddm_w,confirmed,roc_auc,0.0037350193100264472,-0.00022494972240823716,0.013698289139663014,7,6
SEA,hddm_w,confirmed,seconds_per_100k,2.715057870475132,1.3702078400179734,4.10150686663886,7,7
SEA,hddm_w,immediate,accuracy,1.7180077138505296,-0.8496194580626115,6.435475870899043,7,6
SEA,hddm_w,immediate,clean_withhold_rate,33.397691472048955,10.441767068273089,56.93377252844332,7,7
SEA,hddm_w,immediate,macro_f1,1.8598741245280122,-0.9937432007107246,6.924131116364081,7,6
SEA,hddm_w,immediate,macro_recall,1.810305948318372,-1.2279253288764225,6.6793180320671794,7,6
