experiment,stream,condition,mode,level,method,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_screened,adwin,d3_oof,detector,-0.036885646837614514,0.017443120260021705,-0.17580872011251758,0.1840652116749934,-0.09159510798855061,-0.056246519398552075,8.333333333333334,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_screened,adwin,hddm_w,detector,0.0,0.0,0.08403656821378341,-0.09347883250065736,0.0,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_screened,adwin,hellinger,detector,-0.036885646837614514,0.017443120260021705,-0.08790436005625879,0.09203260583749673,-0.09159510798855061,-0.056246519398552075,8.333333333333334,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_screened,d3_oof,hddm_w,detector,0.036885646837614514,-0.017443120260021705,0.259845288326301,-0.27754404417565076,0.09159510798855061,0.056246519398552075,-8.333333333333334,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_screened,d3_oof,hellinger,detector,0.0,0.0,0.08790436005625879,-0.09203260583749667,0.0,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_screened,hddm_w,hellinger,detector,-0.036885646837614514,0.017443120260021705,-0.1719409282700422,0.1855114383381541,-0.09159510798855061,-0.056246519398552075,8.333333333333334,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_unscreened,adwin,d3_oof,detector,-0.05591963606436537,-0.17356446370530876,0.0,0.0,-0.32344522508456935,0.1236309634304808,58.333333333333336,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_unscreened,adwin,hddm_w,detector,-0.004388918253405594,-0.03813651137594798,0.0,0.0,0.0,0.06534249118247634,8.333333333333336,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_unscreened,adwin,hellinger,detector,-0.056530239291407075,-0.17518959913326104,0.0,0.0,-0.32734842570908146,0.1236309634304808,50.0,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,immediate_unscreened,d3_oof,hddm_w,detector,0.051530717810959775,0.13542795232936078,0.0,0.0,0.32344522508456935,-0.05828847224800446,-50.0,0.0
