epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon,variant
1,SEA_A__s112__instance__moderate,17,adwin,54.56,57000,7,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,17,adwin,53.66,57000,6,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,17,adwin,54.38,57000,6,4,0.1,alarm_persistence
2,RBF_I__s112__splice__severe,17,adwin,32.36,57000,4,4,0.1,alarm_persistence
2,RBF_I__s112__concept__severe,17,adwin,31.72,57000,19,4,0.1,alarm_persistence
2,RBF_I__s112__clean__none,17,adwin,32.56,57000,8,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,17,adwin,54.0,57000,7,4,0.1,alarm_persistence
2,RBF_I__s112__concept__moderate,17,adwin,32.54,57000,21,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,17,adwin,54.32,57000,28,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,17,adwin,54.1,57000,30,4,0.1,alarm_persistence
2,RBF_I__s112__splice__moderate,17,adwin,33.08,57000,15,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,17,adwin,53.98,57000,15,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,17,adwin,54.14,57000,33,4,0.1,alarm_persistence
2,RBF_I__s112__instance__severe,17,adwin,29.94,57000,32,4,0.1,alarm_persistence
2,RBF_I__s112__instance__moderate,17,adwin,31.92,57000,9,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,17,adwin,54.06,57000,13,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,17,adwin,54.06,57000,31,4,0.1,alarm_persistence
3,RBF_I__s112__clean__none,17,adwin,32.84,57000,29,4,0.1,alarm_persistence
3,RBF_I__s112__splice__moderate,17,adwin,32.8,57000,17,4,0.1,alarm_persistence
3,RBF_I__s112__splice__severe,17,adwin,30.94,57000,23,4,0.1,alarm_persistence
3,RBF_I__s112__instance__severe,17,adwin,30.28,57000,33,4,0.1,alarm_persistence
3,RBF_I__s112__instance__moderate,17,adwin,32.34,57000,7,4,0.1,alarm_persistence
3,RBF_I__s112__concept__moderate,17,adwin,33.36,57000,7,4,0.1,alarm_persistence
3,RBF_I__s112__concept__severe,17,adwin,31.78,57000,0,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,17,adwin,53.54,57000,2,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,17,adwin,54.24,57000,3,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,17,adwin,54.28,57000,3,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,17,adwin,53.72,57000,5,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,17,adwin,54.32,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,27,adwin,53.56,57000,5,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,27,adwin,53.82,57000,4,4,0.1,alarm_persistence
0,RBF_I__s112__instance__severe,27,adwin,29.32,57000,3,4,0.1,alarm_persistence
0,RBF_I__s112__concept__severe,27,adwin,30.28,57000,7,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,27,adwin,53.68,57000,0,4,0.1,alarm_persistence
0,RBF_I__s112__instance__moderate,27,adwin,31.36,57000,6,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,27,adwin,53.74,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__concept__moderate,27,adwin,31.2,57000,6,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,27,adwin,54.02,57000,1,4,0.1,alarm_persistence
0,RBF_I__s112__splice__moderate,27,adwin,32.1,57000,9,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,27,adwin,53.84,57000,3,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,27,adwin,53.72,57000,5,4,0.1,alarm_persistence
0,RBF_I__s112__clean__none,27,adwin,32.38,57000,2,4,0.1,alarm_persistence
0,RBF_I__s112__splice__severe,27,adwin,33.74,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,27,adwin,54.18,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,27,adwin,54.34,57000,4,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,27,adwin,54.3,57000,2,4,0.1,alarm_persistence
1,RBF_I__s112__splice__severe,27,adwin,32.06,57000,5,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,27,adwin,53.96,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,27,adwin,52.98,57000,4,4,0.1,alarm_persistence
1,RBF_I__s112__concept__moderate,27,adwin,32.160000000000004,57000,14,4,0.1,alarm_persistence
1,RBF_I__s112__clean__none,27,adwin,32.42,57000,15,4,0.1,alarm_persistence
1,RBF_I__s112__instance__moderate,27,adwin,31.08,57000,17,4,0.1,alarm_persistence
1,RBF_I__s112__instance__severe,27,adwin,30.78,57000,4,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,27,adwin,54.06,57000,23,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,27,adwin,53.82,57000,16,4,0.1,alarm_persistence
1,RBF_I__s112__concept__severe,27,adwin,32.3,57000,14,4,0.1,alarm_persistence
1,RBF_I__s112__splice__moderate,27,adwin,32.34,57000,21,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,27,adwin,54.14,57000,25,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,27,adwin,53.5,57000,14,4,0.1,alarm_persistence
2,RBF_I__s112__splice__severe,27,adwin,30.98,57000,21,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,27,adwin,53.98,57000,28,4,0.1,alarm_persistence
2,RBF_I__s112__splice__moderate,27,adwin,32.54,57000,23,4,0.1,alarm_persistence
