stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,detector,status,folder
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,7600,0,0,0.5133516660134774,False,600,immediate,True,10450,0.3475598086124402,0.33479347114531915,2843,1766,0.6211748153359128,7607,2723,0.35795977389246747,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe/immediate_screened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,11400,0,0,0.45737691698013805,False,600,immediate,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe/immediate_unscreened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,7600,0,0,0.5152564590098336,False,600,none,True,10450,0.3585645933014354,0.35235027949590225,0,0,,10450,3800,0.36363636363636365,,,none,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/none/RBF_I__s9913__clean__none/none_screened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,11400,0,0,0.45001933301682584,False,600,none,False,10450,0.36995215311004787,0.3630090291100171,0,0,,10450,0,0.0,,,none,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/none/RBF_I__s9913__clean__none/none_unscreened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,7600,0,0,0.5164552500064019,False,600,none,True,10450,0.3475598086124402,0.33479347114531915,2843,1766,0.6211748153359128,7607,2723,0.35795977389246747,,,none,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/none/RBF_I__s9913__instance__severe/none_screened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,11400,0,0,0.44993066700408235,False,600,none,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,none,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/none/RBF_I__s9913__instance__severe/none_unscreened
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,13300,10450,2850,1,0.16069399999105372,False,600,confirmed,True,10450,0.8664114832535885,0.8503867963132563,0,0,,10450,1900,0.18181818181818182,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__clean__none/confirmed_screened
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,11400,11400,0,0,0.12807395798154175,False,600,confirmed,False,10450,0.88,0.8674801403756076,0,0,,10450,0,0.0,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__clean__none/confirmed_unscreened
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,11400,8550,950,1,0.15162670801510103,False,600,immediate,True,10450,0.8679425837320575,0.8516195355737766,0,0,,10450,2850,0.2727272727272727,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__clean__none/immediate_screened
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,11400,11400,1900,2,0.13397712499136105,False,600,immediate,False,10450,0.8904306220095694,0.8784806850430298,0,0,,10450,0,0.0,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__clean__none/immediate_unscreened
