dataset,comparison_detector,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,adwin,3,concept,moderate,immediate_unscreened,roc_auc,0.837981045030013,0.006517848506057217,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,seconds_per_100k,86.96665622148915,2.4526629326186584,3,3
RADAR,adwin,3,concept,moderate,none_screened,accuracy,0.6427627714322283,0.008472720368925055,3,3
RADAR,adwin,3,concept,moderate,none_screened,clean_withhold_rate,0.08841911982209032,0.010375698517812972,3,3
RADAR,adwin,3,concept,moderate,none_screened,macro_f1,0.4502873973657211,0.01428656427983242,3,3
RADAR,adwin,3,concept,moderate,none_screened,macro_recall,0.45180942787984396,0.016579086025738623,3,3
RADAR,adwin,3,concept,moderate,none_screened,poison_admission_rate,0.8946526414067405,0.014412714869892729,3,3
RADAR,adwin,3,concept,moderate,none_screened,resets_per_100k,0.0,0.0,3,3
RADAR,adwin,3,concept,moderate,none_screened,roc_auc,0.896908641872113,0.01497903892973933,3,3
RADAR,adwin,3,concept,moderate,none_screened,seconds_per_100k,288.2757178260349,6.761058425470098,3,3
RADAR,adwin,3,concept,moderate,none_unscreened,accuracy,0.6627104072184092,0.015778701965063587,3,3
RADAR,adwin,3,concept,moderate,none_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,3,concept,moderate,none_unscreened,macro_f1,0.4926781340852759,0.01669364894159411,3,3
RADAR,adwin,3,concept,moderate,none_unscreened,macro_recall,0.4993184552868371,0.016867078814275575,3,3
RADAR,adwin,3,concept,moderate,none_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,3,concept,moderate,none_unscreened,resets_per_100k,0.0,0.0,3,3
RADAR,adwin,3,concept,moderate,none_unscreened,roc_auc,0.8986602027337093,0.011890353080715869,3,3
RADAR,adwin,3,concept,moderate,none_unscreened,seconds_per_100k,125.1469758756909,6.0212350550097264,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,accuracy,0.6422432538691353,0.013530363916076319,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,clean_withhold_rate,0.14524459337845794,0.011875598659189992,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,macro_f1,0.4892433057264911,0.018141986358873385,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,macro_recall,0.493115411909659,0.01466936009360786,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,poison_admission_rate,0.8321179194204625,0.016095948470367497,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,resets_per_100k,8.182861512289076,0.4294281829026608,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,roc_auc,0.8807695183840788,0.010038425910287925,3,3
RADAR,adwin,4,concept,severe,confirmed_screened,seconds_per_100k,182.2708676996253,1.3309364721482957,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,accuracy,0.6496574694895851,0.012652918139843768,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,macro_f1,0.5030487004807391,0.010009330115639424,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,macro_recall,0.5096060341323733,0.006137191109703423,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,resets_per_100k,9.626895896810678,0.3151141368185341,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,roc_auc,0.8944983759618444,0.007741390674069889,3,3
RADAR,adwin,4,concept,severe,confirmed_unscreened,seconds_per_100k,161.2761689423911,1.0541426804009144,3,3
RADAR,adwin,4,concept,severe,immediate_screened,accuracy,0.6091185303688725,0.006661962060558161,3,3
RADAR,adwin,4,concept,severe,immediate_screened,clean_withhold_rate,0.447121050012774,0.02576777983447791,3,3
RADAR,adwin,4,concept,severe,immediate_screened,macro_f1,0.4708369729385957,0.008479811625003773,3,3
RADAR,adwin,4,concept,severe,immediate_screened,macro_recall,0.48858703071095316,0.00385454883290621,3,3
RADAR,adwin,4,concept,severe,immediate_screened,poison_admission_rate,0.5387900945132539,0.04450768736722702,3,3
RADAR,adwin,4,concept,severe,immediate_screened,resets_per_100k,42.56463257232721,1.4635492476782168,3,3
RADAR,adwin,4,concept,severe,immediate_screened,roc_auc,0.8373494687212549,0.005039272222453145,3,3
