rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_baseline,host_accuracy_baseline,poison_admission_rate_baseline,clean_withhold_rate_baseline,resets_baseline,training_visits_baseline,seconds_baseline,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference
12000,11400,5700,950,1,0.13124354199680965,False,600,rl,True,10450,0.8916746411483254,0.8801696017385143,0,0,,10450,5700,0.5454545454545454,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,error_rule,d3_oof,0.01,5,4,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.13473449999582954,0.007268007780447894,0.0052631578947368585,,0.18181818181818177,-1,0,-0.0034909579990198836
12000,11400,7600,1900,2,0.13473449999582954,False,600,rl,True,10450,0.8864114832535885,0.8729015939580664,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,error_rule,d3_oof,0.05,1,0,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.13473449999582954,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.14091516699409112,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,selected_map,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14744683299795724,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.006531666003866121
12000,11400,7600,0,0,0.14744683299795724,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,selected_map,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14744683299795724,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.148279500004719,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_7,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.15154445900407154,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0032649589993525296
12000,11400,7600,0,0,0.15154445900407154,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_7,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.15154445900407154,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.15321704199595843,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.15321704199595843,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.1486009579966776,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.15321704199595843,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.004616083999280818
12000,11400,7600,0,0,0.14005637500667945,False,600,none,True,10450,0.8831578947368421,0.8716344582532888,2850,1837,0.6445614035087719,7600,2787,0.3667105263157895,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,no_reset,adwin,0.01,5,4,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.14312466699630022,0.0082913672605881,0.006507177033492906,-0.1775438596491229,0.18342105263157896,0,0,-0.003068291989620775
12000,11400,9500,0,0,0.14312466699630022,False,600,none,True,10450,0.8766507177033492,0.8633430909927007,2850,2343,0.8221052631578948,7600,1393,0.18328947368421053,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,no_reset,adwin,0.05,1,0,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.14312466699630022,0.0,0.0,0.0,0.0,0,0,0.0
12000,11400,7600,0,0,0.14352041699748952,False,600,confirmed,True,10450,0.8831578947368421,0.8716344582532888,2850,1837,0.6445614035087719,7600,2787,0.3667105263157895,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,confirmed,adwin,0.01,5,4,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.1468275410006754,0.0082913672605881,0.006507177033492906,-0.1775438596491229,0.18342105263157896,0,0,-0.0033071240031858906
12000,11400,9500,0,0,0.1468275410006754,False,600,confirmed,True,10450,0.8766507177033492,0.8633430909927007,2850,2343,0.8221052631578948,7600,1393,0.18328947368421053,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,confirmed,adwin,0.05,1,0,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.1468275410006754,0.0,0.0,0.0,0.0,0,0,0.0
12000,11400,6650,1900,2,0.14042495799367316,False,600,rl,True,10450,0.8872727272727273,0.876379914315407,2850,1558,0.5466666666666666,7600,3458,0.455,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,error_rule,adwin,0.01,5,4,complete,0.8643033372289313,0.876555023923445,0.8087719298245614,0.17828947368421053,2,11400,0.14732558399555273,0.012076577086475693,0.010717703349282348,-0.26210526315789473,0.2767105263157895,0,0,-0.006900626001879573
12000,11400,9500,1900,2,0.14732558399555273,False,600,rl,True,10450,0.876555023923445,0.8643033372289313,2850,2305,0.8087719298245614,7600,1355,0.17828947368421053,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,error_rule,adwin,0.05,1,0,complete,0.8643033372289313,0.876555023923445,0.8087719298245614,0.17828947368421053,2,11400,0.14732558399555273,0.0,0.0,0.0,0.0,0,0,0.0
12000,11400,7600,0,0,0.13443845900474116,False,600,rl,True,10450,0.8831578947368421,0.8716344582532888,2850,1837,0.6445614035087719,7600,2787,0.3667105263157895,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,selected_map,adwin,0.01,5,4,complete,0.8688985789088042,0.8807655502392344,0.7108771929824561,0.266578947368421,1,11400,0.1355941670044558,0.002735879344484604,0.0023923444976077235,-0.06631578947368422,0.10013157894736846,-1,0,-0.0011557079997146502
12000,11400,8550,950,1,0.1355941670044558,False,600,rl,True,10450,0.8807655502392344,0.8688985789088042,2850,2026,0.7108771929824561,7600,2026,0.266578947368421,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,selected_map,adwin,0.05,1,0,complete,0.8688985789088042,0.8807655502392344,0.7108771929824561,0.266578947368421,1,11400,0.1355941670044558,0.0,0.0,0.0,0.0,0,0,0.0
12000,11400,9500,0,0,0.13729279200197197,False,600,rl,True,10450,0.8766507177033492,0.8633430909927007,2850,2343,0.8221052631578948,7600,1393,0.18328947368421053,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,q_alarm_7,adwin,0.05,1,0,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.13729279200197197,0.0,0.0,0.0,0.0,0,0,0.0
12000,11400,7600,0,0,0.13484045800578315,False,600,rl,True,10450,0.8831578947368421,0.8716344582532888,2850,1837,0.6445614035087719,7600,2787,0.3667105263157895,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,q_alarm_7,adwin,0.01,5,4,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.13729279200197197,0.0082913672605881,0.006507177033492906,-0.1775438596491229,0.18342105263157896,0,0,-0.002452333996188827
12000,11400,7600,0,0,0.1353057080123108,False,600,rl,True,10450,0.8831578947368421,0.8716344582532888,2850,1837,0.6445614035087719,7600,2787,0.3667105263157895,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,q_alarm_persistence_7,adwin,0.01,5,4,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.13691870900220238,0.0082913672605881,0.006507177033492906,-0.1775438596491229,0.18342105263157896,0,0,-0.0016130009898915887
12000,11400,9500,0,0,0.13691870900220238,False,600,rl,True,10450,0.8766507177033492,0.8633430909927007,2850,2343,0.8221052631578948,7600,1393,0.18328947368421053,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,q_alarm_persistence_7,adwin,0.05,1,0,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.13691870900220238,0.0,0.0,0.0,0.0,0,0,0.0
12000,11400,7600,0,0,0.12928891699993983,False,600,none,True,10450,0.8831578947368421,0.8716344582532888,2850,1837,0.6445614035087719,7600,2787,0.3667105263157895,SEA_A__s9917__instance__severe,SEA_A,instance,severe,9917,no_reset,hddm_w,0.01,5,4,complete,0.8633430909927007,0.8766507177033492,0.8221052631578948,0.18328947368421053,0,11400,0.13328487498802133,0.0082913672605881,0.006507177033492906,-0.1775438596491229,0.18342105263157896,0,0,-0.0039959579880815
